users,topic,text,times,quote
 Автор ,Travel,"Мне нравится море, тепло, купаться, позагорать на пляже. Из всех вариантов практически единственный это Сочи. Отпуск у нас в середине июня. Можем с комфортом доехать на поезде за 2 суток, и почти парк недель там провести.Но муж не хочет( Как заядлый автомобилист он прилип в своему авто, и не может понять что есть другой транспорт, что не обязательно крутить баранку 2 суток а то и больше чтобы доехать до места отдыха. Да ещё и говорит, что там типа нечего делать, много народу, скучно, смотреть нечего... Но вот как нечего, там же море, тепло, пляж! Предлагает мне варианты: по Карелии вплоть до Соловков, либо Москву, Золотое кольцо, либо по Беларуси, в Минск. Типа там есть что посмотреть. А я не хочу, да ещё и на своём авто, сидеть трястись на наших дорогах, да ещё и с риском дтп вообще боюсь ездить.Посоветуйте, как быть, мы никак не можем решить, уже ссоримся из-за этого..."," 29 апреля, 16:59 ",
 Тюрки и их республики ,Travel,2 суток на поезде это пытка.Лучша на авто с ночевкой.," 29 апреля, 17:24 ",
 Гость ,Travel,"Половину отпуска тюленить на пляже ,как ты любишь, а другую половину - путешествия, экскурсии, музеи, достопримечательности как любит муж"," 29 апреля, 17:35 ",
 rusann ,Travel,"50/50 В Карелию на неделю самолётом, там брать машину и смотреть достопримечательности и затем самолётом в Сочи на вторую неделю, все в шоколаде. А если отдых больше 2х недель можно варьировать."," 29 апреля, 18:02 ",
 Василий ,Travel,Бросьте жребий!," 29 апреля, 19:06 ",
 Veronica ,Travel,"Эх, не повезло вам, конечно"," 29 апреля, 20:34 ",
 Гость ,Travel,Где собираетесь проводить отпуск этим летом? #отпуск," 29 апреля, 14:55 ",
 Гость ,Travel,В СибириСама из Средней Полосы," 29 апреля, 15:02 ",
 Гость ,Travel,А что там интересного?," 29 апреля, 15:04 ",В СибириСама из Средней Полосы
 Гость ,Travel,вот и хочу посмотретьА то помрешь и так Сибири и не увидишь," 29 апреля, 15:08 ",А что там интересного?
 СОЛИСТ ,Travel,На работе(," 29 апреля, 15:10 ",
 Гость ,Travel,Майорка," 29 апреля, 15:46 ",
 Автор ,Travel,"Добрый день, друзья❤️ подскажите, кто-нибудь был в Тайланде конец июня-июль? интересует именем Пхукет. Как там с погодой в это время? Тепло, можно купаться, загорать? Спасибо заранее, всем отличного отдыха и любви 🙏 #путешествия #отдых2023"," 29 апреля, 09:36 ",
 Sunshine ,Travel,"Здравствуйте, там с октября сезон вроде как начинается, мы были в конце октября в Патайе, погода была отличная, дождей не было"," 29 апреля, 10:31 ",
 Не автор ,Travel,"ДА, были как раз в то время, правда в 18ом году. По прогнозу только ливни и грозы каждый день постоянно, а на самом деле +30, но не жарит, облачность, дождь 2-3 раза в день по 10 мин и через 10 мин опять сухо. По мне прям идеально."," 29 апреля, 10:33 ",
 Автор ,Travel,"Кто был в этих странах,что посоветуете,где интереснее?"," 28 апреля, 19:43 ",
 Гость ,Travel,"Конечно в Эмираты, как на другую планету попадаешьХочешь - суперсовременные города, хочешь - тишина пустыни и верблюдыСервис - прям в глаза заглядываютДа и море всегда теплое, в Средиземном сейчас не покупаешьсяЛучше, не только ОАЭ но и Оман посмотреть, особенно Салах и Дафур (""долина благовоний"")"," 28 апреля, 20:01 ",
 Гость ,Travel,"Я бы в Израиль. Влюбилась в мужчину из Израиля, но он меня отшил)) А тут ваша тема"," 28 апреля, 20:02 ",
 Гость ,Travel,Хороший вопрос: к евреям или к арабам? Я бы к евреям. Люблю Израиль.," 28 апреля, 20:08 ",
 Гость ,Travel,А как вам евреи мужчины?," 28 апреля, 20:14 ",Хороший вопрос: к евреям или к арабам? Я бы к евреям. Люблю Израиль.
 Гость ,Travel,Где в Эмиратах арабы то? Их процентов 5 - остальные бенгальцы да афганцы," 28 апреля, 20:15 ",Хороший вопрос: к евреям или к арабам? Я бы к евреям. Люблю Израиль.
 Автор ,Travel,"Добрый день, уважаемые)) подскажите, пожалуйста, бюджетный вариант курорта и отеля в Турции на август 2023 года. (или июнь). Желаемое: песчаный пляж, недалеко от отеля, нормальное питание(все включено), более менее вежливый сервис, и поблизости места, которые интересно посетить. Помогите, пожалуйста, с выбором. Первая поездка, и не хочется разочароваться. )) Заранее благодарю. И ещё раз скажу, в средствах немного ограничены #путешествия"," 28 апреля, 10:40 ",
 Гость ,Travel,Rixos Premium Tekirova," 28 апреля, 10:46 ",
 Гость ,Travel,"Это дорого Нужно в районе 800,000 тг"," 28 апреля, 10:48 ",Rixos Premium Tekirova
 Гость ,Travel,"В Турции очень много инфекций, если не хочешь после отпуска на пару недель лечь в больницу не советую экономить"," 28 апреля, 10:51 ","Это дорого Нужно в районе 800,000 тг"
 Гость ,Travel,"Неужели отдых на 6 дней за 800,000 -это экономить?"," 28 апреля, 10:54 ","В Турции очень много инфекций, если не хочешь после отпуска на пару недель лечь в больницу не советую экономить"
 Гость ,Travel,"Я не знаю сколько это, тг - это тугрики?В еврах сколько или долларах?2000-3000 евро неделя будет норм"," 28 апреля, 10:57 ","Неужели отдых на 6 дней за 800,000 -это экономить?"
 9 мая ,Travel,Это главный храм РПЦ?," 28 апреля, 08:47 ",
 Захария ,Travel,кафедральный собор - храм Христа Спасителя," 28 апреля, 09:06 ",
 9 мая ,Travel,Вы были в этом городе? Что вам больше всего нравится? Вы видели Софию Новгородскую?Какие храмы больше всего запомнились?," 28 апреля, 08:44 ",
 Boomkin 80lvl ,Travel,Нравится памятник 1000летию в Кремле. Там все правители и писатели изображены. 1859годБез всяких этих морд лениных и путиных слава богу.," 28 апреля, 09:09 ",
 Гость ,Travel,Не нравится вонючий химзавод на полгорода," 28 апреля, 10:24 ",
 Гость ,Travel,"Были, давно осталось как фон. Если жить в Петербурге я бы приехал, а если из Сочи специально точно нет."," 28 апреля, 10:51 ",
 Василий ,Travel,"Сразу скажу, что памятника Колчаку там нет! Он в Иркутске. Туда и мотайте..."," 29 апреля, 19:09 ",
 Автор ,Travel,"Была в Турции, Египте и Тайланде. Хочется посмотреть новую страну."," 27 апреля, 19:41 ",
 Гость ,Travel,Беларусь," 27 апреля, 20:00 ",
 Blumen ,Travel,"Австрия , Испания , Португалия , Италия"," 27 апреля, 20:04 ",
 Гость ,Travel,Черногория?," 27 апреля, 20:06 ",
 Автор ,Travel,Разве можно попасть сейчас в эти страны? Как с выдачей виз?," 27 апреля, 20:06 ","Австрия , Испания , Португалия , Италия"
 Гость ,Travel,😂😂," 27 апреля, 20:06 ",Беларусь
 Автор ,Travel,"Всем привет! Что привезти на Байкал на подарки, летим второй раз в Улан-Удэ, первый были давно, даже уже не помню, что покупали в Москве. Может кто-нибудь посоветует, местные, где арендовать автомобиль, куда поехать именно из Улан-Удэ, Монголия? Реально, нет? Как добраться? В Улан-Удэ посмотрели дацаны, башку, были на Байкале в Турке. В этот раз летим во второй половине мая, думаем куда поехать на Байкал. Может быть Есь местные, что-то посоветуют. #путешествия"," 26 апреля, 19:10 ",
 Захария ,Travel,кому на Байкал?," 26 апреля, 19:18 ",
 Гость ,Travel,Газировку Байкал," 26 апреля, 19:25 ",
 Гость ,Travel,"Байкальского омуля привезите,никто не откажется,и камушек со дна.😄"," 28 апреля, 20:28 ",
 Василий ,Travel,"У вас прыжки, как у блохи по яйцам! Где Байкал, и где Монголия! Если важна Монголия, то лучше лететь в Иркутск, оттуда в Аршан. Культовое место. Машину искать в Иркутске - Интернет поможет. С собой ничего везти не надо, только деньги и теплую одежду, особенно, если сами не знаете, куда вам надо."," 29 апреля, 19:14 ",
 Автор ,Travel,"некоторые авиакомпании при наличие мест бесплатно пересаживаю в бизнес-класс. вот зря они это делают. пассажиры которые заплатили за бизнес справедливо подумают мол почему мы платили, а им бесплатно. и в следующий раз подумают лететь этой авиакомпанией или выбрать другую. к тому же бизнес-класс это ведь не только удобство кресел и качество питания, это еще и контингент соседей. Люди покупающие бизнес-класс хотят чтобы рядом были такие же люди.Как несколько лет назад себя полностью дискредитировали бизнес-зал в аэропортах, когда через банк можно было почти бесплатно сделать проход в бизнес зал бесплатно, так там такой контингент заполонил все - как с голодного края поназаказывают кучу всего, орут, кричат по телефону разговаривая ""мы в бизнес-зале"", а потом бегут на самолет в эконом. В связи с этим появились нормальные бизнес-залы, куда не попасть по карте банка оформленной на месяц и остались эти мнимые бизнес-залы. Вот зачем такое делать?"," 26 апреля, 12:00 ",
 Гость ,Travel,Все верно.," 26 апреля, 12:10 ",
 Гость ,Travel,"логика в ваших словах есть, плохо что вы людей на касты разделяете"," 26 апреля, 13:09 ",
 Гость ,Travel,"Пересаживают не при наличии мест в бизнесе, а при овербукинге в эконом. И не так уж и часто, чаще предлагают какую-то сумму и перелет на другом рейсе. Что же до контингента, вы знаете, за нами один раз мужчина пожилой сидел, пересадили, первый раз в бизнесе, так он так искренне всем восхищался, что было даже немного завидно."," 26 апреля, 22:23 ",
 Янчик ,Travel,"Всем привет, недавно переехала в Тулу, ищу подругу для похода в кино и просто прогулок, и общения. Если тебе от 23лет до 27ми напиши мне, буду рада каждому ответу"," 26 апреля, 09:57 ",
 Гость ,Travel,"Тула красивый город, старинный."," 26 апреля, 10:11 ",
 Янчик ,Travel,Очень красивый город," 27 апреля, 10:01 ","Тула красивый город, старинный."
 Василиса Веселкова ,Travel,Сервисом пользоваться удобно . можно выставить разные фильтры и найти квартиру как пожелаешь . у меня были определенные требования насчет техники в квартире . в отпуске хотелось тратить минимум времени на готовку и уборку . так что нашли квартиру в которой даже робот пылесос был)))," 26 апреля, 09:34 ",
 Гость ,Travel,От нас че надо?," 26 апреля, 10:53 ",
 ksenniasokollova ,Travel,"Согласна, квартиру там можно найти на любой вкус и цвет. Мы однажды нашли квартиру с электрошторами, которые утром автоматически открывались, а вечером так же автоматически закрывались) Да и в принципе разнообразие квартир там очень радует"," 26 апреля, 15:43 ",
 Регина Х. ,Travel,"Мы с мужем через Авито летом бронировали квартиру в Анапе. Поздно спохватились насчет отпуска и конечно же все гостиницы нормальные были заняты. Но квартир на сайте для посуточной аренды много было. Выбрали хороший вариант, не первая линия конечно, но близко транспорт. Квартира оказалась уютная, хозяйка адекват, что оочень важно. Было чисто, видно что перед нашим приездом хорошо прибрали. Никаких следов бывших жильцов."," 26 апреля, 09:27 ",
 Гость ,Travel,Авито теперь здесь рекламирует свои услуги?," 26 апреля, 09:45 ",
 Автор ,Travel,"У меня есть около часа, чтобы выйти из самолета и сесть на автобус до СПб. Хватит ли времени на пересадку? Большие ли задержки на границе и что проверяют? Спасибо всем."," 26 апреля, 00:29 ",
 Dflt ,Travel,Шпиён этой самой наты? 😂," 26 апреля, 00:50 ",
 Вау🐈 ,Travel,Там границы не будет если вы из Европы. Главное автобус найти. Граница между финкой и РФ будет около Выборга," 26 апреля, 00:58 ",
 Дмитрий ,Travel,ахаахах," 26 апреля, 05:23 ","раньше было быстро на границе, а сейчас зависит от нации. если русак, то приглашают здоровенного негра в фуражке и перетянутого ремнями для полного осмотра. Блин зачем я это сказал, сейчас *** ломанется на границу, на ходу разминая анусы"
 Гость ,Travel,"Не боитесь, что самолёт задержится? Там конечно не огромный аэропорт, но нужно ведь еще время для прохождения границы, забрать багаж."," 26 апреля, 09:14 ",
 Марина ,Travel,"Мы с семьей ездили в Санкт-Петербург. Нашли на сайте несколько экскурсий по городу, одна днем, вторая вечером. Этот день был настоящим удовольствием! Мы узнали много информации и насладились красивыми видами города. Чудесный город, хочется возвращаться сюда снова и снова! Столько эмоций! Сейчас планируем съездить в Ленинградскую область, от поездки осталось 2 свободных дня, порекомендуйте, пожалуйста, куда отправиться, так чтобы хватило одного дня на город?"," 25 апреля, 21:59 ",
 Гость ,Travel,"В Гатчину, Петергоф, Павловск."," 25 апреля, 22:19 ",
 Гость ,Travel,Пушкин конечно же.," 25 апреля, 22:21 ",
 Гладиолус ,Travel,"Что сейчас с Американо-Мексиканской границей, насколько реально её пройти?"," 25 апреля, 11:21 ",
 Гость ,Travel,"Те ,кто уже по ту сторону , не советуют сейчас туда соваться"," 25 апреля, 13:36 ",
 Гладиолус ,Travel,Почему?," 25 апреля, 14:12 ","Те ,кто уже по ту сторону , не советуют сейчас туда соваться"
 Гость ,Travel,Потому что гладиолус (с).," 25 апреля, 14:25 ",Почему?
 Гость ,Travel,Закрыли лазейку," 25 апреля, 14:31 ",
 Гладиолус ,Travel,"Нет, наоборот же упростили по последним новостям, через запись в приложении cbp можно пройти"," 25 апреля, 14:51 ",Закрыли лазейку
 Автор ,Travel,"🤔🤔🤔собираюсь в Тайланд, но в моем мухосранске нет обменика валютой, слышал, можно открыть карту (название не помню) но для этого нужно ехать в соседний город😌😌 #путешествия"," 25 апреля, 12:54 ",
 Гость ,Travel,ТаИланд. Буква И.," 25 апреля, 13:00 ",
 Красотуля ,Travel,*Всё включено* в Таиланде не практикуется. Не фиг выдумывать и отель пишется с одной *Т*," 25 апреля, 13:02 ",
 Сигост ,Travel,"Да привезут накормят и обратно увезут! Если есть зарплатная карта виза, то можно там рассчитываться!"," 25 апреля, 13:02 ",
 Гильденстерн ,Travel,"нах тебе там деньги? от твоего мухосранска до тайланда трамвай ходит. полчаса и на месте. возми на всякий случай рублей сто - стодвадцать, обслуге в отеле на чай."," 25 апреля, 13:04 ",
 Гость ,Travel,Без денег ездить рискованно. Даже если отель все оплатит - могут быть непредвиденные обстоятельства. Так что деньги лучше взять с собой.," 25 апреля, 13:11 ",
 Sunshine ,Travel,"Кто отдыхал в Батуми, как там? Как море, пляжи, еда, цены, как в целом отдых? #путешествия"," 25 апреля, 10:54 ",
 Гость ,Travel,"Роскошные розарии, кругом цветы"," 25 апреля, 10:58 ",
 Гость ,Travel,"В целом все понравилось, но было это 10 лет назад. Что там сейчас не представляю"," 25 апреля, 11:15 ",
 Гость ,Travel,а на море-то хоть сходили?," 25 апреля, 11:24 ","О, в Батуми супер... м-м-м... с десяток волосатых членов обскакала за две недели..."
 Гость ,Travel,Именно с него каждый день всё и начиналось...," 25 апреля, 11:31 ",а на море-то хоть сходили?
 Гость ,Travel,"вот умеете вы заинтересовать...14 дней всего 10 членов, почему 4 дня пропустили??)))"," 25 апреля, 11:33 ",Именно с него каждый день всё и начиналось...
 Автор ,Travel,"Здравствуйте, хочу в этом году очень съездить на море, но муж не может, долго его ждала , думала вдруг , все же как-то .Вот хочу решиться одна с двумя детьми моя дочь 2 года и мужа дочь 9 лет , идеальный вариант Крым , знаю хорошие места под Севастополем , но боюсь ...Краснодарский край ,- чёрное море кругом ротавирус ....тоже как-то страшно.Сейчас остановила свой выбор на Азовском море , понравились Кучугуры ,Голубицкое и Ейск, но не знаю что выбрать и в каком месяце лучше ехать, июль - июнь , август - как горячий сезон не рассматриваю.Расматривала даже Белоруссию санаторий с водоемом, но сейчас все уже занято . Может что посоветуете когда, куда , хочется ,что были детям было хорошо! #путешествияв2023 #отдыхвроссии"," 24 апреля, 23:48 ",
 Гость ,Travel,"Если вы решились езжайте. Но я бы не смогла бы с 2 детьми отдохнуть, особенно с двухлеткой. За ней глаз да глаз. У самой сыну 1,5 г стоит отвернуться он лезет везде. Для меня это был бы не отдых. Старшую тоже развлекать, водить везде. Не знаю, я интроверт просто поэтому я бы не поехала одна"," 25 апреля, 00:29 ",
 Автор ,Travel,"Я привыкла , именно хочу море ! Или водоем , может что посоветуете на Азовском море ?"," 25 апреля, 00:38 ","Если вы решились езжайте. Но я бы не смогла бы с 2 детьми отдохнуть, особенно с двухлеткой. За ней глаз да глаз. У самой сыну 1,5 г стоит отвернуться он лезет везде. Для меня это был бы не отдых. Старшую тоже развлекать, водить везде. Не знаю, я интроверт просто поэтому я бы не поехала одна"
 Гость ,Travel,"От чего ты отдыхать собралась, где ты так устала?"," 25 апреля, 00:56 ",
 Гость ,Travel,"может, лучше выбрать специализированный санаторий? Для отдыхающих с детьми? или путевку ""Мать и дитя?!"," 25 апреля, 06:43 ",
 Роман ,Travel,Мариуполь," 25 апреля, 06:46 ","Я привыкла , именно хочу море ! Или водоем , может что посоветуете на Азовском море ?"
 Валя ,Travel,Мой парень зарезервировал и оплатил деньги по букингу отель на Мальдивах.Пришло уведомление об оплате. Он звонит и работники отеля и говорит что нет никакой оплаты.То что он зарезервировал это я лично видела. Что происходит? Там плохой интернет или что? #путешествия," 24 апреля, 21:56 ",
 Гость ,Travel,А оплату видели?," 24 апреля, 22:18 ",
 Валя ,Travel,ДаЧто зарезервировано было оповещение," 24 апреля, 22:25 ",А оплату видели?
 Валя ,Travel,"«Первоначально они сказали, что получили платеж, но позже сказали, что он не прошел. Заказчики сказали мне попробовать еще раз, но деньги еще не были возвращены. Пожалуйста, просто дай мне сегодня время, чтобы найти решение»Вот что мне сказал мой парень"," 24 апреля, 22:32 ",
 Гость ,Travel,Вы из России?," 24 апреля, 22:33 ",ДаЧто зарезервировано было оповещение
 Гость ,Travel,П.....здит он))))) Иностранец что ль?," 24 апреля, 22:37 ","«Первоначально они сказали, что получили платеж, но позже сказали, что он не прошел. Заказчики сказали мне попробовать еще раз, но деньги еще не были возвращены. Пожалуйста, просто дай мне сегодня время, чтобы найти решение»Вот что мне сказал мой парень"
 Автор ,Travel,отдых в Евпатории на 10 дней.," 24 апреля, 12:32 ",
 Али-баба ,Travel,Прогнозируют жаркое лето. При," 24 апреля, 12:45 ",
 Гость ,Travel,"пляж - фуЕвпатория - трижды фу, это не Южный Берег, климат не лечитв озерах вокруг Евпатории высокое содержание брома в рапе, что сильно сажает сердце, хотя и облегчает состояние ревматических больныхне веришь мне - гугли Сакский бромный завод. Это на берегу одного и того же озера - и Саки и Евпатория"," 24 апреля, 12:48 ",
 Захария ,Travel,"нет, совсем не люблюесли бы меня туда занесло, то ездил с бы и смотрела всякие интересности средневековые"," 24 апреля, 12:52 ",
 Засранка ,Travel,"Люблю море, там где мало людей, ляпота."," 24 апреля, 12:55 ",
 Али-баба ,Travel,"Люблю, загораю как с куста. Только попа белая"," 24 апреля, 12:55 ",
 Автор ,Travel,Кто летал в Швейцарию," 23 апреля, 08:43 ",
 Гость ,Travel,Цюрих или Женева?," 23 апреля, 09:44 ",
 Автор ,Travel,"Планирую отпуск с ребенком (школьник). Едем на пол месяца к морю на наши юга. Кто ездил, мама с ребенком школьного возраста (10-12 лет) как Вы проводили время? Хочу несколько экскурсий взять. Днем пляж. Вечером вот не знаю,можно бы поужинать в кафе,но приемлемо ли туда вести ребенка? Извините,если вопросы дурацкие. По ночам ходить с ребенком нигде не собираюсь,конечно."," 22 апреля, 16:45 ",
 Захария ,Travel,епрстВы стебетесь??Вы кафе себе как представляете? Как стриптиз клуб?," 22 апреля, 17:23 ",
 Гость ,Travel,"на Юге много детских заведений, кафе, игровых центров, мероприятий для детей. Отдыхайте с удовольствием"," 22 апреля, 17:34 ",
 де ,Travel,"В прошлом году в Сочи приехали поздно, пока устроились, уже 10 вечера было. Пошли нормально в кафе покушали. И детей там много, кто не спит в это время. В основном до 12 ночи гуляют. Так что все нормально. Моей дочери в этом возрасте развлекушки подавай, детские развлекательные центры."," 22 апреля, 17:48 ",
 Гость ,Travel,"едаговно , как люди ездят на юга ?"," 22 апреля, 19:02 ",
 M81 ,Travel,"Доброго дня всем. Нахожусь в поиске интересных мест для путешествий по России вне экскурсий/групповых туров. Поделитесь,пожалуйста, своими впечатлениями и ""отметками"" на карте. Куда можно доехать на автомобиле/общественном транспорте полюбоваться природой без необходимости в длительных пеших прогулках с тяжелыми рюкзаками"," 22 апреля, 16:06 ",
 Well.Gi ,Travel,на север .," 22 апреля, 16:10 ",
 Гость ,Travel,"Урал отлично, Башкирия, горы."," 22 апреля, 16:10 ",
 Гость ,Travel,"ЗлатоустСтавропольский край практически весьЯ вообще много где была, на самом деле"," 22 апреля, 16:28 ",
 Вера ,Travel,Эльбрус," 22 апреля, 16:28 ",
 Гость ,Travel,КАРЕЛИЯ," 22 апреля, 16:42 ",
 Maria ,Travel,"Здравствуйте, скажите пожалуйста те кто был в тае, как там погода в середине мая ? Узнала что там может быть сезон дождей.про воду из под крана! Ее пить якобы категорически нельзя, там куча микробов и прочего, теперь боюсь мыться под ней :( вдруг чего случится Про погоду узнали после того как взяли путевки, расстроилось #путешествия"," 22 апреля, 14:14 ",
 Лорик ,Travel,"Да погода там дрянь в мае. Низкий сезон. Я бы за бесплатно не поехал. Грязная вода в море, дождь, ветер, нереальная духота и жара, волны.Сезон там нормальный 5 месяцев в году с ноября по март."," 22 апреля, 14:22 ",
 Гость ,Travel,"Можно там мыться! А пить из бутылки, либо фильтр и кипятить для чая кофе. Ка и везде уже давно в принципе!! Посмотри где меньше дождей туда и ель!"," 22 апреля, 14:22 ",
 Гость ,Travel,"Эта, чтсти зубы и умывайся после душа из бутылки, если волнуешься. Фрукты мой с мылом водой из под крана, и все."," 22 апреля, 14:24 ",
 Мария ,Travel,Вы в пхукет собрались," 22 апреля, 14:33 ","Да погода там дрянь в мае. Низкий сезон. Я бы за бесплатно не поехал. Грязная вода в море, дождь, ветер, нереальная духота и жара, волны.Сезон там нормальный 5 месяцев в году с ноября по март."
 Гость ,Travel,"Там погода в мае максимально ебл@нская. Без обид. Но зато хорошая погода в ноябре, декабре, феврале. Ну короче до апреля. Была в Таиланде 2 месяца, и вот что я скажу: своих денег это точно не стоит. Лучше на Мальдивы полететь и нормально там отдохнуть."," 22 апреля, 14:52 ",
