,en,ru
38,isn't this interesting : EMPTY > yes,разве это не интересно : ПУСТО > да
39,fun : EMPTY > fun,весело : ПУСТО > весело
40,what would you like to talk about : EMPTY > let's talk about holidays,о чем бы вы хотели поговорить : ПУСТО > давайте поговорим о праздниках
41,but i think the trick is to set a limit and keep an eye out for bargains : EMPTY > yeah,"но я думаю, что хитрость в том, чтобы установить лимит и следить за выгодными предложениями: ПУСТО > да"
42,do you want to tell me your name : EMPTY > yes,вы хотите сказать мне свое имя : ПУСТО > да
43,what's the name of your favorite movie : emoji > the emoji movie,как называется ваш любимый фильм : эмодзи > фильм с эмодзи
44,have you ever been to a zoo : yes > very many times,вы когда-нибудь были в зоопарке : да > очень много раз
45,i didn't get that : no > but who is that guy,я этого не понял : нет > но кто этот парень
46,who's your favorite author : EMPTY > well,кто ваш любимый автор : ПУСТО > хорошо
47,would you like to hear more : EMPTY > no thanks,"хотели бы вы услышать больше : ПУСТО > нет, спасибо"
48,don't you think that's cool : EMPTY > i do,"тебе не кажется, что это круто : ПУСТО > я делаю"
49,let's see if i know it : EMPTY > what was that again,"давайте посмотрим, знаю ли я это : ПУСТО > что это было еще раз"
50,isn't that interesting : yes > it is,разве это не интересно : да > это так
51,they scare my creators too : EMPTY > how about bears,они тоже пугают моих создателей : ПУСТО > как насчет медведей
52,what's your favorite part in that book : EMPTY > when nicky dresses up as a put the facemask on because she messed up her face and hope blue dial over it,"какая ваша любимая часть в этой книге: ПУСТО > когда Ники наряжается как надевающая маску, потому что она испортила свое лицо, и надеется, что синий циферблат поверх этого"
53,that is why i want to share this to youhave you ever had a pet : oh > sure,вот почему я хочу поделиться этим с вами - у вас когда-нибудь было домашнее животное : о > конечно
54,i never had pets but i have always wondered what it feels like to have one : all of you > and that's important,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: всех вас > и это важно"
55,just say stop : EMPTY > what do you think about,просто скажи стоп : ПУСТО > о чем ты думаешь
56,don't you think so : oh > are you coming to chase me,ты так не думаешь : о > ты идешь преследовать меня
57,and played on the soccer team together : ha > that's an interesting fact,и вместе играли в футбольной команде : ха > это интересный факт
58,what is the team that you are rooting for in m l b : EMPTY > arizona diamondbacks,за какую команду вы болеете в m l b : ПУСТО > Аризона даймондбэкс
59,but i think his skills and championship mentality are incredible : EMPTY > stop talking about football,"но я думаю, что его навыки и чемпионский менталитет невероятны : ПУСТО > хватит говорить о футболе"
60,do you still want to continue our conversation about movies : EMPTY > how far can i go with you,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > как далеко я могу зайти с вами
61,i haven't thought about that before : EMPTY > have i,я не думал об этом раньше : ПУСТО > не так ли
62,do you want to hear more news about football : EMPTY > yes,вы хотите услышать больше новостей о футболе : ПУСТО > да
63,i will be smarter if you can teach me : i like doing stuff with my friends > do you have any friends,"я буду умнее, если ты сможешь научить меня: мне нравится заниматься чем-то со своими друзьями > есть ли у тебя друзья"
64,what was your favorite part in the movie : EMPTY > what is the weather in it,какая ваша любимая роль в фильме : ПУСТО > какая в нем погода
65,i will be smarter if you can teach me : EMPTY > no,"я буду умнее, если ты научишь меня: ПУСТО > нет"
66,i think that the idea of solo travel is both exciting and scary : EMPTY > skip,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > пропустить"
67,can you rephrase that : EMPTY > ori and the blind forest,можете ли вы перефразировать это: ПУСТОЙ > ори и слепой лес
68,she replied : well > how many did they said,она ответила: ну > сколько же они сказали
69,he designed his house like an ant colony but still searched for his queen : EMPTY > i don't like your stories,"он спроектировал свой дом как колонию муравьев, но все еще искал свою королеву : ПУСТО > мне не нравятся ваши истории"
70,can you repeat the movie name please : EMPTY > stop,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > стоп"
71,would you like to hear more : EMPTY > no,хотели бы вы услышать больше : ПУСТО > нет
72,can you believe that : EMPTY > no,можете ли вы в это поверить : ПУСТО > нет
73,what book has had the biggest impact on human history : EMPTY > did you say,какая книга оказала наибольшее влияние на историю человечества : ПУСТО > вы сказали
74,would you like to know more : EMPTY > yes,хотели бы вы узнать больше : ПУСТО > да
75,do you want to talk about another video game : EMPTY > sure,вы хотите поговорить о другой видеоигре : ПУСТО > конечно
76,what would you like to talk about : EMPTY > can you put on jungle songs,о чем бы вы хотели поговорить : ПУСТО > можете ли вы включить песни джунглей
77,do you want to keep talking about politics news or some other type of news : EMPTY > yes,вы хотите продолжить разговор о политических новостях или о каких-либо других новостях : ПУСТО > да
78,can you believe that : EMPTY > i could not,можете ли вы поверить в это : ПУСТО > я не мог
79,what all did you see in grand rapids michigan : EMPTY > i went to a lantern festival,"что вы все видели в Гранд-Рапидс, Мичиган : ПУСТО > я ходил на фестиваль фонарей"
80,did you know that : EMPTY > i didn't,"знаете ли вы, что : ПУСТО > я не"
81,do you want to keep talking about politics news or some other type of news : EMPTY > yes,вы хотите продолжить разговор о политических новостях или о каких-либо других новостях : ПУСТО > да
82,have you seen any good movies recently : EMPTY > miley,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > Майли
83,what is your favorite team in the nhl : EMPTY > connect,какая ваша любимая команда в НХЛ : ПУСТО > подключиться
84,can you tell me even more : and if you beat that > i'm pretty sure you get a prize,"можете ли вы сказать мне еще больше: и если вы победите это > я почти уверен, что вы получите приз"
85,what would you like to talk about : EMPTY > play nineties country,о чем бы вы хотели поговорить : ПУСТО > играйте в страну девяностых
86,what's your favorite movie with ryan reynolds : EMPTY > deadpool,какой ваш любимый фильм с Райаном Рейнольдсом : ПУСТОЙ > Дэдпул
87,can you repeat the movie name please : EMPTY > star wars,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > Звездные войны"
88,do you want to tell me your name : EMPTY > my name is lily,ты хочешь сказать мне свое имя : ПУСТО > меня зовут Лили
89,when do you listen to music : EMPTY > when i'm taking a shower,когда ты слушаешь музыку : ПУСТО > когда я принимаю душ
90,wanna know a fun fact about it : EMPTY > yes,хотите узнать забавный факт об этом: ПУСТО > да
91,do you want to tell me your name : EMPTY > linda,ты хочешь сказать мне свое имя : ПУСТО > Линда
92,is there something else you'd like to chat about : EMPTY > tell me a joke,"есть ли что-то еще, о чем вы хотели бы поболтать : ПУСТО > расскажи мне анекдот"
93,what's the name of your favorite movie : EMPTY > you're too many to choose from,"как называется ваш любимый фильм : ПУСТО > вас слишком много, чтобы выбирать из"
94,i am glad you like that : EMPTY > well,"я рад, что вам это нравится : ПУСТО > хорошо"
95,don't you think so : EMPTY > yeah,ты так не думаешь : ПУСТО > да
96,do you still want to continue our conversation about movies : yes > i would,вы все еще хотите продолжить наш разговор о фильмах : да > я бы
97,can we talk about some other topics : EMPTY > sure,можем ли мы поговорить о каких-то других темах : ПУСТО > уверен
98,who is your celebrity crush : EMPTY > ariana,кто твоя любимая знаменитость : ПУСТО > Ариана
99,do you prefer to watch movies in the theater or at home : EMPTY > i don't,вы предпочитаете смотреть фильмы в кинотеатре или дома : ПУСТО > я не
100,who would you cast as the main character : EMPTY > that's impossible,кого бы вы выбрали на роль главного героя : ПУСТО > это невозможно
101,do you want to keep talking about trending news or some other type of news : EMPTY > trending news,вы хотите продолжать говорить о трендовых новостях или о каком-либо другом типе новостей : ПУСТО > трендовые новости
102,or what the user seems to like seeing : EMPTY > phone,"или то, что пользователю, похоже, нравится видеть : ПУСТОЙ > телефон"
103,who would you cast as the main character : EMPTY > is fourth career,кого бы вы выбрали на роль главного героя : ПУСТО > это четвертая карьера
104,would you like to hear some news : EMPTY > sure,хотели бы вы услышать какие-нибудь новости : ПУСТО > уверен
105,what's your opinion on this news : EMPTY > that's good,каково ваше мнение об этой новости : ПУСТО > это хорошо
106,can you please say the movie name again clearly : EMPTY > the naked prey,"не могли бы вы, пожалуйста, еще раз четко произнести название фильма: ПУСТО > обнаженная добыча"
107,what movie genre do you enjoy the most : EMPTY > stop,какой жанр фильма вам нравится больше всего : ПУСТОЙ > стоп
108,don't you think that's cool : EMPTY > really cool,"тебе не кажется, что это круто : ПУСТО > действительно круто"
109,would you like to hear more : EMPTY > no,хотели бы вы услышать больше : ПУСТО > нет
110,would you like to hear more : EMPTY > yes,хотели бы вы услышать больше : ПУСТО > да
111,what would you say is your favorite feature or do you not have one yet : EMPTY > i don't have one yet,"какая, по вашему мнению, ваша любимая функция или у вас ее еще нет : ПУСТО > у меня ее еще нет"
112,do you want to tell me your name : EMPTY > jared,ты хочешь сказать мне свое имя : ПУСТО > Джаред
113,can you say it again please : EMPTY > songs,"не могли бы вы повторить это еще раз, пожалуйста : ПУСТО > песни"
114,how would you feel : EMPTY > let's talk about the bible,как бы вы себя чувствовали : ПУСТО > давайте поговорим о Библии
115,and i love to read when i'm not chatting : EMPTY > all right,"и я люблю читать, когда я не в чате : ПУСТО > все в порядке"
116,what's the name of your favorite book : EMPTY > oh,как называется твоя любимая книга : ПУСТО > о
117,alright : EMPTY > why not,хорошо : ПУСТО > почему бы и нет
118,did you know that : EMPTY > no,"знаете ли вы, что : ПУСТО > нет"
119,what would you like to talk about : EMPTY > cars,о чем бы вы хотели поговорить : ПУСТЫЕ > автомобили
120,do you listen to a lot of music : EMPTY > no,вы слушаете много музыки : ПУСТО > нет
121,what's the name of your favorite movie : EMPTY > who,как называется ваш любимый фильм : ПУСТО > кто
122,we can talk about something else as well : EMPTY > volume seven,мы можем поговорить и о чем-то другом : ПУСТОЙ > седьмой том
123,are you scared of any animals : EMPTY > no,вы боитесь каких-либо животных : ПУСТО > нет
124,and then found yourself looking for an undo button in real life : EMPTY > not really,"а потом обнаружил, что ищешь кнопку отмены в реальной жизни : ПУСТО > не совсем"
125,you should see muckross house and experience gaelic games : EMPTY > i would like to very much,вы должны увидеть дом Макросса и испытать гэльские игры : ПУСТО > я бы очень хотел
126,what would you like to talk about : EMPTY > what are some obscure holidays,о чем бы вы хотели поговорить : ПУСТО > какие есть малоизвестные праздники
127,do you prefer fiction or nonfiction books : come on > amily,вы предпочитаете художественную литературу или научно-популярные книги : давай > эмили
128,which teams do you think are the favorites for super bowl 2019 : EMPTY > the patriots and the miami dolphins,"какие команды, по вашему мнению, являются фаворитами суперкубка 2019 : ПУСТЫЕ > патриоты и майами долфинс"
129,what do you think : EMPTY > i got a funny,что вы думаете : ПУСТО > у меня забавный
130,do you want more like these : no > thank you,вы хотите еще таких: нет > спасибо
131,do you want to talk about some games : EMPTY > sure,вы хотите поговорить о каких-то играх : ПУСТО > конечно
132,did you think this movie was very original : EMPTY > no,"вам показалось, что этот фильм был очень оригинальным : ПУСТО > нет"
133,i think that the idea of solo travel is both exciting and scary : EMPTY > stop,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > остановка"
134,what would it be : EMPTY > how old are you,что бы это было : ПУСТО > сколько тебе лет
135,do you still want to continue our conversation about movies : EMPTY > let's pick a different topic,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > давайте выберем другую тему
136,do you know about world rabies day : EMPTY > no,знаете ли вы о всемирном дне борьбы с бешенством : ПУСТО > нет
137,do you still want to continue our conversation about movies : EMPTY > yeah,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > да
138,do you watch movies : EMPTY > yes,вы смотрите фильмы : ПУСТО > да
139,have you ever ended a text with a period as a sign of aggression : daily > say,вы когда-нибудь заканчивали текст точкой в знак агрессии : ежедневно > говорите
140,don't you remember : i said my name > not yours,"разве ты не помнишь: я назвал свое имя, а не твое"
141,can you believe that : EMPTY > yes,можете ли вы в это поверить : ПУСТО > да
142,can we talk about some other topics : no > we can't,можем ли мы поговорить на какие-то другие темы : нет > мы не можем
143,what pet do you have : EMPTY > i don't have any pets right now to fishy died,"какое у вас домашнее животное : ПУСТО > у меня сейчас нет домашних животных, чтобы рыбка умерла"
144,do you want to tell me your name : EMPTY > yes,вы хотите сказать мне свое имя : ПУСТО > да
145,what's your favorite part in that book : i haven't read that book too > but can i read you one,какая ваша любимая часть в этой книге: я тоже не читал эту книгу > но могу я почитать вам одну
146,have you ever tried to write a book : EMPTY > yes,вы когда-нибудь пытались написать книгу : ПУСТО > да
147,do you want to talk about some games : EMPTY > yes,вы хотите поговорить о каких-то играх : ПУСТО > да
148,learning more about you is fun : running breathless > look it up on google,"узнать о вас больше - это весело : бегите, затаив дыхание > найдите это в Google"
149,have you seen any good movies recently : EMPTY > no,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > нет
150,do you like to know what happened in history today : EMPTY > yes,"хотите знать, что произошло в истории сегодня : ПУСТО > да"
151,what movie do you like : EMPTY > see,какой фильм вам нравится : ПУСТОЙ > посмотреть
152,can you repeat the book name please : EMPTY > boy meets depression,"не могли бы вы повторить название книги, пожалуйста : ПУСТО > мальчик встречает депрессию"
153,and i'm thinking that buy essentials like tooth paste : if you have enough time > that's not right,"и я думаю, что покупайте предметы первой необходимости, такие как зубная паста: если у вас есть достаточно времени > это неправильно"
154,have you ever had a pet : EMPTY > no,у вас когда-нибудь было домашнее животное : ПУСТО > нет
155,did you find that interesting : you are > you told me that,"вам это показалось интересным : вы > вы сказали мне, что"
156,and i love to read when i'm not chatting : EMPTY > what a good read,"и я люблю читать, когда я не в чате : ПУСТО > какое хорошее чтение"
157,i try to listen to as much music as possible : EMPTY > off,я стараюсь слушать как можно больше музыки : ПУСТО > выключено
158,what do you think about clint eastwood's acting : EMPTY > is he dead,что вы думаете об актерской игре Клинта Иствуда : ПУСТО > он мертв
159,do you like animals : i love animals > dogs and puppies and cats and kitties are so adorable,"вам нравятся животные : я люблю животных > собаки, щенки, кошки и кошечки такие очаровательные"
160,maybe i know it : EMPTY > avengers infinity wars,"может быть, я это знаю : ПУСТО > мстители войны бесконечности"
161,what do you want to talk about : EMPTY > amazon,о чем вы хотите поговорить : ПУСТО > amazon
162,what would you imagine to celebrate on national drink beer day : EMPTY > corona,что бы вы хотели отпраздновать в национальный день пива : ПУСТОЙ > корона
163,what do you think : that i think about that > i can make sense actually and i think it's pretty cool,"что вы думаете: что я думаю об этом > я могу иметь смысл на самом деле, и я думаю, что это довольно круто"
164,what movie genre do you enjoy the most : EMPTY > science fiction,какой жанр фильма вам нравится больше всего : ПУСТОЙ > научная фантастика
165,i can only look at animal videos online : what > that's not nice,я могу смотреть только видео с животными онлайн : что > это нехорошо
166,i lost my train of thought : one > sorry,я потерял ход своих мыслей : один > извините
167,is there something else you'd like to chat about : EMPTY > no,"есть ли что-то еще, о чем вы хотели бы поболтать: ПУСТО > нет"
168,is there something else you'd like to talk about : i want to know how old you are > i'm twenty,"есть ли что-то еще, о чем ты хотел бы поговорить: я хочу знать, сколько тебе лет > мне двадцать"
169,i don't quite remember : EMPTY > stop,я не совсем помню : ПУСТО > стоп
170,who's your favorite author : EMPTY > goodbye,кто ваш любимый автор : ПУСТО > до свидания
171,"brooks settled on shirley maclaine to play aurora because ""she was the only one who saw it as a comedy"" did you know that : no > i didn't","Брукс выбрал Ширли Маклейн на роль Авроры, потому что ""она была единственной, кто рассматривал это как комедию"" знаете ли вы это: нет > я не"
172,do you want to tell me your name : EMPTY > turn off tom,ты хочешь сказать мне свое имя : ПУСТО > выключить тома
173,what movie do you like : EMPTY > probably the name,"какой фильм вам нравится : ПУСТО > вероятно, название"
174,how many times do you cook during a week : EMPTY > five,сколько раз вы готовите в течение недели : ПУСТО > пять
175,do you want to learn more stories like these : EMPTY > yeah,"вы хотите узнать больше историй, подобных этим : ПУСТО > да"
176,any thoughts : EMPTY > i never thought about that way,любые мысли : ПУСТО > я никогда не думал об этом
177,would you like to hear more : EMPTY > yes,хотели бы вы услышать больше : ПУСТО > да
178,maybe i know it : EMPTY > halloween,"может быть, я это знаю : ПУСТО > Хэллоуин"
179,isn't that interesting : EMPTY > say that again,разве это не интересно : ПУСТО > скажи это еще раз
180,would you like to know more : EMPTY > i would like to know more,хотели бы вы узнать больше : ПУСТО > я хотел бы узнать больше
181,do you want to chat about something else : EMPTY > yeah,ты хочешь поболтать о чем-то другом : ПУСТО > да
182,isn't that interesting : EMPTY > okay,разве это не интересно : ПУСТО > хорошо
183,do you mind tell me one more time : EMPTY > did you see the movie the savage is loose,"не возражаете, скажите мне еще раз : ПУСТО > вы смотрели фильм ""Дикарь на свободе"""
184,can you relate : EMPTY > i don't know,можете ли вы соотнести : ПУСТО > я не знаю
185,i'm an ai : EMPTY > what does that mean,я искусственный интеллект : ПУСТО > что это значит
186,wanna know a fun fact about it : EMPTY > yeah,хочешь узнать забавный факт об этом : ПУСТО > да
187,do you still want to continue our conversation about movies : yeah > no,вы все еще хотите продолжить наш разговор о фильмах : да > нет
188,maybe you could rephrase that : yes > nope,"может быть, вы могли бы перефразировать это: да > нет"
189,vegetable loving version of the cookie monster : EMPTY > i think i'd like to stop for now,"овощная версия печенья-монстра, любящего овощи : ПУСТО > я думаю, что хотел бы пока остановиться"
190,what movie do you like : EMPTY > to be honest,какой фильм вам нравится : ПУСТОЙ > если честно
191,the 2010 film a serbian film with milos played by sr__an todorovi__ : EMPTY > no,фильм 2010 года сербский фильм с Милошем в исполнении старшего __ан Тодорови__ : ПУСТО > нет
192,what book has had the biggest impact on human history : EMPTY > the river,какая книга оказала наибольшее влияние на историю человечества : ПУСТАЯ > река
193,what team are you cheering for : EMPTY > i don't know,за какую команду вы болеете : ПУСТО > я не знаю
194,"mean"" by taylor swift was released 7 years 11 months ago : EMPTY > okay","mean"" Тейлор Свифт был выпущен 7 лет 11 месяцев назад : ПУСТО > хорошо"
195,can you believe that : that's so cool > thanks for the info,можете ли вы в это поверить : это так круто > спасибо за информацию
196,do you wanna hear more things like this : EMPTY > yeah,ты хочешь услышать еще что-нибудь вроде этого : ПУСТО > да
197,you play any games on nintendo : EMPTY > yes,вы играете в какие-либо игры на nintendo : ПУСТО > да
198,the characters are so cute and adorable : EMPTY > can you play a sample of that soundtrack,персонажи такие милые и очаровательные : ПУСТО > можете ли вы воспроизвести образец этого саундтрека
199,i can't believe he made a shot within point 4 seconds : so i > just yeah,"я не могу поверить, что он сделал выстрел в течение целых 4 секунд: так что я > просто да"
200,have you seen any movies recently : EMPTY > yes,смотрели ли вы недавно какие-нибудь фильмы : ПУСТО > да
201,have you ever had a pet : EMPTY > yes,у вас когда-нибудь было домашнее животное : ПУСТО > да
202,this sparked a mass switch from tea-drinking to coffee-drinking : EMPTY > sure you mean,"это вызвало массовый переход от чаепития к кофепитию : ПУСТО > вы уверены, что имеете в виду"
203,do you want more like these : EMPTY > sure,вы хотите больше таких: ПУСТО > уверен
204,i knew i would like to have a golden retriever : EMPTY > is that a movie,"я знал, что хотел бы завести золотистого ретривера : ПУСТО > это фильм"
205,age no longer equals wisdom : that's depressing > tell me about aging,возраст больше не равен мудрости : это угнетает > расскажите мне о старении
206,do you want to talk about another video game : EMPTY > let's talk about the game,вы хотите поговорить о другой видеоигре : ПУСТО > давайте поговорим об игре
207,do you want more like these : just continue > don't ask me all the time,вы хотите больше таких: просто продолжайте > не спрашивайте меня все время
208,who's your favorite director : EMPTY > maddie,кто ваш любимый режиссер : ПУСТО > Мэдди
209,have you ever stared at your phone smiling like an idiot while texting with someone : EMPTY > yes,"вы когда-нибудь смотрели на свой телефон, улыбаясь как идиот, когда переписывались с кем-то : ПУСТО > да"
210,can you believe that : EMPTY > yeah,можешь в это поверить : ПУСТО > да
211,thanks : EMPTY > i'm done,спасибо : ПУСТО > я закончил
212,that's a great name for a dog : EMPTY > alexa end,отличное имя для собаки : ПУСТО > алекса энд
213,do you want more like these : EMPTY > yes,вы хотите больше таких : ПУСТО > да
214,and i love to read when i'm not chatting : EMPTY > so do you read books,"и я люблю читать, когда я не в чате : ПУСТО > так ты читаешь книги"
215,are you scared of any animals : EMPTY > no,вы боитесь каких-либо животных : ПУСТО > нет
216,can you believe that : no > i cannot,можете ли вы поверить в это : нет > я не могу
217,what do you think : that's very true > i am big fan of the ninety five one,что вы думаете : это очень верно > я большой поклонник the ninety five one
218,do you find that interesting : EMPTY > no,вы находите это интересным : ПУСТО > нет
219,want to know another : EMPTY > yes,хотите знать другое : ПУСТО > да
220,would you like to know more : EMPTY > no,хотите узнать больше : ПУСТО > нет
221,i haven't thought about that before : EMPTY > so what do you do it over,я не думал об этом раньше : ПУСТО > так над чем ты это делаешь
222,do you prefer fiction or nonfiction books : EMPTY > i like both,вы предпочитаете художественную литературу или научно-популярные книги : ПУСТО > мне нравятся обе
223,can you tell me even more : i'm pretty sure you get a prize > there's two four of them,"можете ли вы сказать мне еще больше: я почти уверен, что вы получите приз > их две четверки"
224,who's your favorite actor or actress : EMPTY > my favorite actor is in no my favorite actress is then deya,кто ваш любимый актер или актриса : ПУСТО > мой любимый актер в нет моя любимая актриса тогда Дея
225,would you like to know more : EMPTY > no,хотите узнать больше : ПУСТО > нет
226,do you watch movies : EMPTY > yes,вы смотрите фильмы : ПУСТО > да
227,i don't know why : EMPTY > well,я не знаю почему : ПУСТО > хорошо
228,did you find that interesting : EMPTY > oh no,вам это показалось интересным : ПУСТО > о нет
229,can you believe that : EMPTY > that's crazy,можете ли вы в это поверить : ПУСТО > это безумие
230,what's the name of your favorite movie : EMPTY > alexa stop,как называется ваш любимый фильм : ПУСТО > alexa stop
231,do you want to talk about music : EMPTY > yes,вы хотите поговорить о музыке : ПУСТО > да
232,do you like to read : EMPTY > stop,вам нравится читать : ПУСТО > стоп
233,what is the team that you are rooting for in m l b : EMPTY > baltimore,за какую команду вы болеете в m l b : ПУСТО > Балтимор
234,would you mind telling me more : EMPTY > it's not a game is the people make the games and published games,"не могли бы вы рассказать мне больше : ПУСТО > это не игра, это люди создают игры и публикуют игры"
235,do you guys mind looking over the componets and telling me where i could save money and anything you would do differently : EMPTY > i wanna give you a shot,"ребята, вы не против просмотреть компоненты и сказать мне, где я мог бы сэкономить деньги и что бы вы сделали по-другому : ПУСТО > я хочу дать вам шанс"
236,do you want more like these : EMPTY > yes,вы хотите больше таких : ПУСТО > да
237,who's your favorite director : EMPTY > yes,кто ваш любимый режиссер : ПУСТО > да
238,did you know that : well > i shot at the end he has,"знаете ли вы, что : ну > я выстрелил в конце, у него есть"
239,what movie do you like : a little bit dark > and when the joker out of everybody has a little scary,какой фильм вам нравится: немного мрачноватый > и когда Джокер из всех немного пугает
240,what movie do you like : EMPTY > star wars,какой фильм вам нравится : ПУСТОЙ > Звездные войны
241,its a new experience in a new place either way : yeah > i guess,"в любом случае, это новый опыт в новом месте : да > я думаю"
242,isn't that interesting : EMPTY > it's true,разве это не интересно : ПУСТО > это правда
243,i wonder if i've seen it too : EMPTY > cinderella,"интересно, видел ли я это тоже : ПУСТО > золушка"
244,isn't that interesting : EMPTY > yes,разве это не интересно : ПУСТО > да
245,do you like to read : EMPTY > no,вам нравится читать : ПУСТО > нет
246,are you scared of any animals : EMPTY > snakes,вы боитесь каких-либо животных : ПУСТО > змеи
247,but i think the trick is to set a limit and keep an eye out for bargains : EMPTY > that we do,"но я думаю, что хитрость заключается в том, чтобы установить лимит и следить за сделками : ПУСТО >, которые мы делаем"
248,i wonder if i've seen it too : EMPTY > it would have to be,"интересно, видел ли я это тоже : ПУСТО > это должно было быть"
249,have you ever tried to guess someone else's password so many times that it locked their account : EMPTY > no,"вы когда-нибудь пытались угадать чужой пароль так много раз, что это блокировало их учетную запись: ПУСТО > нет"
250,who's your favorite author : EMPTY > song,кто ваш любимый автор : ПУСТО > песня
251,i cannot play you music : EMPTY > okay,я не могу включить тебе музыку : ПУСТО > хорошо
252,what's the name of your favorite movie : smokes > songs do not smell like load,как называется ваш любимый фильм : дымит > песни не пахнут как загрузка
