,text,joint_labels
40,о чем бы вы хотели поговорить : ПУСТО > давайте поговорим о праздниках,command
41,"но я думаю, что хитрость в том, чтобы установить лимит и следить за выгодными предложениями: ПУСТО > да",back-channeling
42,вы хотите сказать мне свое имя : ПУСТО > да,pos_answer
43,как называется ваш любимый фильм : эмодзи > фильм с эмодзи,opinion
44,вы когда-нибудь были в зоопарке : да > очень много раз,pos_answer;statement
45,я этого не понял : нет > но кто этот парень,open_question_factual
46,кто ваш любимый автор : ПУСТО > хорошо,hold
47,"хотели бы вы услышать больше : ПУСТО > нет, спасибо",neg_answer;command
48,"тебе не кажется, что это круто : ПУСТО > я делаю",pos_answer
49,"давайте посмотрим, знаю ли я это : ПУСТО > что это было еще раз",open_question_factual
50,разве это не интересно : да > это так,pos_answer;statement
51,они тоже пугают моих создателей : ПУСТО > как насчет медведей,open_question_opinion
52,"какая ваша любимая часть в этой книге: ПУСТО > когда Ники наряжается как надевающая маску, потому что она испортила свое лицо, и надеется, что синий циферблат поверх этого",opinion
53,вот почему я хочу поделиться этим с вами - у вас когда-нибудь было домашнее животное : о > конечно,pos_answer
54,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: всех вас > и это важно",comment
55,просто скажи стоп : ПУСТО > о чем ты думаешь,open_question_opinion
56,ты так не думаешь : о > ты идешь преследовать меня,yes_no_question
57,и вместе играли в футбольной команде : ха > это интересный факт,appreciation
58,за какую команду вы болеете в m l b : ПУСТО > Аризона даймондбэкс,opinion
59,"но я думаю, что его навыки и чемпионский менталитет невероятны : ПУСТО > хватит говорить о футболе",complaint
60,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > как далеко я могу зайти с вами,open_question_factual
61,я не думал об этом раньше : ПУСТО > не так ли,abandon
62,вы хотите услышать больше новостей о футболе : ПУСТО > да,pos_answer;command
63,"я буду умнее, если ты сможешь научить меня: мне нравится заниматься чем-то со своими друзьями > есть ли у тебя друзья",yes_no_question
64,какая ваша любимая роль в фильме : ПУСТО > какая в нем погода,opinion
65,"я буду умнее, если ты научишь меня: ПУСТО > нет",neg_answer
66,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > пропустить",abandon
67,можете ли вы перефразировать это: ПУСТО > ори и слепой лес,statement
68,она ответила: ну > сколько же они сказали,open_question_factual
69,"он спроектировал свой дом как колонию муравьев, но все еще искал свою королеву : ПУСТО > мне не нравятся ваши истории",complaint
70,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > стоп",closing
71,хотели бы вы услышать больше : ПУСТО > нет,neg_answer;command
72,можете ли вы в это поверить : ПУСТО > нет,neg_answer
73,какая книга оказала наибольшее влияние на историю человечества : ПУСТО > вы сказали,abandon
74,хотели бы вы узнать больше : ПУСТО > да,pos_answer;command
75,вы хотите поговорить о другой видеоигре : ПУСТО > конечно,pos_answer;command
76,о чем бы вы хотели поговорить : ПУСТО > можете ли вы включить песни джунглей,dev_command;yes_no_question
77,вы хотите продолжить разговор о политических новостях или о каких-либо других новостях : ПУСТО > да,pos_answer;command
78,можете ли вы поверить в это : ПУСТО > я не мог,neg_answer
79,"что вы все видели в Гранд-Рапидс, Мичиган : ПУСТО > я ходил на фестиваль фонарей",statement
80,"знаете ли вы, что : ПУСТО > я не",neg_answer
81,вы хотите продолжить разговор о политических новостях или о каких-либо других новостях : ПУСТО > да,pos_answer;command
82,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > Майли,statement
83,какая ваша любимая команда в НХЛ : ПУСТО > подключиться,abandon
84,"можете ли вы сказать мне еще больше: и если вы победите это > я почти уверен, что вы получите приз",statement
85,о чем бы вы хотели поговорить : ПУСТО > играйте в страну девяностых,command;opinion
86,какой ваш любимый фильм с Райаном Рейнольдсом : ПУСТО > Дэдпул,opinion
87,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > Звездные войны",opinion
88,ты хочешь сказать мне свое имя : ПУСТО > меня зовут Лили,statement
89,когда ты слушаешь музыку : ПУСТО > когда я принимаю душ,statement
90,хотите узнать забавный факт об этом: ПУСТО > да,pos_answer;command
91,ты хочешь сказать мне свое имя : ПУСТО > Линда,statement
92,"есть ли что-то еще, о чем вы хотели бы поболтать : ПУСТО > расскажи мне анекдот",command
93,"как называется ваш любимый фильм : ПУСТО > вас слишком много, чтобы выбирать из",comment
94,"я рад, что вам это нравится : ПУСТО > хорошо",hold
95,ты так не думаешь : ПУСТО > да,pos_answer
96,вы все еще хотите продолжить наш разговор о фильмах : да > я бы,pos_answer
97,можем ли мы поговорить о каких-то других темах : ПУСТО > уверен,pos_answer;command
98,кто твоя любимая знаменитость : ПУСТО > Ариана,opinion
99,вы предпочитаете смотреть фильмы в кинотеатре или дома : ПУСТО > я не,other_answers
100,кого бы вы выбрали на роль главного героя : ПУСТО > это невозможно,comment
101,вы хотите продолжать говорить о трендовых новостях или о каком-либо другом типе новостей : ПУСТО > трендовые новости,opinion
102,"или то, что пользователю, похоже, нравится видеть : ПУСТО > телефон",abandon
103,кого бы вы выбрали на роль главного героя : ПУСТО > это четвертая карьера,opinion
104,хотели бы вы услышать какие-нибудь новости : ПУСТО > уверен,pos_answer;command
105,каково ваше мнение об этой новости : ПУСТО > это хорошо,comment
106,"не могли бы вы, пожалуйста, еще раз четко произнести название фильма: ПУСТО > обнаженная добыча",opinion
107,какой жанр фильма вам нравится больше всего : ПУСТО > стоп,closing
108,"тебе не кажется, что это круто : ПУСТО > действительно круто",pos_answer
109,хотели бы вы услышать больше : ПУСТО > нет,neg_answer;command
110,хотели бы вы услышать больше : ПУСТО > да,pos_answer;command
111,"какая, по вашему мнению, ваша любимая функция или у вас ее еще нет : ПУСТО > у меня ее еще нет",other_answers
112,ты хочешь сказать мне свое имя : ПУСТО > Джаред,statement
113,"не могли бы вы повторить это еще раз, пожалуйста : ПУСТО > песни",abandon
114,как бы вы себя чувствовали : ПУСТО > давайте поговорим о Библии,command
115,"и я люблю читать, когда я не в чате : ПУСТО > все в порядке",back-channeling
116,как называется твоя любимая книга : ПУСТО > о,hold
117,хорошо : ПУСТО > почему бы и нет,open_question_opinion
118,"знаете ли вы, что : ПУСТО > нет",neg_answer
119,о чем бы вы хотели поговорить : ПУСТЫЕ > автомобили,opinion
120,вы слушаете много музыки : ПУСТО > нет,neg_answer
121,как называется ваш любимый фильм : ПУСТО > кто,opinion
122,мы можем поговорить и о чем-то другом : ПУСТО > седьмой том,dev_command
123,вы боитесь каких-либо животных : ПУСТО > нет,neg_answer
124,"а потом обнаружил, что ищешь кнопку отмены в реальной жизни : ПУСТО > не совсем",neg_answer
125,вы должны увидеть дом Макросса и испытать гэльские игры : ПУСТО > я бы очень хотел,opinion
126,о чем бы вы хотели поговорить : ПУСТО > какие есть малоизвестные праздники,open_question_factual
127,вы предпочитаете художественную литературу или научно-популярные книги : давай > эмили,abandon
128,"какие команды, по вашему мнению, являются фаворитами суперкубка 2019 : ПУСТЫЕ > патриоты и майами долфинс",opinion
129,что вы думаете : ПУСТО > у меня забавный,opinion
130,вы хотите еще таких: нет > спасибо,thanking
131,вы хотите поговорить о каких-то играх : ПУСТО > конечно,pos_answer;command
132,"вам показалось, что этот фильм был очень оригинальным : ПУСТО > нет",neg_answer
133,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > остановка",closing
134,что бы это было : ПУСТО > сколько тебе лет,open_question_factual
135,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > давайте выберем другую тему,command
136,знаете ли вы о всемирном дне борьбы с бешенством : ПУСТО > нет,neg_answer;command
137,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > да,pos_answer;command
138,вы смотрите фильмы : ПУСТО > да,pos_answer
139,вы когда-нибудь заканчивали текст точкой в знак агрессии : ежедневно > говорите,abandon
140,"разве ты не помнишь: я назвал свое имя, а не твое",statement
141,можете ли вы в это поверить : ПУСТО > да,pos_answer
142,можем ли мы поговорить на какие-то другие темы : нет > мы не можем,neg_answer;command
143,"какое у вас домашнее животное : ПУСТО > у меня сейчас нет домашних животных, чтобы рыбка умерла",statement
144,вы хотите сказать мне свое имя : ПУСТО > да,pos_answer
145,какая ваша любимая часть в этой книге: я тоже не читал эту книгу > но могу я почитать вам одну,yes_no_question
146,вы когда-нибудь пытались написать книгу : ПУСТО > да,pos_answer
147,вы хотите поговорить о каких-то играх : ПУСТО > да,pos_answer;command
148,"узнать о вас больше - это весело : бегите, затаив дыхание > найдите это в Google",dev_command
149,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > нет,neg_answer
150,"хотите знать, что произошло в истории сегодня : ПУСТО > да",pos_answer
151,какой фильм вам нравится : ПУСТО > посмотреть,hold
152,"не могли бы вы повторить название книги, пожалуйста : ПУСТО > мальчик встречает депрессию",opinion
153,"и я думаю, что покупайте предметы первой необходимости, такие как зубная паста: если у вас есть достаточно времени > это неправильно",comment
154,у вас когда-нибудь было домашнее животное : ПУСТО > нет,neg_answer
155,"вам это показалось интересным : вы > вы сказали мне, что",complaint
156,"и я люблю читать, когда я не в чате : ПУСТО > какое хорошее чтение",comment
157,я стараюсь слушать как можно больше музыки : ПУСТО > выключено,closing
158,что вы думаете об актерской игре Клинта Иствуда : ПУСТО > он мертв,yes_no_question
159,"вам нравятся животные : я люблю животных > собаки, щенки, кошки и кошечки такие очаровательные",comment
160,"может быть, я это знаю : ПУСТО > мстители войны бесконечности",opinion
161,о чем вы хотите поговорить : ПУСТО > amazon,command;statement
162,что бы вы хотели отпраздновать в национальный день пива : ПУСТО > корона,opinion
163,"что вы думаете: что я думаю об этом > я могу иметь смысл на самом деле, и я думаю, что это довольно круто",opinion
164,какой жанр фильма вам нравится больше всего : ПУСТО > научная фантастика,opinion
165,я могу смотреть только видео с животными онлайн : что > это нехорошо,comment
166,я потерял ход своих мыслей : один > извините,apology
167,"есть ли что-то еще, о чем вы хотели бы поболтать: ПУСТО > нет",neg_answer
168,"есть ли что-то еще, о чем ты хотел бы поговорить: я хочу знать, сколько тебе лет > мне двадцать",statement
169,я не совсем помню : ПУСТО > стоп,closing
170,кто ваш любимый автор : ПУСТО > до свидания,closing
171,"""Брукс выбрал Ширли Маклейн на роль Авроры, потому что """"она была единственной, кто рассматривал это как комедию"""" знаете ли вы это: нет > я не""",neg_answer;statement
172,ты хочешь сказать мне свое имя : ПУСТО > выключить тома,dev_command
173,"какой фильм вам нравится : ПУСТО > вероятно, название",opinion
174,сколько раз вы готовите в течение недели : ПУСТО > пять,statement
175,"вы хотите узнать больше историй, подобных этим : ПУСТО > да",pos_answer;command
176,любые мысли : ПУСТО > я никогда не думал об этом,other_answers
177,хотели бы вы услышать больше : ПУСТО > да,pos_answer;command
178,"может быть, я это знаю : ПУСТО > Хэллоуин",opinion
179,разве это не интересно : ПУСТО > скажи это еще раз,command
180,хотели бы вы узнать больше : ПУСТО > я хотел бы узнать больше,pos_answer;command
181,ты хочешь поболтать о чем-то другом : ПУСТО > да,pos_answer
182,разве это не интересно : ПУСТО > хорошо,pos_answer
183,"""не возражаете, скажите мне еще раз : ПУСТО > вы смотрели фильм """"Дикарь на свободе""""""",open_question_factual
184,можете ли вы соотнести : ПУСТО > я не знаю,other_answers
185,я искусственный интеллект : ПУСТО > что это значит,open_question_factual
186,хочешь узнать забавный факт об этом : ПУСТО > да,command
187,вы все еще хотите продолжить наш разговор о фильмах : да > нет,neg_answer
188,"может быть, вы могли бы перефразировать это: да > нет",neg_answer
189,"овощная версия печенья-монстра, любящего овощи : ПУСТО > я думаю, что хотел бы пока остановиться",statement
190,какой фильм вам нравится : ПУСТО > если честно,hold
191,фильм 2010 года сербский фильм с Милошем в исполнении старшего __ан Тодорови__ : ПУСТО > нет,neg_answer
192,какая книга оказала наибольшее влияние на историю человечества : ПУСТАЯ > река,opinion
193,за какую команду вы болеете : ПУСТО > я не знаю,other_answers
194,"""mean"""" Тейлор Свифт был выпущен 7 лет 11 месяцев назад : ПУСТО > хорошо""",back-channeling
195,можете ли вы в это поверить : это так круто > спасибо за информацию,thanking
196,ты хочешь услышать еще что-нибудь вроде этого : ПУСТО > да,pos_answer;command
197,вы играете в какие-либо игры на nintendo : ПУСТО > да,pos_answer
198,персонажи такие милые и очаровательные : ПУСТО > можете ли вы воспроизвести образец этого саундтрека,dev_command;yes_no_question
199,"я не могу поверить, что он сделал выстрел в течение целых 4 секунд: так что я > просто да",nonsense
200,смотрели ли вы недавно какие-нибудь фильмы : ПУСТО > да,pos_answer
201,у вас когда-нибудь было домашнее животное : ПУСТО > да,pos_answer
202,"это вызвало массовый переход от чаепития к кофепитию : ПУСТО > вы уверены, что имеете в виду",statement
203,вы хотите больше таких: ПУСТО > уверен,pos_answer;command
204,"я знал, что хотел бы завести золотистого ретривера : ПУСТО > это фильм",yes_no_question
205,возраст больше не равен мудрости : это угнетает > расскажите мне о старении,command
206,вы хотите поговорить о другой видеоигре : ПУСТО > давайте поговорим об игре,command
207,вы хотите больше таких: просто продолжайте > не спрашивайте меня все время,complaint
208,кто ваш любимый режиссер : ПУСТО > Мэдди,opinion
209,"вы когда-нибудь смотрели на свой телефон, улыбаясь как идиот, когда переписывались с кем-то : ПУСТО > да",pos_answer
210,можешь в это поверить : ПУСТО > да,pos_answer
211,спасибо : ПУСТО > я закончил,closing
212,отличное имя для собаки : ПУСТО > алекса энд,closing
213,вы хотите больше таких : ПУСТО > да,pos_answer;command
214,"и я люблю читать, когда я не в чате : ПУСТО > так ты читаешь книги",yes_no_question
215,вы боитесь каких-либо животных : ПУСТО > нет,neg_answer
216,можете ли вы поверить в это : нет > я не могу,neg_answer;statement
217,что вы думаете : это очень верно > я большой поклонник the ninety five one,opinion
218,вы находите это интересным : ПУСТО > нет,neg_answer
219,хотите знать другое : ПУСТО > да,pos_answer;command
220,хотите узнать больше : ПУСТО > нет,neg_answer;command
221,я не думал об этом раньше : ПУСТО > так над чем ты это делаешь,open_question_factual
222,вы предпочитаете художественную литературу или научно-популярные книги : ПУСТО > мне нравятся обе,opinion
223,"можете ли вы сказать мне еще больше: я почти уверен, что вы получите приз > их две четверки",statement
224,кто ваш любимый актер или актриса : ПУСТО > мой любимый актер в нет моя любимая актриса тогда Дея,opinion
225,хотите узнать больше : ПУСТО > нет,neg_answer;command
226,вы смотрите фильмы : ПУСТО > да,pos_answer
227,я не знаю почему : ПУСТО > хорошо,hold
228,вам это показалось интересным : ПУСТО > о нет,neg_answer
229,можете ли вы в это поверить : ПУСТО > это безумие,comment
230,как называется ваш любимый фильм : ПУСТО > alexa stop,closing
231,вы хотите поговорить о музыке : ПУСТО > да,pos_answer;command
232,вам нравится читать : ПУСТО > стоп,closing
233,за какую команду вы болеете в m l b : ПУСТО > Балтимор,opinion
234,"не могли бы вы рассказать мне больше : ПУСТО > это не игра, это люди создают игры и публикуют игры",statement
235,"ребята, вы не против просмотреть компоненты и сказать мне, где я мог бы сэкономить деньги и что бы вы сделали по-другому : ПУСТО > я хочу дать вам шанс",opinion
236,вы хотите больше таких : ПУСТО > да,pos_answer;command
237,кто ваш любимый режиссер : ПУСТО > да,pos_answer
238,"знаете ли вы, что : ну > я выстрелил в конце, у него есть",abandon
239,какой фильм вам нравится: немного мрачноватый > и когда Джокер из всех немного пугает,comment
240,какой фильм вам нравится : ПУСТО > Звездные войны,opinion
241,"в любом случае, это новый опыт в новом месте : да > я думаю",opinion
242,разве это не интересно : ПУСТО > это правда,pos_answer
243,"интересно, видел ли я это тоже : ПУСТО > золушка",opinion
244,разве это не интересно : ПУСТО > да,pos_answer
245,вам нравится читать : ПУСТО > нет,neg_answer
246,вы боитесь каких-либо животных : ПУСТО > змеи,pos_answer;statement
247,"но я думаю, что хитрость заключается в том, чтобы установить лимит и следить за сделками : ПУСТО >, которые мы делаем",statement
248,"интересно, видел ли я это тоже : ПУСТО > это должно было быть",opinion
249,"вы когда-нибудь пытались угадать чужой пароль так много раз, что это блокировало их учетную запись: ПУСТО > нет",neg_answer
250,кто ваш любимый автор : ПУСТО > песня,opinion
251,я не могу включить тебе музыку : ПУСТО > хорошо,back-channeling
252,как называется ваш любимый фильм : дымит > песни не пахнут как загрузка,statement
253,"а затем обнаружил, что вы ищете кнопку отмены в реальной жизни : ПУСТО > да",pos_answer
254,о чем вы хотите поговорить : ПУСТО > сколько дней,nonsense
255,я так рад услышать ваше мнение : ПУСТО > далеко,complaint
256,хотели бы вы узнать больше : ПУСТО > да,pos_answer;command
257,любые мысли : ПУСТО > интересно,comment
258,вы хотите услышать больше : ПУСТО > нет,neg_answer;command
259,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: я люблю тебя > что бы ты ни делал",statement
260,какая ваша любимая роль в фильме : ПУСТО > вы делаете чокнутый,statement
261,вы когда-нибудь пытались написать книгу : ПУСТО > да,pos_answer
262,вы уже знаете об этой новости : ПУСТО > нет,neg_answer
263,"""просто дайте мне знать, ответив """"да"""" или """"нет"""" : ПУСТО > почему""",open_question_factual
264,можете ли вы в это поверить : ПУСТО > я не могу,neg_answer
265,вы хотите поговорить о другой видеоигре : ПУСТО > нет,neg_answer;command
266,хотя я __не уверен в происхождении : ПУСТО > мы закончили,complaint
267,"интересно, видел ли я это тоже : ПУСТО > я действительно не знаю",other_answers
268,"джимини крикет, я бы предпочел поговорить о чем-нибудь другом : ПУСТО > повернись, по-моему, звучит именно так.",command
269,отличное имя для собаки : ПУСТО > да,back-channeling
270,какое у вас домашнее животное : ПУСТОЕ > собака,statement
271,как называется ваша любимая книга : ПУСТО > моя любимая книга - Библия,opinion
272,"возможно, я это видел : так что случилось > армия тьмы",opinion
273,"я не думал об этом раньше : ПУСТО > ты что, тупой",yes_no_question
274,"возможно, я это видел: немного устал > я собираюсь поесть прямо сейчас",closing
275,"кажется, я ослышался : в поисках Дори > мне нравится этот фильм",opinion
276,"какой талисман лучший в m l b : я знаю, о чем вы хотите поговорить > я просто не знаю",statement
277,"хочу поговорить о путешествиях : ПУСТО > нет, спасибо",neg_answer;command
278,какая книга оказала наибольшее влияние на историю человечества : ПУСТО > оранжевый,opinion
279,"знаете ли вы, что : ПУСТО > нет",neg_answer
280,спасибо : ПУСТО > sharknado два,opinion
281,что вы думаете : ПУСТО > нет,neg_answer
282,я ответил на ваш вопрос: ПУСТО > да,pos_answer
283,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > да,pos_answer;command
284,"фух, это был полный рот : ПУСТО > ага",back-channeling
285,вы хотите поговорить о музыке : ПУСТО > музыка,pos_answer
286,как насчет тебя : ПУСТО > не прямо сейчас,neg_answer;command
287,узнавать о вас больше - это весело : я не читаю книгу > в настоящее время,other_answers
288,о чем бы вы хотели поговорить : ПУСТО > поговорить о животных,command;opinion
289,я могу смотреть только видео с животными онлайн : ПУСТО > кого мы могли бы привести вам на,open_question_factual
290,хотите узнать другое : ПУСТО > горит свет,pos_answer;command
291,"""давайте посмотрим, знаю ли я это: величайшим фильмом всех времен для многих был бы """"давайте посмотрим сказки южной земли"""".""",opinion
292,узнавать о вас больше - это весело : ПУСТО > я робот,opinion
293,ты хочешь сказать мне свое имя : Алекса > ты хочешь остановиться,yes_no_question
294,приключение и просто отдохнуть от их обычной рутины : ПУСТО > да,back-channeling
295,он был таким талантливым художником : ПУСТО > да,back-channeling
296,куда вы планируете отправиться дальше : ПУСТО > остановите это сейчас,closing
297,"могу я задать вам кучу вопросов, чтобы проверить, человек вы или нет: ПУСТО > да",pos_answer
298,какая книга оказала наибольшее влияние на историю человечества : ПУСТО > Библия,opinion
299,"какие чувства вызвала у вас эта книга: и это то, что мне нравится > если вы говорите, что представляете себе нацию, большинство книг могут разжечь воображение",opinion
300,вы хотите услышать больше : ПУСТО > да,pos_answer;command
301,"давайте посмотрим, знаю ли я это : ПУСТО > Вилли Вонка и шоколадная фабрика",opinion
302,"какая ваша любимая часть, когда вы смотрите футбольный матч : ПУСТО > положить",abandon
303,"знаете ли вы, что : ПУСТО > да",pos_answer
304,что вы думаете : ПУСТО > я не знаю,other_answers
305,что это : ПУСТО > парк юрского периода,statement
306,смотрели ли вы какие-нибудь фильмы в последнее время : ПУСТО > нет,neg_answer
307,читали ли вы в последнее время какие-нибудь хорошие книги : Фрэнк > это не,statement
308,"какой персонаж, по вашему мнению, больше всего похож на вас в этой книге : ПУСТО > в научно-популярной книге нет персонажа глупее",statement
309,"интересно, есть ли какая-то особая причина, по которой это место является местом отдыха вашей мечты: мне просто нравится это место > оно очень милое",comment
310,вы хотите больше таких: ПУСТО > нет,neg_answer;command
311,"не могли бы вы сказать это еще раз: ПУСТО > всем мальчикам, которых я любила раньше",opinion
312,кто ваш любимый актер или актриса : мой любимый актер > яйцо,opinion
313,ты так не думаешь : ПУСТО > ты мне больше не нравишься,complaint
314,вы хотите поговорить о другой видеоигре : ПУСТО > конечно,pos_answer;command
315,"а затем обнаружил, что вы ищете кнопку отмены в реальной жизни : ПУСТО > да",pos_answer
316,барнум: ПУСТО > да,pos_answer
317,"и я люблю читать, когда я не в чате : ПУСТО > подождите",hold
318,у меня есть свои источники : ПУСТО > давайте поболтаем,command
319,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > да,pos_answer;command
320,вы предпочитаете физические книги или электронные книги : ПУСТО > обе,opinion
321,я хотел бы услышать ваши мысли по этому поводу : ПУСТО > у кого есть,nonsense
322,директор Гамильтона - Томас Кейл : ПУСТО > расскажите о моем расписании,command
323,вы хотите больше таких: ПУСТО > нет,neg_answer;command
324,вы хотите сказать мне свое имя : ПУСТО > да,pos_answer
325,просто скажите стоп : ПУСТО > стоп,closing
326,"""просто дайте мне знать, ответив """"да"""" или """"нет"""" : ПУСТО > да""",pos_answer;command
327,"я буду умнее, если ты сможешь научить меня : ПУСТО > что за",abandon
328,"интересно, где было последнее место, где ты путешествовал: ПУСТО > ты хочешь спуститься",yes_no_question
329,"давайте посмотрим, знаю ли я это : ПУСТО > назад в будущее",opinion
330,"давайте посмотрим, знаю ли я это : ПУСТО > Гарри Поттер и волшебный камень",statement
331,о чем бы вы хотели поговорить : ПУСТО > о чем вы хотите поговорить,open_question_opinion
332,"скажите мне название фильма, который вы хотите обсудить : ПУСТО > вы мстители",command
333,"возможно, я видел это : ПУСТО > форма воды",opinion
334,собаки - отличные домашние животные : ПУСТО > также кошка,statement
335,какая книга тебе нравится : ПУСТО > мне нравится мой маленький пони,opinion
336,титаник : ПУСТО > о,hold
337,"не могли бы вы рассказать мне подробнее о том, что вы ищете : ПУСТОТА > вещь во имя моего мозга",statement
338,какую видеоигру вы имеете в виду : иди посмотри > свою землю,opinion
339,у ботов в облаке нет дней рождения : ПУСТО > какой день рождения у Бритни,open_question_factual
340,как бы вы себя чувствовали: ПУСТО > хорошо,opinion
341,у вас когда-нибудь было домашнее животное : ПУСТО > да,pos_answer
342,вы смотрите фильмы : ПУСТО > да,pos_answer
343,о чем вы хотите поговорить : ПУСТО > давайте поговорим о фильмах,command
344,кто ваш любимый актер или актриса : мой любимый актер > это музыка Бетховена,opinion
345,о чем нам следует поболтать : ПУСТО > животные,command;opinion
346,"любые мысли : ПУСТО > давайте поговорим о том, как рождаются люди",command
347,вам нравятся туристические мероприятия или вы предпочитаете изучать местную жизнь : ПУСТО > оба,opinion
348,у вас когда-нибудь было домашнее животное: да > у меня есть,pos_answer;statement
349,"вы когда-нибудь смеялись или улыбались, когда кто-то говорил вам что-то странное, а потом весь остаток дня задавались вопросом, почему вы так отреагировали: ПУСТО > да",pos_answer
