,speaker,text,code
130019,B,Right.,aa
130020,B,Right.,aa
130021,A,You know?,qh
130022,B,Definitely when it's cool.,bf
130023,A,Yes.,aa
130024,B,"Well, have you done much camping around Texas?",qy
130025,A,"Well, not really because usually it's when we go off, you know, like for a couple weeks or so.",ng
130026,B,Uh-huh.,b
130027,B,Uh-huh.,b
130028,A,It's usually like that.,sd
130029,B,Yeah.,b
130030,B,"Well, have you camped all over the United States?",qy
130031,A,Just about.,na
130032,B,Wow.,ba
130033,A,Just about.,na
130034,B,"See now I haven't so that,",sd
130035,B,I bet you that's an experience there.,sv
130036,A,"Oh, it really is.",sd
130037,B,Uh-huh.,b
130038,A,It really is.,sd
130039,B,Uh-huh.,b
130040,A,Also I said we mostly did ours before we started a family.,sd
130041,B,"Right,",b
130042,B,right.,b
130043,A,It's a lot easier then.,sd
130044,B,"Well, I know my parents like to camp a lot,",sd
130045,B,"and they, uh, they've been going to Gulf Shores, Alabama. And, uh, which is really, really neat.",sd
130046,A,"Oh, uh-huh.",b
130047,B,"They said they've got the white beaches and the sand,",sd
130048,A,Yes.,b
130049,B,"and it's not real populated so they can, they feel like they're in the outdoors and still close to the ocean.",sd
130050,A,Uh-huh.,b
130051,B,"And, uh, from what I understand from them it's really, really pretty there.",sd
130052,A,Oh.,b
130053,A,I'd like to go anywhere.,sd
130054,A,"You know, I just like to go.",sd
130055,B,"Uh-huh,",b
130056,B,uh-huh.,b
130057,A,I really do.,sd
130058,B,"Well, have you done much camping up in Kentucky and, and those parts, in the mountains?",qy
130059,A,"No,",nn
130060,A,"not really,",ng
130061,A,not that much.,sd
130062,A,"Um, we've been, well, we've been to Wyoming, you know, and Kentucky and Montana and, you know, places like that.",sd
130063,A,But usually if we're with a group of people we really don't stay any one place very long.,sd
130064,B,Uh-huh.,b
130065,A,"You know, like if we're just going through and they camp one night and then head on.",sd
130066,B,"Right,",b
130067,B,right.,b
130068,A,"But now that we have children and we go every blue moon, I'd rather just go to Galveston. You know",sd
130069,B,Yeah,b
130070,B,"Oh, yeah,",ba
130071,B,"yeah,",b
130072,B,"yeah,",b
130073,A,"Yes,",aa
130074,A,yes.,aa
130075,A,Yes.,b
130076,B,"But we're, uh, we're getting more into it",sd
130077,B,"and we've done, uh, we've done quite a bit",sd
130078,B,"and, uh, uh, the kids like to go out, you know, as often as they can.",sd
130079,A,Uh-huh.,b
130080,B,"Um, so that's good.",sd
130081,B,"You know, they're, they're becoming enthusiasts then of camping.",sd
130082,A,Uh-huh.,b
130083,A,It is.,sd
130084,A,My children really enjoys it.,sd
130085,A,They really do.,sd
130086,A,"But by the time we really get a chance to it's July, you know,",sd
130087,B,Right.,b
130088,A,and it's so hot.,sd
130089,B,"Uh-huh,",b
130090,B,uh-huh.,b
130091,A,And our camper doesn't have an air conditioner.,sd
130092,B,"Oh, yeah.",b
130093,A,"Yeah,",b
130094,A,it's one of those pop-ups.,sd
130095,A,"I'm sure you could put one in probably,",sd
130096,B,Uh-huh.,b
130097,A,but we hadn't did that.,sd
130098,B,"Uh-huh,",b
130099,B,uh-huh.,b
130100,B,"Yeah,",%
130101,B,"well, that's really neat.",ba
130102,A,"Yes,",b
130103,B,"Well,",%
130104,A,we all enjoy camping.,sd
130105,A,"And they're, you know, they're in like and scouts and stuff like that, you know, so, they get to go camping in those organizations also.",sd
130106,B,Uh-huh.,b
130107,B,Uh-huh.,b
130108,A,"At least their Daddy goes with them,",sd
130109,A,"I don't, when they do that.",sd
130110,B,Yeah.,b
130111,A,"But, That really is.",sd
130112,B,Yeah.,b
130113,B,"Oh, that's neat.",ba
130114,B,That's really neat.,ba
130115,A,"Well, how old is your boys, your children?",qw
130116,B,"Well, I, well, I have, um, a son that's, uh, going to be eleven here pretty soon, and then a daughter that's thirteen.",sd
130117,A,Uh-huh.,b
130118,B,"So, they're, they're getting old enough to where they can help out with a campfire and, cooking and, and all that kind of stuff too.",sd
130119,A,"Oh, yes.",ba
130120,A,Yeah.,b
130121,A,Yes.,b
130122,B,"So, that's, that's really neat.",ba
130123,A,It really is.,sd
130124,A,Mine's eleven and eight.,sd
130125,B,Uh-huh.,b
130126,A,"So, they really enjoy it too.",sd
130127,B,"Yeah,",b
130128,B,yeah.,b
130129,B,"Yeah,",b
130130,B,"I, I agree with you.",aa
130131,B,They like to get out there,sd
130132,B,"and, but this wasn't so fun this last time for Nathan to, to get out there",sd
130133,B,and he didn't realize he was touching poison ivy,sd
130134,B,and it got all into his eye,sd
130135,B,and it was really swollen,sd
130136,B,"and, uh, so they had to give him shots and everything,",sd
130137,B,so.,%
130138,B,"oh, well, maybe next time he'll stay away from those particular trees, or what, bushes, whatever they are",sd
130139,A,"Yeah,",b
130140,A,yes.,b
130141,A,Yes.,b
130142,A,Oh.,b
130143,A,"But I have, uh, brother-in-law and a sister, you know, that just really just camp.",sd
130144,A,"You know, they love to go camping.",sd
130145,B,Uh-huh.,b
130146,A,"They could, they would all the time they wanted, you know, wanted to because there's nothing holding them back.",sd
130147,B,Uh-huh.,b
130148,B,Uh-huh.,b
130149,A,But I'm just not that involved in it.,sd
130150,B,"No,",aa
130151,B,now I like to go out like several times a year.,sd
130152,A,Yeah.,b
130153,B,"But not on a, on the regular basis.",sd
130154,B,"I have some friends who go out every single weekend, when, you know, in the season.",sd
130155,A,Oh.,b
130156,A,Uh-huh.,b
130157,B,"Uh, and, and I just couldn't do that, you know.",sd
130158,A,"Me, I haven't really as far as entertainment,",sd
130159,A,I don't know what you would do every you know.,sd
130160,B,"Yeah,",b
130161,B,yeah.,b
130162,A,"But I guess, my entertainment's, television, I guess",sd
130163,B,Just getting away.,^2
130164,B,"Yeah,",b
130165,B,"right,",b
130166,B,"right,",b
130167,B,"see, I see, they just want to get away.",sd
130168,A,Uh-huh.,b
130169,B,"But every Friday night they'll go home, you know, straight from work",sd
130170,B,and they'll pack up,sd
130171,B,"and, you know, and then they'll leave,",sd
130172,B,"and I'm just going, you know,",sd
130173,B,"by Friday night I just want to crash, you know,",sd
130174,B,"and I want to go home and, you know, do all that, and then, uh, get out on the road to boot,",sd
130175,A,"Oh, I don't either",sd
130176,B,so.,%
130177,A,Uh-huh.,b
130178,B,But anyway that's their life,sd
130179,A,Yes.,b
130180,A,"But they probably live in a city also,",sv
130181,A,don't they?,^g
130182,B,"Yeah,",ny
130183,B,"yeah,",ny
130184,B,that's true.,sd
130185,A,"Well, see, we're in a real small county area,",sd
130186,B,Uh-huh.,b
130187,A,"and, you know, that makes a big difference.",sv
130188,B,Now that's true.,aa
130189,B,That's true.,aa
130190,A,"Because if we want to go camping we can just go just a few miles, you know",sd
130191,B,Yeah,aa
130192,B,That's true.,aa
130193,A,That makes a difference.,sv
130194,B,"Well, it was nice talking with you.",fc
130195,A,"It was nice talking to you too,",fc
130196,B,Okay.,fc
130197,A,and we'll probably be talking to you again.,fc
130198,B,"Okay,",fc
130199,B,"well, take care.",fc
130200,A,"okay,",fc
130201,A,bye-bye.,fc
130202,B,Bye-bye.,fc
130203,A,"So, do you have any credit cards?",qy
130204,B,"Yes,",ny
130205,B,I do.,sd
130206,B,"I keep, uh, I have an American Express, and a Visa card that I keep, you know, kind of for emergency purposes,",sd
130207,B,"and I have, you know, I use a gasoline credit card which I, you know, pay off every, every month.",sd
130208,A,Uh-huh.,b
130209,A,Okay.,b
130210,B,"But I've, I've gotten rid of all of the credit cards, you know, that I possibly could,",sd
130211,B,and my balances are practically zero on the ones that I have.,sd
130212,B,"Especially since, you know, it's no longer after this year,",sd
130213,B,"or after tax year nineteen ninety, there's no deductions for, you know, credit card interest that you pay.",sd
130214,A,Uh-huh.,b
130215,B,"So it's a, you know, gosh,",%
130216,B,"credit cards run, what, anywhere from, up to eighteen, nineteen percent, I guess.",sd
130217,A,Yeah.,b
130218,B,It's just a bad deal.,sv
130219,B,"Course, there are emergencies, you know, that you, you know, probably need to have a card.",sv
130220,A,"Yeah,",aa
130221,A,I have one card.,sd
130222,B,"Uh-huh,",b
130223,B,"that's, that's probably enough.",sv
130224,A,"And I try not to use it,",sd
130225,A,"but right now, it's maxed out",sd
130226,B,Absolutely.,aa
130227,B,"It's, it's very easy to, you know, to do that or, you know, to abuse it,",sv
130228,B,it really is.,sv
130229,A,Uh-huh.,b
130230,B,"It's so easy to pull out the plastic,",sv
130231,B,"but we're trying our best not to, not to add any, you know, credit card debt to our structure here.",sd
130232,A,Yeah.,b
130233,A,"Um, I have, uh,",sd
130234,A,"the thing that bothers me worse than the credit cards, I think, is, uh, you mentioned the gasoline credit card.",sd
130235,B,Uh-huh.,b
130236,A,"I don't have that,",sd
130237,A,"but I've got, you know, one of the the, the instant teller cards that you can use for point of sale purchases.",sd
130238,B,Uh-huh.,b
130239,B,Uh-huh.,b
130240,A,"And we use that usually to buy gasoline,",sd
130241,A,and it's just it's really amazing how quickly that goes.,sd
130242,B,Uh-huh.,b
130243,B,Uh-huh.,aa
130244,B,I'm sure you're right.,sv
130245,B,"I don't, I don't, I don't participate in that,",sd
130246,B,"but, you know, a lot of folks do.",sd
130247,A,Uh-huh.,b
130248,B,"Yeah,",b
130249,B,"at least with the, uh, gasoline company credit cards you have, you know, up to thirty, twenty-five, thirty days, you know, interest free for it.",sd
130250,A,Yeah.,b
130251,B,"But, you know, the instant thing may be, may, may be the way of the future to, you know, to replace checks and every other thing.",sv
130252,A,"Yeah,",aa
130253,A,"that's what they've, they've talked about it.",sd
130254,B,Yeah.,b
130255,A,Course it eliminates any waiting period.,sd
130256,B,It certainly does.,aa
130257,A,God help those people who have to float checks occasionally because you won't be able to with that.,sd
130258,B,Absolutely.,aa
130259,B,That's right.,aa
130260,B,Do you get any sort of discount when you use a card like that?,qy
130261,A,No.,nn
130262,B,I see.,bk
130263,A,"Oh, it was, well,",%
130264,A,"they consider it to be the same as cash well, cause it actually is.",sd
130265,B,"I see,",bk
130266,B,I see.,bk
130267,B,"It certainly is,",aa
130268,B,yeah.,aa
130269,A,Yeah.,b
130270,A,It's better than cash,sv
130271,B,Uh-huh.,b
130272,A,"They don't even have to deposit it,",sd
130273,A,it just goes straight in there.,sd
130274,B,That's right.,aa
130275,B,No returned checks or anything.,bf
130276,A,Right.,aa
130277,B,Yeah.,b
130278,B,"No,","fo_o_fw_""_by_bc"
130279,B,"I, I understand it's becoming, you know, the popular thing to do.",sd
130280,B,"We're not participating in that particular program at the moment,",sd
130281,B,and I don't really perceive doing it unless we absolutely have to.,sd
130282,A,Uh-huh,b
130283,B,"But, uh, I have in times past gotten into a bit of trouble with credit cards.",sd
130284,B,"It's just, you know, too easy to do.",sv
130285,A,"Yeah,",aa
130286,A,"but I'm so glad he told me that when, that they, they got to such a point with their credit cards they didn't want to cut them up because they were afraid sometime they might actually need them.",sd
130287,B,That's right.,aa
130288,A,"They paid them off,",sd
130289,A,and then they stuck them in a thing of water and froze them.,sd
130290,A,She said at least before she could use them she'd have to thaw them out.,sd
130291,A,"I mean, that's funny.",sv
130292,B,"Well, that's a novel idea.",sv
130293,B,"Yeah,",%
130294,B,"that would cause you think a little while, wouldn't it.",qh
130295,B,That may not be a bad idea.,sv
130296,B,"But I'm kind of getting a little more leery of credit cards, you know, as time goes by.",sd
130297,B,Unless you just absolutely have to.,sd
130298,B,"Now, there are times when you'd at least think you do, anyway.",sd
130299,A,Yeah.,b
130300,A,Yeah.,b
130301,A,"I, I want to still have just one just in case.",sd
130302,B,Yeah.,b
130303,A,"But, I'd sure want to get the, get it paid down and not use it for a while",sd
130304,B,Uh-huh.,b
130305,B,Yeah.,b
130306,B,That's right.,aa
130307,B,"My wife and I really, I guess are fortunate.",sd
130308,B,"We're really not compulsive shoppers, you know.",sd
130309,A,Uh-huh.,b
130310,B,"We, we plan purchases, you know, pretty well, you know, watch for the best buys, things like that.",sd
130311,B,"But, uh, some people have a real problem with it.",sd
130312,A,Yeah.,b
130313,A,"Well, our, our limit is, you know, fairly low",sd
130314,B,Uh-huh.,b
130315,A,"and, uh, so that's, that's one thing that's good.",sd
130316,B,Sure.,aa
130317,B,Absolutely.,aa
130318,B,Yeah.,aa
130319,A,"Oh, I've got another call.",sd
130320,B,"Oh, I'm sorry.","fo_o_fw_""_by_bc"
130321,B,Was nice talking to you.,fc
130322,A,Okay.,fc
130323,B,Take care.,fc
130324,A,All right.,fc
130325,A,Bye-bye.,fc
130326,B,Bye-bye.,fc
130327,A,All right.,"fo_o_fw_""_by_bc"
130328,B,"Well, um, we lived,",sd
130329,B,"I grew up in San Antonio,",sd
130330,B,"and I was used to the heat,",sd
130331,B,"and I was used to what couldn't grow down there,",sd
130332,B,"and we had a small, um, farm house out in Castroville which is just, uh, to the west of San Antonio",sd
130333,A,Uh-huh.,b
130334,B,"and we in did a lot of gardening out there, and, uh, mostly in raised beds so we could keep the, uh, soil nice, because basically out there it was mostly a clay soil, very hard to, to grow, very hard to cultivate,",sd
130335,B,"and when we came up, here, uh, to California, uh, we're in the Monterrey area,",sd
130336,B,"and it's very, uh, nice sandy soil, rich soil,",sd
130337,B,"and the weather is perfect for growing just about anything you want to grow so we've been out here, well, really in the house since December,",sd
130338,A,How fine.,ba
130339,B,"and we've been uh, planting flowers that we could never plant, in San Antonio because the heat would just dry them up after, you know, about three good weeks of nice weather before the heat started",sd
130340,A,Um.,b
130341,B,"and here they are supposed to last year around so we have some really pretty flowers growing,",sd
130342,A,Oh boy.,ba
130343,B,"and, uh, we're at the edge of a forest area, so there's a lot of pine mulch",sd
130344,A,Uh-huh.,b
130345,B,Just about anything you would want in Texas as a gardener is here just around us.,sd
130346,B,We got here at the end of about a four year drought.,sd
130347,B,We've had a whole lot of rain.,sd
130348,B,"Uh, it's been raining pretty much continually now, uh, off and on, maybe one day of break, for about a month.",sd
130349,B,"So,",%
130350,A,Oh really.,bh
130351,B,"Yeah,",ny
130352,B,"we're getting replenished,",sd
130353,B,"and so there is,",sd
130354,B,"when I first came here everything was yellow,",sd
130355,B,the grass was dead everywhere.,sd
130356,B,"And now with all the rain everything is just gorgeous, lush and green and beautiful,",sd
130357,B,and I hope that it holds out here after the summer.,sd
130358,A,Wow.,ba
130359,B,"But, uh, that has been the major change that we have noticed in gardening,",sd
130360,B,"and that's about the extent of what we've done, just a little bit on the patio, and waiting for the rain to subside so we can mow.",sd
130361,B,"We, after about a month, we finally got to mow this weekend.",sd
130362,B,"But, um, we're just so happy to see green.",sd
130363,B,It's just so nice.,sd
130364,B,We haven't really done too much else other than that.,sd
130365,A,"Um. Well we just moved to our first home,",sd
130366,A,and we had lived in a condominium before.,sd
130367,A,So we didn't have any lawn and garden type duties.,sd
130368,A,So we're just learning the ropes here,sd
130369,A,"and,",%
130370,B,Uh-huh.,b
130371,A,"But when we moved in, um,",sd
130372,A,our backyard has so many tall trees in it that there there wasn't even a blade of grass in the backyard.,sd
130373,B,Uh-huh.,b
130374,A,"So we're, you know, going, talking to some of our friends that are landscapers and things, and learning about different kinds of grass.",sd
130375,A,"We trying to go, grow grass,",sd
130376,A,"and it just seems so funny to me that, when I grew up in Missouri,",sd
130377,A,and you didn't have to worry about growing grass there.,sd
130378,A,It just happened automatically.,sd
130379,B,So do you have to get a shade tolerant grass?,qy
130380,B,"Is that what you're,",qy
130381,A,Yes.,ny
130382,A,We are.,sd
130383,A,"We tried, we planted some fescue last, um, fall",sd
130384,B,Uh-huh.,b
130385,A,"and it's really, really pretty,",sd
130386,A,"it stayed pretty, pretty green throughout the winter,",sd
130387,A,and it's pretty,sd
130388,A,"it's not as thick and as nice,",sd
130389,A,"it doesn't look like it can withstand too much, you know.",sd
130390,B,Oh.,b
130391,B,"Does that last through the summer, too?",qy
130392,A,"It's supposed to die off like in August,",sd
130393,A,and then you replant it in September,sd
130394,A,"and, So, but we don't,",sd
130395,B,Oh.,b
130396,A,"the Saint Augustine and all that supposedly was back there just wasn't,",sd
130397,A,"like I say, there really wasn't even one blade of grass in the backyard.",sd
130398,B,Uh-huh.,b
130399,A,"And, um, so mostly, you know, we're not even to the point where we're getting into flowers, and flower beds or even gardens, that, we're just saying, let's get some grass",sd
130400,B,Just get grass to grow.,bf
130401,A,Let's get grass so that the kids can play in the yard and not have to be worried about the dirt so much. You know.,^q
130402,B,"Well, when we had our house, um, out in Castroville, the problem with ours is that the, uh, plots there are a third of an acre And trying to keep grass alive during a summer on a piece of ground that big was expensive",sd
130403,A,Uh-huh.,b
130404,A,Oh yeah.,ba
130405,B,To water it,sd
130406,B,"and, uh, and eventually, well, especially when it was so bad last year, well, I guess it was the year before now, uh, it was so hot that year,",sd
130407,B,that was the year that I think it started out a hundred in February.,sd
130408,A,Oh no.,ba
130409,B,"Um, we were just watering all the time.",sd
130410,B,"Finally what we did was we said, we're going to have to let the back yard die.",sd
130411,B,"It's going to have to do whatever it's going to do because, we can't really afford the front yard.",^q
130412,A,"On its own,",^2
130413,A,Uh-huh.,b
130414,B,"And so when we left, you know, the back yard had some, um,",sd
130415,B,I think it was Saint Augustine that we had.,sd
130416,B,"It had held onto a small portion,",sd
130417,B,"but primarily once the weeds start in the back we were just, you know, resigned to, well, the only way we were going to fix this one is that if you plow it all under and put everything back on top of it again.",sd
130418,A,Uh-huh.,b
130419,B,"But, I don't know.",h
130420,B,"That's the bad thing there, is, that we spent so much money,",sd
130421,B,or you would spend so much money trying to keep a large lawn alive.,sd
130422,B,"That was the only thing I didn't like about lawns,",sd
130423,B,"and we were sitting there wondering, there must be a better way to landscape so that you don't have to spend so much money trying to keep the lawn alive and green and the weeds out.",sd
130424,A,Yes.,b
130425,B,So.,%
130426,A,"It's pretty remarkable because growing up we've always had a beautiful, lush green lawn,",sd
130427,A,"and we never,",sd
130428,A,there was no such thing as watering your lawns in Missouri.,sd
130429,B,Uh-huh.,b
130430,A,It just happened.,sd
130431,B,Uh-huh.,b
130432,A,"And, um, so it's been real fun here to see,",sd
130433,A,"there's a big market for the nurseries and for the landscaping companies,",sd
130434,A,"and a lot of people, um,",sd
130435,A,we live in north of Dallas.,sd
130436,B,Uh-huh.,b
130437,A,"And, um,",%
130438,B,Arlington area.,bf
130439,A,Plano.,sd
130440,B,"Okay,",bk
130441,B,Plano.,b^m
130442,B,Uh-huh.,b
130443,A,"Uh-huh,",b
130444,A,up north,sd
130445,A,"And so there's a lot of market up here since it's kind of the area that people are moving into in the Dallas area and big market for, for yards, yard work.",sd
130446,B,Uh-huh.,b
130447,B,"Yeah,",b
130448,B,I imagine,ba
130449,B,"So, well everybody, it seems like everyone is so particular, especially in the Dallas area.",sd
130450,A,Uh-huh.,b
130451,B,"There, there's so much money",sd
130452,B,"and everyone can afford,",sd
130453,B,they have enough leisure time to afford a nice lawn.,sd
130454,B,"And, another thing I've noticed is that the lawns in some of the homes",sd
130455,B,the area is so small that they take great pride in being able to use whatever lawn they do have to look really nice.,sd
130456,A,Uh-huh.,b
130457,A,"Yes,",aa
130458,A,they do.,sv
130459,A,"I noticed that they're really putting in small back yards, because they have these, most of the houses have the alleys that run behind,",sd
130460,B,Uh-huh.,b
130461,A,"and, so that really cuts into your backyard space,",sd
130462,A,and. But we don't do our work here out of enjoyment so much as voice in,sd
130463,A,"right now, we're just, this is, we just moved in in September,",sd
130464,A,so we're just still at the point where we're talking about the necessity.,sd
130465,B,"Right,",aa
130466,B,I know.,sd
