en,ru
"do you have a, uh, budget, or a monthly budget, or a long term budget that you stick to?","у вас есть, э-э, бюджет, или ежемесячный бюджет, или долгосрочный бюджет, которого вы придерживаетесь?"
Right now I'm in college,Прямо сейчас я учусь в колледже
and I'm on work study,и я на работе учусь
Uh-huh.,Угу.
and so my budget comes from my dad's help.,и поэтому мой бюджет формируется за счет помощи моего отца.
Uh-huh.,Угу.
He helps me out a lot,Он мне очень помогает
"and I get paid monthly,","и мне платят ежемесячно,"
so that's kind of hard to have a budget.,так что довольно сложно иметь бюджет.
"My mother, uh, doesn't get paid much money,","Моей матери, э-э, платят не так уж много денег,"
"so her budget is, uh, just, uh, planning for I R A's.","так что ее бюджет, э-э, просто, э-э, планирование на завтра."
"I see,","Я вижу,"
I see.,Понимаю.
"Well, good,","Что ж, хорошо,"
"I'm kind of in a different situation,","Я вроде как в другой ситуации,"
"but I, I, I went through that, too, when I was in school,","но я, я, я тоже прошел через это, когда учился в школе,"
"but, uh, I was, I was working to get through college and, and, uh, trying to make it through that,","но, э-э, я... я работал, чтобы закончить колледж, и, э-э, пытался справиться с этим,"
"but, uh, I'm married and have, uh, a, a couple of children","но, э-э, я женат, и у меня, э-э, пара детей"
"and we have to, uh, pretty much stick to a budget.","и мы должны, э-э, в значительной степени придерживаться бюджета."
Uh-huh.,Угу.
I'm on a salary,Я получаю зарплату
so I don't get any overtime or anything like that,так что я не получаю никаких сверхурочных или чего-то в этом роде
"but, We have a fixed income",но у нас есть фиксированный доход
Oh.,Ой.
"and we have to make sure that, uh, every dollar we have will, is spent accordingly","и мы должны убедиться, что каждый доллар, который у нас есть, будет потрачен соответствующим образом"
"and, uh, what we try and do to, to stick to our monthly budget is we pretty much have, you know, the house payment,","и, э-э, что мы стараемся делать, чтобы придерживаться нашего ежемесячного бюджета, так это то, что у нас в значительной степени есть, ну, вы знаете, оплата жилья,"
Uh-huh.,Угу.
"we have the insurance premiums, uh, utilities and so forth","у нас есть страховые взносы, э-э, коммунальные услуги и так далее"
"and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going to spend and set that money aside,","и мы действительно садимся в начале каждого месяца или в конце каждого месяца и записываем, сколько, по нашим сведениям, мы собираемся потратить, и откладываем эти деньги в сторону,"
"and we also try and set aside money for savings, set aside money for the the kids' education college education, the future and, uh, set aside money for bonds","и мы также стараемся откладывать деньги на сбережения, откладывать деньги на образование детей в колледже, на будущее и, э-э, откладывать деньги на облигации"
Uh-huh.,Угу.
"and, and we also set aside an emergency fund","и, и мы также выделили чрезвычайный фонд"
"because we've, uh, we've been married for about ten years","потому что мы, э-э, мы женаты уже около десяти лет"
That sounds good.,Звучит заманчиво.
"and we find out that, you know, no matter what kind of budget you stick on, there's always going to be an unexpected car repair or something happen with the house, that you have to have money for and, uh, not enough to go and to take a loan out, but, uh, you have to have money for.","и мы выясняем, что, знаете, независимо от того, какого бюджета вы придерживаетесь, всегда будет неожиданный ремонт машины или что-то случится с домом, на что у вас должны быть деньги, и, э-э, их недостаточно, чтобы пойти и взять кредит, но, э-э, у тебя должны быть деньги на."
Right.,Верно.
Right.,Верно.
"And, uh, then we have, you know,","И, э-э, тогда у нас есть, ты знаешь,"
"whatever's left over is disposable disposable, yeah, discretionary income, that we use for the rest of the month,","все, что остается, - это одноразовый, да, дискреционный доход, который мы используем до конца месяца,"
"so, and it's worked out very well.","итак, и это сработало очень хорошо."
"It's, uh, it's helped us, so that we haven't been, you know, too long on the month and too short on the money and uh, try and stick with that","Это, э-э, это помогло нам, так что у нас не было, знаете ли, слишком длинного месяца и слишком нехватки денег, и э-э, постарайтесь придерживаться этого"
"Well, that's good.","Что ж, это хорошо."
"and, nice thing about it, I, my wife is, is excellent in that we both work together,","и, что самое приятное в этом, я, моя жена превосходны в том смысле, что мы оба работаем вместе,"
"we both have a budget,","у нас обоих есть бюджет,"
and we stick to it,и мы придерживаемся этого
"Well, good.","Что ж, хорошо."
and there's no surprises in that,и в этом нет никаких сюрпризов
"With two kids, that could be hard.",С двумя детьми это может быть непросто.
"Well, actually I have four kids.","Ну, на самом деле у меня четверо детей."
Four!,Четыре!
"So,","Так,"
"yeah,","да,"
"I said a couple of kids,","Я сказал, пара детей,"
"I, I guess I should have specified,","Я, я думаю, мне следовало уточнить,"
"I have four four little boys,","У меня четверо четверо маленьких мальчиков,"
"Oh, my goodness.","О, боже мой."
yeah.,да.
Four boys.,Четверо мальчиков.
You bet.,Вы ставите.
"Oh, my","О, мой"
You bet.,Вы ставите.
It's just me and my sister.,Здесь только я и моя сестра.
All right,В порядке
And my parents divorced three years ago,А мои родители развелись три года назад
Uh-huh.,Угу.
"and my sister had gotten through college,","и моя сестра закончила колледж,"
"but I was still in high school,","но я все еще учился в средней школе,"
and my mother paid for a lot of my sister's college while my parents were together,"и моя мать много платила за колледж моей сестры, пока мои родители были вместе"
Yes.,Да.
"and then, uh, before the divorce she had saved for my college.","а потом, э-э, до развода она копила на мой колледж."
Uh-huh.,Угу.
"But, uh, when we had the divorce, she just didn't get much money out of it and had to spend it all on getting another house.","Но, э-э, когда мы развелись, она просто не получила от этого много денег, и ей пришлось потратить их все на покупку другого дома."
Oh.,Ой.
So now my dad's paying for all of my college of,Так что теперь мой отец оплачивает все мои занятия в колледже
"Well, good,","Что ж, хорошо,"
good.,хорошо.
And financial aid and scholarships.,А также финансовая помощь и стипендии.
Uh-huh.,Угу.
"I'm a music major,","Я специализируюсь на музыке,"
so I have auditions coming up.,"итак, у меня скоро прослушивания."
"Yes,","Да,"
"well, what year are you in in college?","ну, а на каком ты курсе колледжа?"
I'm a sophomore.,Я второкурсник.
"You're a sophomore,","Ты второкурсница,"
so you have a few more years.,так что у тебя есть еще несколько лет.
"Right,","Правильно,"
"right,","право,"
"I'll, I'll probably have about, two, two and a half years left.","У меня, вероятно, останется около двух-двух с половиной лет."
"Uh-huh,","Ага,"
"well, good for you.","что ж, рад за тебя."
Good for you.,Повезло тебе.
"Yeah,","Да,"
"I imagine it, uh, is a little difficult to stick with a budget during that, during school and so it forth.","Я полагаю, что это, э-э, немного сложно придерживаться бюджета во время этого, во время учебы и так далее."
"Oh, it sure is.","О, это точно так."
"I, I know how much my dad is going to give me every two weeks","Я, я знаю, сколько мой папа собирается давать мне каждые две недели"
Yes,Да
"and I, and I don't spend over that","и я, и я не трачу на это"
"Well, great,","Что ж, отлично,"
great.,здорово.
"And sometimes that's a little hard with books and music and, and sheet music and stuff you've got to work on, too.","И иногда это немного сложно с книгами, музыкой, нотами и прочим, над чем тоже приходится работать."
"Oh, sure,","О, конечно,"
"there's, there's always music  books to buy.","всегда есть, всегда есть музыкальные книги, которые можно купить."
"Lab fees and all,","Плата за лабораторные работы и все такое,"
"Oh, yes,","О, да,"
"oh, yes.","о, да."
"Well, you're not a starving artist, yet, are you?","Ну, ты ведь еще не изголодавшийся художник, не так ли?"
"Oh, no,","О, нет,"
"no,","нет,"
no.,нет.
Good.,Хорошо.
I don't plan on being a starving artist,Я не планирую быть голодающим художником
"Well, good.","Что ж, хорошо."
That's why I'm in college,Вот почему я учусь в колледже
"there's enough of those in the world, huh?","таких в мире предостаточно, а?"
Right,Правильно
"Good,","Хорошо,"
"good,","хороший,"
"I'm glad to hear that, Wendy.","Я рад это слышать, Венди."
That's usually because they're not real educated.,"Обычно это происходит потому, что они не очень образованны."
They can't afford to have a really good job.,Они не могут позволить себе иметь действительно хорошую работу.
"Who's, who's not very well educated?","Кто, кто не очень хорошо образован?"
The starving ones.,"Те, кто голодает."
"Oh, yes,","О, да,"
yes.,да.
"There's enough out there that if you have, if you're educated enough, then you can make money.","Там достаточно того, что если у вас есть, если вы достаточно образованны, то вы можете зарабатывать деньги."
"That's true,","Это правда,"
that's true.,это правда.
I found that out.,Я это выяснил.
"So that's why I'm planning and, and preparing for the, uh, education of my children, also try and set that money aside.","Так вот почему я планирую и готовлюсь к, э-э, образованию своих детей, а также стараюсь откладывать эти деньги в сторону."
Right.,Верно.
What did you major in?,На чем вы специализировались?
I majored in business administration.,Я специализировался в области делового администрирования.
"Well, good,","Что ж, хорошо,"
you know plenty about planning a a budget.,вы много знаете о планировании бюджета.
"Yeah,","Да,"
"but, uh, once again,","но, э-э, еще раз,"
Not very good,Не очень хорошо
it's not been a good day,это был не самый удачный день
"I went, I turned mine in about twelve hours early at noon.","Я пошел, я сдал свой примерно на двенадцать часов раньше полудня."
I don't know.,Я не знаю.
I finished mine up about eleven and left it here with Carolyn,Я допила свой около одиннадцати и оставила его здесь с Кэролин
so I hope she's turned it in.,"так что я надеюсь, что она сдала его."
Are you eating?,Ты ешь?
"Uh, I","Э-э, я"
"go ahead,","идти вперед,"
I'll stop eating.,Я перестану есть.
I just barely got  home from the university.,Я едва добрался домой из университета.
"No it's,","Нет, это,"
Say what?,Что сказать?
I just barely got home from the university.,Я едва добрался домой из университета.
"Tell you what we can do is, uh, I can punch the, uh, one,","Скажу тебе, что мы можем сделать, это, э-э, я могу ударить, э-э, одного,"
"and then after five minutes when the, uh, uh, voice comes on, we can talk all night if we want","а потом, через пять минут, когда зазвучит голос, мы можем говорить всю ночь, если захотим"
"Okay,","Окей,"
"go ahead,","идти вперед,"
fire away.,стреляй прочь.
"Uh, I love the irony of, uh, talking about this subject on April the, fifteenth","Э-э, мне нравится ирония в том, что мы говорим на эту тему пятнадцатого апреля"
"But, uh, I'm afraid I'm, I'm probably in the minority.","Но, э-э, боюсь, я, вероятно, в меньшинстве."
"I, I actually don't think that we, uh, pay too much in this country. Uh uh, particularly, uh, in this part of the country","Я, я на самом деле не думаю, что мы, э-э, слишком много платим в этой стране. Э-э-э, особенно, э-э, в этой части страны"
I agree with you,Я согласен с вами
"uh, I guess I do have a, a bone to pick with, uh, uh, the way taxes are distributed","э-э, я думаю, у меня действительно есть зацепка, э-э, э-э, с тем, как распределяются налоги"
"Uh, I just finished fuming at the fact that we pay an eight and a half percent sales tax and no income tax when the income tax could have been deducted from the federal form","Э-э, я только что закончил возмущаться тем фактом, что мы платим налог с продаж в размере восьми с половиной процентов и не платим подоходный налог, когда подоходный налог можно было бы вычесть из федеральной формы"
Huh.,Хм.
and the sales tax can't.,а налог с продаж - нет.
I think that's regressive,"Я думаю, что это регрессивно"
"and, uh, uh, it's kind of dumb.","и, э-э-э, это немного глупо."
I hate the eight and a half percent sales tax.,Я ненавижу налог с продаж в восемь с половиной процентов.
"But, on the other hand, I don't mind that it's only on, you know, things that aren't like groceries and that,","Но, с другой стороны, я не возражаю, что это касается только, ну, вы знаете, вещей, которые не похожи на бакалею и что,"
it's not on that.,дело не в этом.
"Well, I mean, nobody taxes groceries.","Ну, я имею в виду, никто не облагает налогом продукты."
"Oh, yeah,","О, да,"
they do.,они это делают.
Where?,Куда?
In Arizona.,В Аризоне.
Is that right?,Это правильно?
Uh-huh.,Угу.
But we have a pretty low income I mean pretty low tax rate here.,"Но у нас довольно низкий доход, я имею в виду довольно низкую налоговую ставку здесь."
"Oh, I think the, the sales tax, they just got to do something about it.","О, я думаю, налог с продаж, они просто должны что-то с этим сделать."
Right.,Верно.
But that's the politicalness of trying to not create any new taxes.,Но в этом и заключается политичность попыток не вводить никаких новых налогов.
Right,Правильно
"But I guess when I hear, when I see the comparison between the United States and, uh, any other western country, uh, their, their rates are like, uh, forty-one, forty-two and ours are like thirty-six, thirty-seven, you know,","Но я думаю, когда я слышу, когда я вижу сравнение между Соединенными Штатами и, э-э, любой другой западной страной, э-э, их ставки примерно, э-э, сорок один, сорок два, а наши примерно тридцать шесть, тридцать семь, вы знаете,"
"if you compute as a percentage of total income, all taxes lumped together, we actually do pretty well.","если посчитать в процентах от общего дохода, все налоги вместе взятые, то у нас действительно все хорошо."
"there's no other country that's, that is taxed as low as we are.","ни в одной другой стране налоги не облагаются так низко, как у нас."
"Well and I still think that, having lived in Europe for awhile, you know, difference in living conditions are certainly well worth, uh, what we pay for it.","Ну, и я все еще думаю, что, прожив некоторое время в Европе, вы знаете, разница в условиях жизни, безусловно, стоит того, что мы за это платим."
Yeah.,Да.
Uh-huh.,Угу.
"I'm, I'm not sure I understand what you mean.","Я, я не уверен, что понимаю, что ты имеешь в виду."
"Well, I mean, I think,","Ну, я имею в виду, я думаю,"
"I was in Germany, you know, for several years","Вы знаете, я был в Германии несколько лет"
Right.,Верно.
"and I'd a lot rather pay taxes here and have what we have, then have to live there.","и я бы предпочел платить налоги здесь и иметь то, что у нас есть, а не жить там."
"Oh, you mean, lowest end of living in spite of lower, higher taxes.","О, вы имеете в виду самый низкий уровень жизни, несмотря на более низкие и высокие налоги."
Yeah.,Да.
Higher taxes.,Более высокие налоги.
Yeah.,Да.
"I suppose that's true,","Я полагаю, что это правда,"
yeah.,да.
"Uh, probably less so now than it was ten years ago or whatever","Э-э, наверное, сейчас это менее важно, чем было десять лет назад или что-то в этом роде"
"but,","но,"
Still's that way to some extent.,В какой-то степени это все еще так.
Yeah.,Да.
"I think the other problem is, you know, it, it's easy to complain about taxes because there's something you, theoretically, can do something about.","Я думаю, что другая проблема заключается в том, что, знаете ли, легко жаловаться на налоги, потому что есть кое-что, с чем вы, теоретически, можете что-то сделать."
Right.,Верно.
"But I look, for example,","Но я смотрю, например,"
and you're not quite in the same situation,и вы не совсем в такой же ситуации
but like school taxes for me biggest bargain in the world.,"но, например, школьные налоги для меня - самая большая сделка в мире."
Right.,Верно.
I wish I didn't have to pay any more to my physicians in a year than I had to pay for all of my school taxes.,"Я бы хотел, чтобы за год мне не пришлось платить своим врачам больше, чем мне пришлось заплатить за все школьные налоги."
Right.,Верно.
Yeah.,Да.
"Yeah,","Да,"
"since, uh, I send my kids to parochial school, that .","поскольку, э-э, я отправляю своих детей в приходскую школу, это."
"Yeah,","Да,"
"that, that's probably a little tougher on you","это, это, вероятно, немного сложнее для тебя"
"It's not, it's not quite the bargain that .","Это не совсем, это не совсем та сделка, которая."
"But, I mean, I pay them gladly.","Но, я имею в виду, я плачу им с радостью."
"That's a decision,","Это решение,"
"I think it's a dumb decision on our part because countries like Canada and England and Germany do perfectly well with a, uh, two tract system in which religious schools coexist with secular schools with the same tax money.","Я думаю, что это глупое решение с нашей стороны, потому что такие страны, как Канада, Англия и Германия, прекрасно справляются с двухуровневой системой, в которой религиозные школы сосуществуют со светскими школами за одни и те же налоговые отчисления."
"But, uh, I mean, that's, that's the way Americans want to interpret it,","Но, э-э, я имею в виду, что именно так американцы хотят это интерпретировать,"
I guess that's all right,"Я думаю, что все в порядке"
"But,","Но,"
yeah.,да.
"I,","Я,"
"and if I were, uh,","и если бы я был, э-э,"
"when I was single and again when I'm retired, I will not mind paying, uh, what it takes to keep the schools good.","когда я был холост, и снова, когда выйду на пенсию, я буду не против платить, э-э, столько, сколько нужно, чтобы школы оставались хорошими."
That's always been a high priority,Это всегда было первоочередной задачей
"No,","Нет,"
I think that's just you though.,"Хотя я думаю, что это касается только тебя."
"I do,","Я делаю,"
"yeah,","да,"
that's true.,это правда.
"I think in places,  I think in places like California, people are beginning to find that in, in areas that are fairly well off, if you add the, uh, uh, people of various sexual persuasions and those who never intend to marry and those who are retired and those are, uh, just looking for fun, people with families turn out to be such a small minority that they can't get a tax bill passed no matter what happens.","Я думаю, что в таких местах, я думаю, в таких местах, как Калифорния, люди начинают понимать, что в районах, которые довольно состоятельны, если вы добавите, э-э, э-э, людей различных сексуальных убеждений, и тех, кто никогда не собирается жениться, и тех, кто на пенсии, и это, э-э, просто в поисках развлечения люди с семьями оказываются в таком незначительном меньшинстве, что они не могут добиться принятия налогового законопроекта, что бы ни случилось."
Yeah.,Да.
"And, uh,  there are big sections of the country where people with children of school age are such a small minority that they can't get anything done.","И, э-э, есть большие районы страны, где люди с детьми школьного возраста составляют такое незначительное меньшинство, что они ничего не могут сделать."
"That seems a, a, like a cultural lapse.",Это кажется... похоже на культурный провал.
"I mean, people always used to be willing to ante up for the schools.","Я имею в виду, раньше люди всегда были готовы платить за школы."
"They,","Они,"
"Of course, I think with the graying of America, we're going to see that problem in lots of places.","Конечно, я думаю, что с поседением Америки мы столкнемся с этой проблемой во многих местах."
Right.,Верно.
Yeah.,Да.
"People would rather, uh, increase the fire department and cut down the schools because it means more to them.","Люди предпочли бы, э-э, увеличить численность пожарной охраны и сократить школы, потому что это значит для них больше."
But I think it's sad selfish and shortsighted.,"Но я думаю, что это грустно, эгоистично и недальновидно."
Or build roads.,Или строить дороги.
Yeah.,Да.
"Well,","Что ж,"
Okay.,Хорошо.
Wonderful touch tone telephone there.,Там есть замечательный сенсорный тональный телефон.
"Uh, what kind of books do you enjoy reading?","Э-э, какие книги тебе нравится читать?"
"Uh, haven't, have, I have a wide variety of, of hobbies,","Э-э, нет, есть, у меня есть большое разнообразие хобби,"
"therefore, my, my reading pleasures are quite wide.",поэтому мои удовольствия от чтения довольно широки.
"Um, I get a charge out of, uh, TEXAS HIGHWAY, which is, uh, very colorful, and, uh, not being a native of Texas, but being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the of the, of the state by reading it.","Эм, я получаю заряд от, эм, ТЕХАССКОГО ШОССЕ, которое, эм, очень колоритное, и, эм, я не уроженец Техаса, но, прожив здесь одиннадцать лет, имею тенденцию, эм, узнавать, эм, о разных районах, о состоянии, прочитав его."
Oh.,Ой.
"Right,","Правильно,"
I've read that one too.,Я тоже это читал.
"I only had a subscription once,","У меня была подписка только один раз,"
but my mother always gave me hers,но моя мать всегда давала мне свой
"and I, I really enjoyed, you know, all the little things that you find out about Texas.","и мне, знаете, мне действительно понравились все те мелочи, которые вы узнаете о Техасе."
"Oh yeah,","О да,"
"it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things.","это, это, э-э, безусловно, здорово, что все так получилось, и вы можете, э-э, организовывать небольшие поездки, однодневные поездки и все такое."
"It's pretty, pretty neat.","Это довольно, довольно аккуратно."
"Um, oh, I like photography, um, magazines.","Эм, о, мне нравится фотография, эм, журналы."
I don't take a subscription or anything like that.,Я не беру подписку или что-то в этом роде.
"Um, things, oh,","Эм, дела, о,"
"being an engineer in facilities I do read a lot of, a lot of, uh, building magazines and, and, and plant engineering magazines and, read up on different ways to do things and energy management type of magazines","будучи инженером по оборудованию, я действительно читаю много, много, э-э, строительных журналов и, и, и журналов по проектированию установок, и читаю о различных способах ведения дел и журналах типа ""энергоменеджмент""."
"and, and, uh, kind of strange because I, it's not unusual to, uh, see, uh, an engineering manual or something laying around the house","и, и, э-э, немного странно, потому что для меня нет ничего необычного в том, чтобы, э-э, видеть, э-э, руководство по технике или что-то в этом роде, валяющееся по всему дому"
Uh-huh.,Угу.
"and then I'll sit up and read just to refresh, uh, you know, to keep active on it,","а потом я сяду и почитаю, просто чтобы освежиться, ну, вы знаете, чтобы продолжать активно работать над этим,"
"but, uh.","но, эм."
Uh-huh.,Угу.
How about yourself?,Как насчет тебя самого?
"Well, um, I have an interest in art,","Ну, эм, у меня есть интерес к искусству,"
"so I, frequently purchase and read, uh, books, mainly on water color because that's my big interest at the moment.","поэтому я часто покупаю и читаю, э-э, книги, в основном по акварели, потому что это мой большой интерес на данный момент."
"Oh, that's great.","О, это здорово."
"And, uh, oh, I guess I like a variety of things, uh, lots of fiction, uh, type books.","И, э-э, о, я думаю, мне нравятся самые разные вещи, э-э, много художественной литературы, э-э, типографские книги."
"Uh, right now I'm occasionally reading on a book about, uh, the Mardi Gras in New Orleans and its history.","Э-э, прямо сейчас я время от времени читаю книгу о, э-э, Марди Гра в Новом Орлеане и его истории."
Uh-huh.,Угу.
That's fairly interesting.,Это довольно интересно.
"I bet that would be, rather interesting.","Держу пари, это было бы довольно интересно."
"Uh, that's, uh, self improvement,","Э-э, это, э-э, самосовершенствование,"
"that's, that's well, that's kind of a hobby","это, это... ну, это своего рода хобби"
"but it is self improvement from the standpoint of probably relaxing, uh.","но это самосовершенствование с точки зрения, вероятно, расслабления, э-э-э."
"Yeah,","Да,"
I don't know that I read anything strictly labeled self improvement.,"Я не знаю, читал ли я что-нибудь строго озаглавленное ""самосовершенствование""."
How about you?,А как насчет тебя?
"Um, well I hate to,","Эм, ну, мне неприятно,"
"yes,","да,"
I do,Я делаю
"We, uh, we have these classes we attend, uh, management classes","У нас, э-э, у нас есть эти занятия, которые мы посещаем, э-э, занятия по менеджменту"
"and, and they give you books","и, и они дают вам книги"
"and, and the last book, uh, matter of fact I read was, AT AMERICA'S SERVICE by Carl Albrecht .","и, и последняя книга, э-э, на самом деле, которую я прочитал, была ""НА службе у АМЕРИКИ"" Карла Альбрехта."
"It talks about, uh, who the customer is and being customer oriented, uh, which falls in line with the T I culture here at Texas Instruments.","В нем говорится о том, э-э, кто такой клиент и как быть ориентированным на клиента, э-э, что соответствует культуре T I здесь, в Texas Instruments."
Yeah.,Да.
