,text,label
30,"Я не знаю, что делать с тех пор, как она сказала мне это!!!! мне нужна помощь, особенно от девочек.... пожалуйста, поделитесь своими идеями, пожалуйста? & я очень люблю эту девушку. Она злится на меня, потому что в субботу на прошлой неделе я отключил facebook раньше нее. Я действительно не это имел в виду, но у моего телефона села батарейка, поэтому я попрощался с ней. В воскресенье утром, когда я снова открыл facebook, я увидел ее сообщение, в котором говорилось, что если я уйду в оффлайн, она разозлится на меня. Я быстро звоню ей, когда она берет трубку, я попытался извиниться и сказать ей, что в моем телефоне разрядилась батарея, но она сказала, что я мог бы зарядиться и продолжить играть с ней. Я сказал ей послушать радио, потому что я пытался извиниться по радио, но она не слушала. Теперь я не могу с ней встретиться, она не приходит в школу, она выключила свой телефон, она не ответила ни на одно мое смс, когда я общался с ней, она не ответила. Я хочу спросить вас, о чем мне следует поговорить с ней в чате или отправить смс, чтобы она простила меня? Есть какие-нибудь идеи? Я хочу отправить ей извинения через чат на facebook, но я не знаю, что мне следует написать. Поэтому, пожалуйста, дайте мне какие-нибудь идеи для написания. И когда она ответила.... она умоляла меня больше с ней не разговаривать, она попросила меня вести себя так, как будто мы не знаем друг друга, если встретимся, и она сказала, что не хочет слышать мой голос. После этого она больше не отвечает на мой чат......мне так больно, что я не знаю, что делать......Пожалуйста, помогите...скажи мне, что я должен делать, скажи мне, что я должен написать.....Заранее спасибо за помощь. Спасибо, спасибо. Плюс: я пытаюсь дозвониться ей, но ее номер не может дозвониться...... и мы в отпуске на месяц, поэтому не можем встретиться. Моя единственная надежда - это чат на FACEBOOK..... Пожалуйста, помогите!!!!",1
31,"Какова вероятность того, что я смогу получить отказ от службы в армии за это преступление.......? & Хранение чеков социального страхования умершего члена семьи.  Я чувствую себя полным куском дерьма из-за того, что делаю это.  Я делаю это прямо сейчас и планирую вернуть все до последнего пенни.  Я также хочу отплатить стране службой в армии США.  Я хочу сделать карьеру армейского рейнджера.  У меня 82 балла на моем ASVAB, и я тренируюсь день и ночь.  Я совершил глупую ошибку и теперь сталкиваюсь с ней лицом к лицу.  Как это повлияет на мою способность поступить на службу в армию, особенно в 11B по контракту с опцией 40 (школа рейнджеров).  Предоставляет ли армия льготы по такого рода вещам?",0
32,"я ненавижу эту девушку, но мой ЛУЧШИЙ друг ДРУЖИТ с ней!!? & мой друг по имени Кенниди легко выходит из себя. это начинает раздражать. когда мы имеем в виду 2 ее, она всегда хочет отплатить, и она всегда говорит мне 2 ЗАТКНУТЬСЯ из-за моих шуток. я не могу сказать этого о ее шутках. она также закатывает глаза на все, что я говорю. мои лучшие друзья - это друзья с ней. так что мне приходится часто с ней общаться. я не могу сказать своей лучшей подруге, что она мне не нравится, хотя, потому что она одна из ее подруг, и это было бы ужасно.. Хотя иногда Кенниди может быть милым...Кенниди любит меня как друга 2!",1
33,"Помогите, пожалуйста, я не уверен, почему я такой, какой я есть? & Всем привет! Мне 19, я учусь на первом курсе колледжа, и, надеюсь, вы сможете мне помочь. Ну, честно говоря, я действительно не знаю, с чего начать. Наверное, я не совсем счастлива. Как будто совсем не счастлив. Особенность меня в том, что я счастливый человек почти все время, но я знаю, что я не счастлив, если бы в этом был смысл. Я ни в коем случае не неблагодарен и у меня не должно быть причин быть несчастным - я учусь в одном из лучших государственных колледжей в мире, у меня есть семья, которая любит меня, отличные друзья (за вычетом небольшой суммы), хорошая жизнь в целом. Но мне кажется, что в этом просто многого не хватает. Я вижу, как все мои друзья объявляют о своих специальностях и смягчают свои жизненные цели, а я все еще не нашел этого, и я сомневаюсь, что я хоть немного ближе, чем был в старшей школе. Я в ужасе, не зная, что я хочу делать со своей жизнью, что я могу сделать что-то, о чем я сожалею или ненавижу делать в течение следующих 40 лет. Я просто... понятия не имею, в каком направлении я двигаюсь в своей жизни, и это меня пугает. Еще одна вещь, которой мне не хватает, - это то, о чем, вероятно, рассказывается половина материала здесь, - отношения. Теперь у меня не было законной девушки со средней школы, и это все равно не считается в долгосрочной перспективе. Я никогда не целовал девушку и никогда не занимался сексом. С сексом у меня все в порядке, хотя я знаю, что рано или поздно это придет. Но никогда не целовался с девушкой в 19 лет? Да ладно, ты должен признать, что это довольно грустно. Я даже признаю это. И это тоже не из-за недостатка попыток - я приглашал нескольких девушек на свидание, но всегда одно и то же: ""дело не в тебе, а во мне"" или, в общем, в этом. И я просто продолжаю думать, что если бы это были они, разве они не попытались бы сделать так, чтобы все получилось, вместо того, чтобы давать оправдания? Но я вообще не питаю никакой обиды, я бы никогда ни с кем так не поступил. Я просто чувствую, что если не сейчас, то когда? Так что это еще одна вещь, которой я занимаюсь. Наверное, если честно, я просто сейчас не доволен своей жизнью. А также я тот, кто дает действительно хорошие советы, поэтому мои друзья рассказывают мне о своих проблемах, и я совсем не против помочь, я рад знать, что они доверяют мне и обращаются ко мне за помощью. Но в то же время я бы хотел, чтобы кто-нибудь спросил, как у меня дела. Даже тогда, хотя я сомневаюсь, что сказал бы что-нибудь..Я чувствую, что беспокою своих друзей всякий раз, когда начинаю говорить о своих проблемах, как будто это для них обуза. И, может быть, это звучит глупо, но я всегда был таким, желая помочь и ничего не ожидая взамен. Наверное, я просто хочу, чтобы кто-нибудь спросил, как у меня было, чтобы я знала, что кому-то было не все равно. Я просто вижу, как у всех моих друзей прекрасная жизнь, они выясняют, чем они хотят заниматься со своей карьерой, мой лучший друг был со своей девушкой два года и прямо сейчас пытается казаться связанным браком (я шучу, но им отлично вместе, так что я надеюсь, что это так!) мой другой лучшая подруга преуспевает в своем колледже, и теперь мне интересно, что у меня есть? Наверное, я не реализовался в своей жизни, или я несчастлив, или и то, и другое. Итак, после всего этого, я думаю, мне интересно - как ты думаешь, что со мной не так? Почему я такой, когда я не должен быть таким? И есть ли что-нибудь, что вы могли бы мне сказать, что могло бы помочь? Я думаю, мне просто нужно немного успокоения, что-то в этом роде. Большое вам спасибо за чтение, я очень ценю это. Я знаю, что это было долгое чтение, и вы действительно помогли бы мне, ответив на мои вопросы. Еще раз спасибо вам :)",1
34,Что вы думаете об этом названии? & Элроуз ? ; ;Как в elle rose,1
35,"Где я могу посмотреть первые 6 серий ""V""? & с тех пор, как ABC.com доступен только сезон, начинающийся с 7-й серии. ; ;Спасибо за вашу помощь!",0
36,"Купил своему другу подарок на день рождения. картинка прилагается!? & http://tinypic.com/view.php?pic=34dsv2f&s=6 ; ;- вязаный джемпер; - кислые леденцы и шоколадные конфеты (ее любимые) ; - ожерелье и браслеты ; - носки, потому что она всегда берет мои, когда бывает у меня дома, когда ей холодно, поэтому я купил ей 3 пары, чтобы она перестала :p",1
37,"Я слишком мала, чтобы выносить своего ребенка до срока? & Справочная информация : ; ;до беременности я в своей жизни не набирала даже 100 фунтов. Я НИКОГДА не набирал вес за последние 5 лет, и могу вам сказать, что колебался между 95-97 фунтами. У меня очень быстрый метаболизм. До беременности в моем животе, по моим прикидкам, было буквально 5% жира. Если какой. Если бы я измерила свою талию, я уверена, что она была бы на высокой отметке 20. Мой рост 4 футов 11 дюймов, я на шестом месяце беременности и весю всего 98 фунтов. Я обеспокоен тем, что, возможно, я слишком мал, чтобы нести его всю дорогу до декабря. Кто-нибудь слышал об этом?",0
38,"Могу ли я использовать свой Tivo Premiere в качестве цифрового кабельного телевидения, не платя за услугу Tivo? & Я устал платить 8 долларов в месяц за аренду цифрового кабельного телевидения от Comcast.",0
39,"Меняю свой тампон?!? & У меня регулярные / обильные выделения, и я впервые пользуюсь тампонами, поэтому я использую ""Tampax Pearl Lite Slender"", который похож на самый маленький тампон на свете. Я меняю его каждые полтора часа, потому что я протекаю через него. Разве это плохо? Есть ли обычный тампон того же размера, что и тот, которым я пользуюсь? Спасибо! Мне 14.",1
40,"Я сломал свой телефон verizon, могу ли я получить любой телефон и включить его в свой тарифный план? & Или телефон должен быть от verizon?",0
41,"Что происходит, когда собака ест шоколад? & Моя собачья клетка была не заперта, и он выбрался наружу, побегал вокруг моего дома и съел 1 шоколадку mini hersheys и, может быть, немного мини-леденцовой палочки.Что с ним будет?Что я должен делать?",0
42,"РЕБЯТА, ВЫ ДУМАЕТЕ, Я БЕРЕМЕННА? & мой парень и я применили метод вытаскивания 23 марта.. [мои месячные также закончились 23 марта (утром)] он поклялся, что вытащил их в нужное время.. через 1 неделю я сдала предварительный тест, и он оказался отрицательным. Потом, в прошлую среду, мы сделали это снова, но я передумала и заставила его снять это. [похоже, он был во мне всего 5 секунд] ; у меня нет симптомов беременности .. но мои месячные задерживаются на 1 неделю! .. мои месячные в основном нерегулярны, и последние несколько дней я испытывала сильный стресс.",1
43,"Правильно ли было поступить так с моим другом? & Итак, я должен был пойти на ярмарку со своей подругой на ее день рождения. Я действительно хотел пойти. Но мне нужно было положить свои вещи в ее машину, когда мы встретились на ярмарке, поэтому в четверг я несколько раз говорил ей об этом, и она сказала ""хорошо"". В пятницу я еще несколько раз говорю ей об этом, и она говорит ""хорошо"". Когда я возвращаюсь домой, идет дождь, верно? Ну, она звонит мне и говорит, что вечеринка отменяется. Потом она звонит мне через несколько минут, чтобы сказать, что вечеринка возобновляется, потому что дождь прекратился. Затем каждые 10 минут она звонила и переносила время на 30 минут, чтобы встретиться с ней. Мои родители не были счастливы к этому моменту. Я, наконец, выезжаю на дорогу и собираюсь заехать на стоянку ""Ярмарка"", и я звоню ей, чтобы убедиться, что она там. Но это не так! Она говорит, что пройдет еще 15 минут, прежде чем она доберется туда, а я опоздал к первоначальному времени! Я, наконец, возвращаюсь и заезжаю на парковку, когда вижу ее. Я опускаю окно, чтобы сказать ей подождать меня (как она и предполагала с самого начала), а потом она говорит ""привет"" и убегает со своей другой подругой. Я паркуюсь, и мой папа провожает меня до ворот. (к этому моменту мы все сошли с ума) Я звоню ей, чтобы спросить, где она, и она говорит, что берет билет и заходит внутрь. и я говорю: ""Но разве ты не должен был подождать меня, а потом пойти к своей машине, чтобы отвезти мои вещи?"" *помни, что я должна оставить свои вещи, иначе я не смогу провести ночь * затем она говорит: ""О, хорошо, извини, мы не вернемся к машине"". я пыталась объяснить ей, что она обещала, что мы пойдем к машине, но ей было все равно, и она не обращая внимание, я сказал: ""К черту это, я иду домой!"" и повесил трубку. вы должны понимать, что она вела себя очень невнимательно, но она также действительно хотела, чтобы я поехал. Было ли это неправильным поступком или хорошо преподать ей урок о том, как быть хорошим другом и помнить о вещах? ; пожалуйста, помогите моим друзьям на линии. ;спасибо ;:)",1
44,"Моя супружеская сексуальная жизнь слишком долго была плохой, что я могу сделать? & Мне 32 года, я женился на замечательной девушке 7 лет назад. У меня 2 невероятных ребенка. Я прекрасно ладлю со своей женой, она красивая и добрая. Проблема в том, что у них никогда не было хорошей сексуальной жизни. Я мог бы даже осмелиться сказать, что здесь абсолютно нет сексуальной жизни. Это как если бы я жил со своим лучшим другом. Мы пробовали консультироваться, но ей просто неинтересно. У нее нет никаких физических проблем или предыдущего плохого опыта. Похоже, ей просто совсем не нравится секс, и она не хочет ничего пробовать. Когда она ""позволяет"" мне заниматься сексом, она вообще не участвует, и в конечном итоге я чувствую себя виноватым, потому что она делает то, чего на самом деле не хочет. Действительно плохо то, что я больше не с нетерпением жду близости с ней. У меня действительно проблемы с тем, чтобы она меня заводила, и, что еще хуже, она настаивает на том, чтобы завести третьего ребенка. Что я могу сделать?",1
45,"можете ли вы установить встроенный топливный фильтр на suzuki gsxr600 srad? & мой топливный бак заржавел, и я думаю, что дополнительный фильтр поможет, но ограничит ли это производительность",0
46,"Как ты думаешь, сколько лет этому коту? & http://www.youtube.com/user/zeusthefatcat#p/a/u/0/a6RubG4m0Hw",1
47,"Мне приснился сон, в котором мой друг пел мне, что он хочет дать нам попробовать.? & Дело в том, что он гей, и я знаю это, но до того, как он сказал мне, я была влюблена в него, и мы проводили много времени вместе. Я не уверен, почему эта игра пришла мне в голову, мы все те же, и я все еще общаюсь с ним, и я уверен, что он мне не понравился слишком серьезно, не уверен, что происходит.",1
48,"Христиане, почему вы верите? & Что именно подпитывает вашу веру? Я был бы признателен, если бы вы не говорили что-то расплывчатое вроде ""Я нахожусь в божьей благодати""... без обид, но я не понимаю, что ты под этим подразумеваешь. Можете ли вы попытаться объяснить постороннему человеку, почему вы в это верите? Личный опыт? Бог ""разговаривает"" с вами?",1
49,Девушки: какой у вас идеальный размер одежды? &  ,0
50,"Автомобильное зеркало немного разбито, как я могу это починить? & Я врезался в столб у банкомата на accient, и miror отключился. Это не совсем похоже на отваливание, но оно не соединено сверху. Я не знаю, что я должен делать. Помогите, пожалуйста.",0
51,"могу ли я начать все сначала в другом университете? & В школьные годы у меня были некоторые психологические проблемы, и меня выгнали из университета. ;Я решаю взять годовой перерыв (конечно, встречаясь с психологом раз в неделю) и ; подать заявление в другой университет в следующем году. Действительно ли мне нужно отправлять свою предыдущую стенограмму в университет, в который я собираюсь поступать? (Я говорю о канадском университете) Я не думаю, что университет в другой провинции не будет знать, поскольку в каждой провинции разные системы онлайн-подачи заявок.",0
52,"Мой 2-летний кастрированный кот мужского пола рычал и шипел на нашего нового котенка. Научится ли моя кошка принимать котенка? & Я планирую держать их отдельно, пока нас не будет дома.  Я просто беспокоюсь, что кошка всегда будет злиться и ревновать и никогда не примет котенка.",0
53,"Теперь, когда освобождение Ирака оказывается успешным, разве не удивительно небольшое количество жертв? &  ",1
54,"Что я должен делать???? & хорошо, в среду у нас должен быть проект по математике.. мы почти закончили, но собираемся остаться после школы во вторник... ну, Рэнди и Джессика не могут пойти, а Майкл может пойти... так что будем только мы с Майклом... ну, в тот день я должна была потусоваться с парнем, который мне нравится... что мне делать? мы почти закончили с проектом, так что идк?",1
55,"Почему люди ненавидят других? & Люди пренебрегают мной, или просто грубы со мной, или просто откровенно глупы со мной из-за того, что я не такой, как все. ; ; На самом деле на меня нападали физически, и люди вступали со мной в перепалку, потому что их бесили мои манеры, то, как я говорю, и, в основном, моя индивидуальность. ; ; единственное, я погуглил отзывы о Луисвилле, штат Кентукки, и туристы сказали, что люди одеваются одинаково, говорят одинаково и ведут себя одинаково, и это то, с чем я согласен и здесь. ; ; Здешние люди, похоже, крайне ненавидят другую индивидуальность, и это, кажется, усугубляется, когда я проезжаю мимо Луисвилла к его окраинам, двигаясь глубоко в Кентукки",1
