,en,ru
34,"please help.nabob-any very wealthy, influential, or powerful person.  ;Also, nawab. a person, esp. a European, who has made a large fortune in India or another country of the East.","пожалуйста, помогите. набоб - любой очень богатый, влиятельный или могущественный человек.  ;Также, наваб. человек, особенно. европеец, сколотивший большое состояние в Индии или другой стране Востока."
35,i wont accept request from anyone over 18,я не буду принимать запросы от лиц старше 18 лет
36, , 
37,What does it mean if you see a girl staring at you and. Then you have eye contact for a few seconds then look away. Does she like you?  ;By the way I've never talked to her before but I know who she is and she knows who I am,"Что это значит, если ты видишь, что девушка смотрит на тебя и. Затем вы на несколько секунд смотрите друг другу в глаза, а затем отводите взгляд. Ты ей нравишься?  ; Кстати, я никогда раньше с ней не разговаривал, но я знаю, кто она, и она знает, кто я"
38, , 
39,"Sometimes, actually alot of the time, I get this extreme fear that I'm going to choke. Whether it's eating, drinking, even breathing, I just have this intense fear that I'm going to choke. Like when I swallow I think oh my god what if it gets stuck in my throat and I can't breathe! It's really weird. The fear also occurs when I'm in the dentist and when I'm about to read in class or something... that's when it gets REALLY bad, and I actually think I'm going to have a heart attack cause I'm so scared. ; ;Is there anything I can do to make it stop? :(","Иногда, на самом деле очень часто, у меня возникает такой сильный страх, что я сейчас задохнусь. Будь то еда, питье, даже дыхание, у меня просто сильный страх, что я задохнусь. Например, когда я глотаю, я думаю: ""О боже, что, если это застрянет у меня в горле, и я не смогу дышать!"" Это действительно странно. Страх также возникает, когда я нахожусь у дантиста и когда я собираюсь читать на уроке или что-то в этом роде... вот когда становится ПО-НАСТОЯЩЕМУ плохо, и я действительно думаю, что у меня случится сердечный приступ, потому что я так напугана. ; ; Могу ли я что-нибудь сделать, чтобы это остановить? :("
40, , 
41,"So I was watching Road Fools, and it had this band play and the song said something about a beautiful baby I think?  Beautiful voice too? It was the episode with the dude in the banana suit.","Итак, я смотрел Road Fools, и там играла эта группа, и в песне, по-моему, говорилось что-то о прекрасном ребенке?  Тоже красивый голос? Это был эпизод с чуваком в костюме банана."
42,"I'm a teen girl, and I'm going to be buying new books on Monday. I don't really know what to get. Some of my favorite books/series are: ;Pretty Little Liars ;Harry Potter ;The Princess Diaries ;Anne of Green Gables ;The Clique ;The Last Apprentice ; ;So, I don't really have a favorite genre of books. I tend to dislike most science fiction, horror, and some mystery, so please don't suggest those types. I also want fiction, so novels only please. I like humorous books, romance, fantasy and historical fiction, so I'm open to those options.  ;Any answers are really appreciated. Thanks in advance (: ; ;p.s. don't recommend Twilight. I've read it, and I liked it, but it's not my favorite.","Я девочка-подросток, и в понедельник я собираюсь покупать новые книги. Я действительно не знаю, что взять. Некоторые из моих любимых книг / серий: ;Милые маленькие лгуньи; Гарри Поттер; Дневники принцессы; Анна из Зеленых мезонинов; Клика; Последний ученик ; ; Так что, на самом деле, у меня нет любимого жанра книг. Я склонен не любить большую часть научной фантастики, ужасов и немного мистики, поэтому, пожалуйста, не предлагайте эти типы. Я тоже хочу художественную литературу, так что, пожалуйста, только романы. Мне нравятся книги с юмором, романтические романы, фэнтези и историческая фантастика, поэтому я открыт для этих вариантов.  ; Любые ответы действительно ценятся. Заранее спасибо (: ; ;p.s. не рекомендую Twilight. Я прочитал это, и мне понравилось, но это не мое любимое."
43,"I have a xbox 360, i dont want to buy the wireless adapter so i need to hook it up via. Ethernet","У меня есть xbox 360, я не хочу покупать беспроводной адаптер, поэтому мне нужно подключить его через. Локальная сеть"
44, , 
45, , 
46,hi Im planning to come to UK for work this summer.. and working in hostels is interesting choice as you get accomodation there to.. so how much do you earn? you earn sth right? its not just work in exchange for bed.. and what about the people etc? did you enjoy it?,"привет, я планирую приехать в Великобританию на работу этим летом.. и работа в хостелах - интересный выбор, так как вы получаете там жилье для... итак, сколько вы зарабатываете? ты ведь зарабатываешь, верно? это не просто работа в обмен на постель.. а как насчет людей и т.д.? тебе это понравилось?"
47,"I'm naturally a skinny/slim person and I'm currently 18 weeks and I asked my doctor why I'm not showing and she told me its normal and that I would show alot more when I'm like 6,7,8 and or 9 months pregnant but I want to know what I can do to gain more weight without eating the wrong foods.","Я от природы худощавый человек, и сейчас у меня 18 недель, и я спросила своего врача, почему у меня ничего не проявляется, и она сказала мне, что это нормально и что у меня будет гораздо больше признаков, когда я буду примерно на 6,7,8 и / или 9 месяце беременности, но я хочу знать, что я могу сделать, чтобы набрать больше веса не употребляя неправильных продуктов."
48,how many different ways in numeracy can you make the number 10???,сколькими различными способами в арифметике вы можете составить число 10???
49,i have emailed a million letters to infinity ward asking them if they plan on fixing the issue with the tactical insertion boosting a holes and if they have future dlc coming and when and what but they will not reply back.does anyone here no of a site that will tell me this info or how i can get it,"я отправил по электронной почте миллион писем в infinity ward, спрашивая их, планируют ли они устранить проблему с тактической вставкой, увеличивающей дыры, и есть ли у них будущее дополнение, и когда и что, но они не ответили. есть ли у кого-нибудь здесь сайт, который сообщит мне эту информацию или как я могу получи это"
50,"Hello, I've never had a bf or had sex before, I have kissed and done a bit of other stuff but that is as far as it goes. ;The problems is I've not been like my friends when they were 16 they just slept with whoever for the sake of losing their virginity, I wasn't into that idea. ;I rarely find guys I really like and when I do they either don't like me back or I won't say anything about liking them, I have had quite a lot of guys ask me out/show interest, but I didn't feel the same and I always feel that would not be the right path for me. ;a recent event, this guy I liked at work (who I think is a little bit of player) he invited me to stay over, so I did, and well we ended up making out etc, infact it was moving so fast he was pretty much getting ready to put on a condom, I thought before if I kept my virginity secret it wouldnt matter, but then I was worried about the pain as he seemed pretty rough/moving fast so I told him before he did anything, ;I was suprised that he reacted how he did, he said he didnt want to be an arsehole by taking my virginity, and we ended up just making out and stuff instead all night, he did ask me at one point if I wanted him to continue anyway but I said I felt kind of rubbish so we didnt go further, ;But this guy was so sweet to me after, he said we could just cuddle all night, he said he did like me but wasn't looking for a relationship, he also noticed I kept looking sad, and kept making sure I was ok by kissing and cuddling me and asking me to smile, and trying to reassure me that I was a nice cool person and that I should stop talking rubbish about myself. ;Now I like him even more because he has proven though he might be a bit of a player he can be sweet and caring too and didn't just take advantage, im stuck in a rut :( ;I feel paranoid when i see him at work im worried hes freaked oiut he told me I was being paranoid and sent me a message online saying i needed to relax and let things flow"" I dont know what he meant by that! life in general?? or us being friends/more than friends? what do you think? ;SORRY this is so long lol""","Привет, у меня никогда раньше не было парня и я не занималась сексом, я целовалась и занималась кое-чем другим, но на этом все. ; Проблема в том, что я не был таким, как мои друзья, когда им было 16, они просто спали с кем попало ради потери девственности, мне эта идея не нравилась. ;Я редко нахожу ребят мне очень нравится и когда я сделаю это, они либо не нравится мне, или я ничего не скажу о душе их, у меня было довольно много парней пригласить меня на свидание/показать интерес, но я не чувствую то же самое и мне всегда кажется, что бы не быть правильный путь для меня. ;недавнее событие, парень, который мне нравился на работе (который я думаю, что это немного-плеер), он предложил мне остаться, я так и сделал, и мы закончили тем, что целовались и т. д., На самом деле он двигался так быстро, что он был довольно сильно готов надеть презерватив, раньше я думал, если я сохранила свою девственность секрет, это не важно, но потом я подумал о той боли, которую, как ему казалось, довольно грубо/движется быстро, так что я сказал ему, прежде чем он что-то сделал ;Я был удивлен, что он отнесся как он это сделал, он сказал, что он не хотел быть придурком, взяв мою девственность, и в итоге мы просто целовались и все такое, а не всю ночь, он пригласил меня на одной точке, если бы я хотел, чтобы он дальше, но я сказал, что чувствуется какая-то дрянь, так что нам не идти дальше ;но этот парень был таким милым со мной после, он сказал, что мы можем просто обниматься всю ночь, он сказал, что любит меня, но не ищу отношений, он также заметил, что я продолжал смотреть в сад, и продолжал, убедившись, что я был в порядке, поцелуи и объятия мне и просишь меня, чтобы улыбнуться, и пытается убедить меня, что я спокойный человек и что я должен прекратить нести чушь о себе. ;Теперь он мне нравится еще больше, потому что он доказал, что, хотя он может быть немного игроком, он тоже может быть милым и заботливым, и я не просто воспользовался этим, я застрял в колее :( ; Я чувствую себя параноиком, когда вижу его на работе, я беспокоюсь, что он взбешен, но он сказал мне, что я был параноиком и отправил мне сообщение онлайн, в котором говорилось, что мне нужно расслабиться и позволить всему течь своим чередом "" Я не знаю, что он имел в виду под этим! жизнь в целом?? или мы друзья/ больше, чем друзья? что вы думаете? ;ИЗВИНИ, что это так долго, лол"""
51,I saw a small gray snake in my home today.  I am scared.  I believe it may have came in thru my sliding glass window.  Is it a garden snake?,"Сегодня я видел маленькую серую змею у себя дома.  Мне страшно.  Я полагаю, что это могло проникнуть через мое раздвижное стеклянное окно.  Это садовая змея?"
52,what I mean is could charge stay on an insualtor forever? ;If the plastic handle of a knife was charged and lef on a table would it stay charged unless acted on,"я имею в виду, может ли плата оставаться на страхователе вечно? ; Если бы пластиковая ручка ножа была заряжена и оставлена на столе, оставалась бы она заряженной, если бы на нее не воздействовали"
53,ok so im in high school and im gonna apply for college soon. ;my weighted GPA is 4.18 ( wieghted) 3.79 (unweighted). ;By the time i apply for college i will have 7/APs and IB courses done. not including my senior year. i was on cheerleading for 2 years. 200 hrs of community service. im also in ASB. about 5 different clubs. and im in the academic decathlon team. plus im in the IB program at my school. pluss im MExican. im gonna apply to college as an undecided major. ;which is better for me? UCLA or Berkeley?,"ладно, я учусь в старшей школе и скоро подам заявление в колледж. ; мой взвешенный средний балл составляет 4,18 (взвешенный) 3,79 (невзвешенный). ; К тому времени, когда я подам заявление в колледж, я закончу курсы 7/ APs и IB. не считая моего выпускного года. я была в группе поддержки в течение 2 лет. 200 часов общественных работ. я также состою в ASB. примерно в 5 разных клубах. и я в академической команде по десятиборью. плюс я участвую в программе IB в моей школе. плюс, я мексиканец. я собираюсь подать заявление в колледж на неопределившуюся специальность. ; что для меня лучше? Калифорнийский университет в Лос-Анджелесе или Беркли?"
54,"I'm looking forward to this match at Wrestle Mania because of Rey loses he must Join CM Punk, ; ;I Really hope Rey will lose this match because if he does lose to CM Punk three things could happen, ; ;1. Rey Mysterio Will Unmask ; ;2. Rey Mysterio might get his name changed by CM Punk after Rey is unmasked ; ;3. Rey Mysterio will no longer wear his old wrestling clothes and he might look like a Mexican Jehovah's witness  ; ;But sadly the Stupid PG rated WWE company will allow Rey to win because the Rey Mysterio persona is supported too much by little kids, ; ;So my question is do you think that would happen those three things if Rey loses to Punk at Mania?","Я с нетерпением жду этого матча на Wrestle Mania, потому что из-за проигрыша Рея он должен присоединиться к CM Punk, ; ;Я действительно надеюсь, что Рей проиграет этот матч, потому что, если он проиграет CM Punk, могут произойти три вещи, ; ;1. Рей Мистерио разоблачит маску ; ;2. Рей Мистерио может получить свое имя изменено CM Punk после того, как Рей разоблачен ; ;3. Рей Мистерио больше не будет носить свою старую борцовскую одежду, и он может выглядеть как мексиканский свидетель Иеговы ; ; Но, к сожалению, глупая компания WWE с рейтингом PG позволит Рею победить, потому что личность Рея Мистерио слишком сильно поддерживается маленькими детьми, ; ; Итак, мой вопрос в том, как вы думаете, произойдут ли эти три вещи, если Рей проиграет Панку в Mania?"
55,"For instance, I was reading a question on here about how guys pat one another on the butt in sports as encouragement...and I felt myself...you know. ;That's not even remotely sexual. It's just an encouragement thing.","Например, я читал здесь вопрос о том, как парни похлопывают друг друга по заднице в спорте в качестве поощрения... и я почувствовал себя...ты знаешь. ; Это даже отдаленно не сексуально. Это просто способ подбодрить."
56, , 
57,It's raining outside,На улице идет дождь
58,"Is it, you must be born in that country to play for their national team. Or can it also be, your parents may be born in that country, for you to play for their national team? ; ;I know Deco, Eubesio ( i think thats his name) are Brasilian born but play for Portugual. Can you name others?","Это так, вы должны родиться в этой стране, чтобы играть за их национальную сборную. Или, может быть, ваши родители родились в этой стране, чтобы вы играли за их национальную сборную? ; ;Я знаю Деко, Эубезио (кажется, так его зовут) родом из Бразилии, но играет за Португалию. Можете ли вы назвать других?"
59, , 
60,"Okay well actually, I'm thinking about getting the ipod nano 8gb, ipod touch 8gb, or sony walkman E-340 8gb. ; ;Well Right now I have an ipod shuffle 1gb and I'm buying my songs from a music site, downloading them to itunes and then importing them into itunes and syncing them to the ipod. But Sometimes I can really hate itunes because, sometimes when I'm syncing the songs onto the ipod, itunes just deletes all the songs, WTF? It it's happened to me only like 5 times in the past 9 months I've had the ipod shuffle though, and it doesn't just happen to me, it also happens to some of my friends that have ipods and get their music from a different source from itunes also. So I'm kind of wondering if I should still ask for an ipod nano or itouch for my birthday coming in June. ; ;I don't really have a big music library, only 241 songs, but if I get a new music player I would want to put 2 movies on it which is why I'm thinking of getting an ipod because of it's easyness of transfer from buying the videos to putting them on the player. So basically I'm wondering if I should go with ipod or Sony. ; ;On Amazon, the players are... ; ;The Sony Walkman E-340 8gb-   $70 ;iPod Nano 8gb(5th gen. with Vid. Cam.)-   $126 ;iPod Touch 8gb(3rd Gen.)-   $172 ; ;I'm not really concerned with internet access, so Apps would be the only reason I would get the Touch. ; ;I really only want the iPod nano because of the FM radio with Tagging on it. ; ;I want the Sony Walkman because it's a good product that is cheap.","Ладно, вообще-то, я подумываю о приобретении ipod nano 8gb, ipod touch 8gb или sony walkman E-340 8gb. ; ; Ну, прямо сейчас у меня есть ipod shuffle 1gb, и я покупаю свои песни с музыкального сайта, загружаю их в itunes, а затем импортирую в itunes и синхронизирую их на ipod. Но иногда я действительно могу ненавидеть itunes, потому что иногда, когда я синхронизирую песни с ipod, itunes просто удаляет все песни, WTF? Это случилось со мной всего 5 раз за последние 9 месяцев, хотя у меня был ipod shuffle, и это случается не только со мной, это также случается с некоторыми из моих друзей, у которых есть ipod, и они также получают свою музыку из другого источника, из itunes. Так что я вроде как раздумываю, стоит ли мне все-таки попросить ipod nano или itouch на мой день рождения, который состоится в июне. ; ; На самом деле у меня не очень большая музыкальная библиотека, всего 241 песня, но если я получу новый музыкальный плеер, я бы хотел поставить на него 2 фильма, вот почему Я подумываю о приобретении ipod из-за простоты перехода от покупки видео к установке их на проигрыватель. Итак, в принципе, я задаюсь вопросом, стоит ли мне выбрать ipod или Sony. ; ; На Amazon плееры стоят ... ; ; Sony Walkman E-340 8gb- 70 долларов ; iPod Nano 8gb (5-го поколения. с видеозаписью. Cam.) - 126 долларов; iPod Touch 8gb (3-го поколения) - 172 доллара ; ; На самом деле меня не волнует доступ в Интернет, поэтому приложения были бы единственной причиной, по которой я мог бы получить Touch. ; ; Я действительно хочу iPod nano только из-за FM-радио с пометкой на нем. ; ; Я хочу Sony Walkman, потому что это хороший продукт, который стоит дешево."
61,Just now on raw hhh looked like he didnt know where he was. Im not saying this is wjat i think will happen but do you think an amnesia storyline would be stupid?,"Только что на raw hhh выглядел так, словно не знал, где находится. Я не говорю, что это то, что, по моему мнению, произойдет, но вы думаете, что сюжетная линия с амнезией была бы глупой?"
62, , 
63,"what does it mean when someone refers to a girl as a corpse"" ?? And no","что это значит, когда кто-то называет девушку ""трупом""?? И нет"
64,"Under which conditions would asexual plants have the greatest advantage over sexual plants? ;a. an environment that varies on a regular, predictable basis ;b. an environment with irregular fluctuations of conditions  ;c. a relatively constant environment with infrequent disturbances ;d. a fire-maintained ecosystem  ;e. an environment with many seed predators  ; ;(thanks . . . . I was really stuck on this one)","При каких условиях бесполые растения имели бы наибольшее преимущество перед половыми растениями?; a. среда, которая меняется на регулярной, предсказуемой основе; b. среда с нерегулярными колебаниями условий; c. относительно постоянная среда с редкими нарушениями; d. экосистема, поддерживаемая огнем; e. окружающая среда со многими семенными хищниками ; ; (спасибо . . . . Я действительно застрял на этом)"
65,"You can only keep a movie for 24 hours after the first playback, so I wondering if I change the PSP time will the 24 hour expiration time change?","Вы можете сохранить фильм только в течение 24 часов после первого воспроизведения, поэтому мне интересно, если я изменю время PSP, изменится ли 24-часовое время истечения срока действия?"
66,Lmao Sorry iM Using My iPhone For This,"Ржунимагу, Извините, я использую свой iPhone для этого"
67,i noticed girls always do this. Like this that liked me didnt even say anything to me and when i looked at her she wasnt even looking at me when i first met her. I was checking her out and she didnt even say anything and on the itnernet she told my friend im cute. Why do u ladies always do this ? girls are so complicated i can never tell when they are interested in me! lol any thoughts,"я заметил, что девушки всегда так делают. Как эта, которой я понравился, даже ничего мне не сказала, и когда я посмотрел на нее, она даже не смотрела на меня, когда я впервые встретил ее. Я проверял ее, и она даже ничего не сказала, а в Интернете она сказала моей подруге, что я симпатичная. Почему вы, дамы, всегда так поступаете? девушки такие сложные, что я никогда не могу сказать, когда я им интересен! лол, есть какие-нибудь мысли"
68,simplify this: 15^24 x 15^-12 x 15^6 ; ;cheers,упростим это: 15 ^ 24 x 15 ^-12 x 15 ^ 6 ; ;ура
69,"I have MS-SQL server 2008 running on my system (with management studio)... A local website uses this database.. I want to get it working on my laptop i.e. I want to do further coding of the website on my laptop , Suggest me wat to do... ;I am using Windows 7 ultimate.. Laptop has XP PRO sp2 ;SQL server 2008 and Visual Web developer express on pc... same is installed on Laptop..","В моей системе запущен MS-SQL server 2008 (с management studio)... Местный веб-сайт использует эту базу данных.. Я хочу заставить это работать на моем ноутбуке, т.е. я хочу продолжить кодирование веб-сайта на моем ноутбуке, предложите мне, что делать... ; Я использую Windows 7 ultimate.. Ноутбук имеет XP PRO sp2; SQL server 2008 и Visual Web developer express на ПК ... то же самое установлено на ноутбуке.."
70,"Just a couple days ago, my boyfriend of 9 months, told me that he cheated on me when we were going out at 2 months... He said he sext this girl. Just once. and he felt EXTREMELY bad for doing it and he never talked to that girl ever again. what should i do?","Всего пару дней назад мой 9-месячный парень сказал мне, что он изменил мне, когда мы встречались в 2 месяца... Он сказал, что занимается сексом с этой девушкой. Только один раз. и ему было очень стыдно за то, что он это сделал, и он больше никогда не разговаривал с этой девушкой. что я должен делать?"
71,Im writing a paper about red heads and a source I got says that Shakespeare tended to make his menacing characters red headed. But I'm not sure if it's really true,"Я пишу статью о рыжих головах, и источник, который я получил, говорит, что Шекспир имел тенденцию делать своих грозных персонажей рыжеволосыми. Но я не уверен, действительно ли это правда"
72,"i need one for saturday, its tuesday today and i need to find one but i dont know where to look. there are some online but i dont think they'll ship in time. does anyone know where i can find one or if theres one online that would arrive in 2 business days?","мне нужен один на субботу, сегодня вторник, и мне нужно его найти, но я не знаю, где искать. некоторые есть в Интернете, но я не думаю, что они будут отправлены вовремя. кто-нибудь знает, где я могу его найти или есть ли он в Интернете, который прибудет через 2 рабочих дня?"
73,When is it a good time to ask her to be an official couple?  Things have been going great so far! :),Когда самое подходящее время попросить ее стать официальной парой?  До сих пор все шло отлично! :)
74,"My last exam with a diff. Doctor prescribed me to -5.25 for contacts. This new doctor just did the Eyeglasses, and that number was -350; how would the -3.50 or -350 translate into a contact prescription?","Мой последний экзамен с отличием. Доктор прописал мне -5,25 для контактных линз. Этот новый врач только что сделал очки, и это число было -350; как бы -3.50 или -350 переводились на рецепт для контактных линз?"
75,How do I delete achievements from a game I don't own anymore and not going to buy again?,"Как мне удалить достижения из игры, которой я больше не владею и которую не собираюсь покупать снова?"
76,"I'm not saying we need to be -exactly- the same, but I am saying that some of us who don't clearly stick to our expected gender role can get hurt by this separation. ; ;For instance, I wasn't allowed to play with many toys because they were 'made for' the opposite gender, even though I grew up pursuing a field in which such enrichment activities with said toys would be vital. I am still trying to make up for the lack of skills such things would have taught me.","Я не говорю, что мы должны быть абсолютно одинаковыми, но я говорю, что некоторые из нас, которые явно не придерживаются ожидаемой гендерной роли, могут пострадать от такого разделения. ; ; Например, мне не разрешали играть со многими игрушками, потому что они были ""созданы для"" противоположного пола, даже несмотря на то, что я вырос в области, в которой такие обогащающие занятия с упомянутыми игрушками были бы жизненно важны. Я все еще пытаюсь восполнить недостаток навыков, которым меня могли бы научить такие вещи."
77, , 
78,It probably sounds stupid to you but I can see how it is all going to pan out with me feeling unwanted isolated and uncared about and bam when I'm in tat frame of mind death is my only option. You have no idea what it's like to be depressed,"Возможно, для вас это звучит глупо, но я вижу, как все это обернется тем, что я буду чувствовать себя нежеланным, изолированным и безразличным, и бац, когда я в таком настроении, смерть - мой единственный выход. Ты понятия не имеешь, каково это - быть в депрессии"
79,"I had no idea what some of my friends were talking about, and I read it in a book too. Help me out here!","Я понятия не имел, о чем говорили некоторые из моих друзей, и я тоже прочитал об этом в книге. Помоги мне здесь!"
80,The quasars with the largest presently known redshifts are close to  ; ;a. 65 ;b. 6 ;c. .96 ;d. 10 ;e. 3,Квазары с наибольшими известными в настоящее время красными смещениями близки к ; ;a. 65 ;b. 6 ;c. 96 ;d. 10 ;e. 3
81, , 
82, , 
83, , 
84,"im 17 years old, i live away from the city and i'm into computers. Are there any possible online jobs for me? I mean, a legal online job. pls. provide a link for me. thanks! :D","мне 17 лет, я живу далеко от города и увлекаюсь компьютерами. Есть ли для меня какие-нибудь возможные онлайн-вакансии? Я имею в виду легальную онлайн-работу. пожалуйста, предоставьте мне ссылку. Спасибо! :D"
85,just if woman like to have anal sex,просто если женщине нравится заниматься анальным сексом
86,I notice this we were in line to get our prom picture taken and there were 3 black couples in front of us. And the photographer asked them to smile and they just didn't smile not even a grim. Why is that?,"Я замечаю это: мы стояли в очереди, чтобы сфотографироваться на выпускной, и перед нами были 3 чернокожие пары. И фотограф попросил их улыбнуться, а они просто не улыбнулись, даже мрачно. Это почему?"
87,my grandpop went to the philippines and came home with all kinds of candys. I fell in love with one and dont know what its called. It was like a long rod shaped like a pretzel stick and was filled with like a dried creamy white stuff. It wasnt pretzel though it was something else with like a saltine color. Any ideas anyone?,"мой дедушка поехал на Филиппины и вернулся домой со всевозможными конфетами. Я влюбился в одну из них и не знаю, как она называется. Это было похоже на длинный стержень, по форме напоминающий палочку для кренделя, и было наполнено чем-то похожим на сушеную кремово-белую массу. Это был не крендель, хотя это было что-то другое, похожее на соленый цвет. У кого-нибудь есть идеи?"
