Title,Description,Category,Top,URL,Label
was malcolm x considered at a civil rights leader? why?, ,History,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20091213121727AAHyA5m,0
This guy just asked me out but he just broke up with my best friend:S?, ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091216180444AAwO5Gh,1
Why K2O2 is possible and KO is not in terms of atomic structure? (10 points)?, ,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20091216190110AAe7UDy,0
How Do I Get In Better Shape ?, ,Diet & Fitness,Health,http://answers.yahoo.com/question/index?qid=20091219122847AAXQP1U,1
"I'm actually still pregnant, but I want a big family is it easy to get pregnant right away again?", ,Trying to Conceive,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20091220144515AAR33x7,0
"We are married, in love, but living separately?", ,Marriage & Divorce,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091221213850AAuK5WP,1
Epic start to the New Year Help!?, ,Friends,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091231195437AA4nh9a,1
For anyone who can backflip?,ok i really wanna learn how to back flip but i need someone to spot me. Does the person that's spotting me have to be taller or can they be the same height as me?,Martial Arts,Sports,http://answers.yahoo.com/question/index?qid=20100104215008AAFP6WC,0
Nora Katherine or Reagan Leah?,"Pick your favorite name! Neither is not an answer, and no mixing and matching please! Winner will go to round 6. ; ;I've seen these a lot lately so I though I would do one! ; ;Reagan is said ray-gin. ; ;* I'm posting this again because it didnt get many answers last time.",Baby Names,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20100107154425AAvplDq,1
Wrestling Section poll: Which hand do you wipe your ass with?, ,Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100108191034AAxOM2T,1
Can someone help me with how long will it'll take to get to mars?,IS it because Mars is moving so we would have to be chasing it???,Astronomy & Space,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100112175701AAacSVO,0
Why Are So Many New Yorkers Flocking to Evangelical Christian Preacher Tim Keller?,"The evangelical Christian preacher says the secular holy trinity of money, ambition, and achievement is the root of all evil: ; ;http://nymag.com/news/features/62374/ ; ;*smirk* ; ;This is my last question for today. I almost died laughing when I read the article. Oh, and he even derives his theology from Old Testament (read: Jewish) scripture :)",Politics,Politics & Government,http://answers.yahoo.com/question/index?qid=20100113191841AALjVRA,1
How much air pressure is required for my run-flat tires. I have a 2007 Lexus SC-430?, ,Lexus,Cars & Transportation,http://answers.yahoo.com/question/index?qid=20100118163628AAuaDwb,0
Is it true that younger men very seldomly take older women seriously?,"Is it any age difference or a certain amount of age difference that matters?  I'm in my late twenties and sometimes still find guys who are 1-5 years younger to be interesting.  They often flirt with me, but I am also told that I look 21-22.  Would a guy who is initially attracted lose interest once he finds out my age just because I'm older?",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100119142013AAAa1U5,1
what would be a bad reason for revolution?,i think i know what your saying second answer. thanx i was thinking too small ill try to think of a bigger answer thanks so much u gave me an idea!,Homework Help,Education & Reference,http://answers.yahoo.com/question/index?qid=20100121132740AAuszQe,1
what american vice president has to do with or is somehow associated with the word nabob?,"please help.nabob-any very wealthy, influential, or powerful person.  ;Also, nawab. a person, esp. a European, who has made a large fortune in India or another country of the East.",Other - Society & Culture,Society & Culture,http://answers.yahoo.com/question/index?qid=20100121164749AAK2SLI,0
any one on xbox live a girl?,i wont accept request from anyone over 18,Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20100122131000AAWvRZI,1
Do you know any guys that have no problem getting girlfriends ?, ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100127121211AAsWHDf,1
If you have eye contact for more than 2 seconds with a girl does that mean she likes you?,What does it mean if you see a girl staring at you and. Then you have eye contact for a few seconds then look away. Does she like you?  ;By the way I've never talked to her before but I know who she is and she knows who I am,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100127185345AAM11ic,1
"Is ""a recipe for disaster"" a metaphor?", ,Words & Wordplay,Education & Reference,http://answers.yahoo.com/question/index?qid=20100129105952AAn18mI,0
Extreme Fear Of Choking?,"Sometimes, actually alot of the time, I get this extreme fear that I'm going to choke. Whether it's eating, drinking, even breathing, I just have this intense fear that I'm going to choke. Like when I swallow I think oh my god what if it gets stuck in my throat and I can't breathe! It's really weird. The fear also occurs when I'm in the dentist and when I'm about to read in class or something... that's when it gets REALLY bad, and I actually think I'm going to have a heart attack cause I'm so scared. ; ;Is there anything I can do to make it stop? :(",Respiratory Diseases,Health,http://answers.yahoo.com/question/index?qid=20100203131909AAg83ke,0
"What do some of the christians on here think about the movie ""Legion""?", ,Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20100206095708AAw5MFR,1
I was watching Road Fools on  Fuel Tv and I want to know the  name of this song....?,"So I was watching Road Fools, and it had this band play and the song said something about a beautiful baby I think?  Beautiful voice too? It was the episode with the dude in the banana suit.",Other - Music,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20100209160234AAnfMcI,0
I Need Some Good Books For A Teen Girl?,"I'm a teen girl, and I'm going to be buying new books on Monday. I don't really know what to get. Some of my favorite books/series are: ;Pretty Little Liars ;Harry Potter ;The Princess Diaries ;Anne of Green Gables ;The Clique ;The Last Apprentice ; ;So, I don't really have a favorite genre of books. I tend to dislike most science fiction, horror, and some mystery, so please don't suggest those types. I also want fiction, so novels only please. I like humorous books, romance, fantasy and historical fiction, so I'm open to those options.  ;Any answers are really appreciated. Thanks in advance (: ; ;p.s. don't recommend Twilight. I've read it, and I liked it, but it's not my favorite.",Books & Authors,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20100211115729AAslRAp,1
Can I run an ICS on my computer  and a wireless router at the same  time?,"I have a xbox 360, i dont want to buy the wireless adapter so i need to hook it up via. Ethernet",Computer Networking,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100212163333AAxpDzv,0
What is the pH of a .05 Molar HCl solution?, ,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100217081848AA0f741,0
How to get bigger breasts ?, ,Women's Health,Health,http://answers.yahoo.com/question/index?qid=20100218083603AAgaOIy,0
Experience with working in a hostel in UK?? preferably London.. (+live in)?,hi Im planning to come to UK for work this summer.. and working in hostels is interesting choice as you get accomodation there to.. so how much do you earn? you earn sth right? its not just work in exchange for bed.. and what about the people etc? did you enjoy it?,London,Local Businesses,http://answers.yahoo.com/question/index?qid=20100223050642AAxNcE1,1
How can I gain more weight during my pregnancy?,"I'm naturally a skinny/slim person and I'm currently 18 weeks and I asked my doctor why I'm not showing and she told me its normal and that I would show alot more when I'm like 6,7,8 and or 9 months pregnant but I want to know what I can do to gain more weight without eating the wrong foods.",Pregnancy,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20100226130352AArwNUN,0
how many ways can you make the number ten?? e.g 1 add 9 =10 ect?,how many different ways in numeracy can you make the number 10???,Mathematics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100301083521AAQ4l9I,0
call of duty modern warfare 2 (xbox 360)?,i have emailed a million letters to infinity ward asking them if they plan on fixing the issue with the tactical insertion boosting a holes and if they have future dlc coming and when and what but they will not reply back.does anyone here no of a site that will tell me this info or how i can get it,Xbox,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100302003656AABbcAi,0
Does he really want to be just friends?,"Hello, I've never had a bf or had sex before, I have kissed and done a bit of other stuff but that is as far as it goes. ;The problems is I've not been like my friends when they were 16 they just slept with whoever for the sake of losing their virginity, I wasn't into that idea. ;I rarely find guys I really like and when I do they either don't like me back or I won't say anything about liking them, I have had quite a lot of guys ask me out/show interest, but I didn't feel the same and I always feel that would not be the right path for me. ;a recent event, this guy I liked at work (who I think is a little bit of player) he invited me to stay over, so I did, and well we ended up making out etc, infact it was moving so fast he was pretty much getting ready to put on a condom, I thought before if I kept my virginity secret it wouldnt matter, but then I was worried about the pain as he seemed pretty rough/moving fast so I told him before he did anything, ;I was suprised that he reacted how he did, he said he didnt want to be an arsehole by taking my virginity, and we ended up just making out and stuff instead all night, he did ask me at one point if I wanted him to continue anyway but I said I felt kind of rubbish so we didnt go further, ;But this guy was so sweet to me after, he said we could just cuddle all night, he said he did like me but wasn't looking for a relationship, he also noticed I kept looking sad, and kept making sure I was ok by kissing and cuddling me and asking me to smile, and trying to reassure me that I was a nice cool person and that I should stop talking rubbish about myself. ;Now I like him even more because he has proven though he might be a bit of a player he can be sweet and caring too and didn't just take advantage, im stuck in a rut :( ;I feel paranoid when i see him at work im worried hes freaked oiut he told me I was being paranoid and sent me a message online saying i needed to relax and let things flow"" I dont know what he meant by that! life in general?? or us being friends/more than friends? what do you think? ;SORRY this is so long lol""",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100305083252AABB6bN,1
Are small gray snakes dangerous?,I saw a small gray snake in my home today.  I am scared.  I believe it may have came in thru my sliding glass window.  Is it a garden snake?,Zoology,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100309181416AAetlJg,0
How do insulators discharge?,what I mean is could charge stay on an insualtor forever? ;If the plastic handle of a knife was charged and lef on a table would it stay charged unless acted on,Physics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100311035448AAjsxvw,0
UCLA or Berkeley? idk which is better?,ok so im in high school and im gonna apply for college soon. ;my weighted GPA is 4.18 ( wieghted) 3.79 (unweighted). ;By the time i apply for college i will have 7/APs and IB courses done. not including my senior year. i was on cheerleading for 2 years. 200 hrs of community service. im also in ASB. about 5 different clubs. and im in the academic decathlon team. plus im in the IB program at my school. pluss im MExican. im gonna apply to college as an undecided major. ;which is better for me? UCLA or Berkeley?,Other - Education,Education & Reference,http://answers.yahoo.com/question/index?qid=20100320214429AAlwUeA,1
Anyone else excited about CM Punk vs. Rey Mysterio?,"I'm looking forward to this match at Wrestle Mania because of Rey loses he must Join CM Punk, ; ;I Really hope Rey will lose this match because if he does lose to CM Punk three things could happen, ; ;1. Rey Mysterio Will Unmask ; ;2. Rey Mysterio might get his name changed by CM Punk after Rey is unmasked ; ;3. Rey Mysterio will no longer wear his old wrestling clothes and he might look like a Mexican Jehovah's witness  ; ;But sadly the Stupid PG rated WWE company will allow Rey to win because the Rey Mysterio persona is supported too much by little kids, ; ;So my question is do you think that would happen those three things if Rey loses to Punk at Mania?",Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100321101919AA0YAWN,1
How come stupid crap makes me wet these days?,"For instance, I was reading a question on here about how guys pat one another on the butt in sports as encouragement...and I felt myself...you know. ;That's not even remotely sexual. It's just an encouragement thing.",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100321150309AAZFnGs,1
is there a posibility that snow will fall on april in pittsburgh?, ,Other - United States,Travel,http://answers.yahoo.com/question/index?qid=20100322073621AAPHO2Y,0
Do you know the way to sesame street?,It's raining outside,Politics,Politics & Government,http://answers.yahoo.com/question/index?qid=20100326064209AAI7BSV,1
"What are the rules for playing on ""your"" National Team?","Is it, you must be born in that country to play for their national team. Or can it also be, your parents may be born in that country, for you to play for their national team? ; ;I know Deco, Eubesio ( i think thats his name) are Brasilian born but play for Portugual. Can you name others?",2010 FIFA World Cup(TM),Sports,http://answers.yahoo.com/question/index?qid=20100326185050AAds4vu,0
what is a troll on yahoo answrs?, ,Other - Yahoo! Products,Yahoo! Products,http://answers.yahoo.com/question/index?qid=20100328041407AAM5n6P,0
iPod Touch or Sony Walkman? Is the iPod Touch really that amazing?,"Okay well actually, I'm thinking about getting the ipod nano 8gb, ipod touch 8gb, or sony walkman E-340 8gb. ; ;Well Right now I have an ipod shuffle 1gb and I'm buying my songs from a music site, downloading them to itunes and then importing them into itunes and syncing them to the ipod. But Sometimes I can really hate itunes because, sometimes when I'm syncing the songs onto the ipod, itunes just deletes all the songs, WTF? It it's happened to me only like 5 times in the past 9 months I've had the ipod shuffle though, and it doesn't just happen to me, it also happens to some of my friends that have ipods and get their music from a different source from itunes also. So I'm kind of wondering if I should still ask for an ipod nano or itouch for my birthday coming in June. ; ;I don't really have a big music library, only 241 songs, but if I get a new music player I would want to put 2 movies on it which is why I'm thinking of getting an ipod because of it's easyness of transfer from buying the videos to putting them on the player. So basically I'm wondering if I should go with ipod or Sony. ; ;On Amazon, the players are... ; ;The Sony Walkman E-340 8gb-   $70 ;iPod Nano 8gb(5th gen. with Vid. Cam.)-   $126 ;iPod Touch 8gb(3rd Gen.)-   $172 ; ;I'm not really concerned with internet access, so Apps would be the only reason I would get the Touch. ; ;I really only want the iPod nano because of the FM radio with Tagging on it. ; ;I want the Sony Walkman because it's a good product that is cheap.",Music & Music Players,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100328080904AA8aXBq,1
HHH Doesnt Remember.?,Just now on raw hhh looked like he didnt know where he was. Im not saying this is wjat i think will happen but do you think an amnesia storyline would be stupid?,Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100329185223AAsQzaP,1
How can you tell if your dog has arthritis?, ,Infectious Diseases,Health,http://answers.yahoo.com/question/index?qid=20100330125008AAC3ipw,0
"What does ""she's a corpse"" mean?","what does it mean when someone refers to a girl as a corpse"" ?? And no",Words & Wordplay,Education & Reference,http://answers.yahoo.com/question/index?qid=20100402201735AAqd03c,0
Under which conditions would asexual plants have the greatest advantage over sexual plants?,"Under which conditions would asexual plants have the greatest advantage over sexual plants? ;a. an environment that varies on a regular, predictable basis ;b. an environment with irregular fluctuations of conditions  ;c. a relatively constant environment with infrequent disturbances ;d. a fire-maintained ecosystem  ;e. an environment with many seed predators  ; ;(thanks . . . . I was really stuck on this one)",Botany,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100406194940AAjQYyX,0
Media Go Movie Rental question?,"You can only keep a movie for 24 hours after the first playback, so I wondering if I change the PSP time will the 24 hour expiration time change?",Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20100410182716AAj5uYp,0
iM Confuse to Wether iM bi Or Gay.?,Lmao Sorry iM Using My iPhone For This,"Lesbian, Gay, Bisexual, and Transgendered",Society & Culture,http://answers.yahoo.com/question/index?qid=20100414091356AA7Blu2,1
ladies why do you hide your feelings for guys?!*****************?,i noticed girls always do this. Like this that liked me didnt even say anything to me and when i looked at her she wasnt even looking at me when i first met her. I was checking her out and she didnt even say anything and on the itnernet she told my friend im cute. Why do u ladies always do this ? girls are so complicated i can never tell when they are interested in me! lol any thoughts,Other - Beauty & Style,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100415201118AA18sk8,1
simplify this: 15^24 x 15^-12 x 15^6?,simplify this: 15^24 x 15^-12 x 15^6 ; ;cheers,Mathematics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100418014430AAmqMw3,0
migrate database to another computer?,"I have MS-SQL server 2008 running on my system (with management studio)... A local website uses this database.. I want to get it working on my laptop i.e. I want to do further coding of the website on my laptop , Suggest me wat to do... ;I am using Windows 7 ultimate.. Laptop has XP PRO sp2 ;SQL server 2008 and Visual Web developer express on pc... same is installed on Laptop..",Programming & Design,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100423211037AADjZf9,0
what should i do.. he cheated on me forever ago..?,"Just a couple days ago, my boyfriend of 9 months, told me that he cheated on me when we were going out at 2 months... He said he sext this girl. Just once. and he felt EXTREMELY bad for doing it and he never talked to that girl ever again. what should i do?",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100424170606AARjMhZ,1
Did Shakespeare usually make his menacing characters redheaded?,Im writing a paper about red heads and a source I got says that Shakespeare tended to make his menacing characters red headed. But I'm not sure if it's really true,Theater & Acting,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20100425184507AAsvdI3,0
where can i find a zebra tie?,"i need one for saturday, its tuesday today and i need to find one but i dont know where to look. there are some online but i dont think they'll ship in time. does anyone know where i can find one or if theres one online that would arrive in 2 business days?",Fashion & Accessories,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100427080142AA1Jy03,0
I have been dating this girl for about 5 weeks now.?,When is it a good time to ask her to be an official couple?  Things have been going great so far! :),Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100428063741AAVVD8Q,1
What is my -350 Eyeglass Prescription translate into a contact prescription?,"My last exam with a diff. Doctor prescribed me to -5.25 for contacts. This new doctor just did the Eyeglasses, and that number was -350; how would the -3.50 or -350 translate into a contact prescription?",Optical,Health,http://answers.yahoo.com/question/index?qid=20100501072823AAaPEt6,0
I got something to ask about the achievements on my XBOX 360?,How do I delete achievements from a game I don't own anymore and not going to buy again?,Xbox,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100502070600AAnTwBY,0
"Religiously speaking, should America keep strictly defining accepted gender roles?","I'm not saying we need to be -exactly- the same, but I am saying that some of us who don't clearly stick to our expected gender role can get hurt by this separation. ; ;For instance, I wasn't allowed to play with many toys because they were 'made for' the opposite gender, even though I grew up pursuing a field in which such enrichment activities with said toys would be vital. I am still trying to make up for the lack of skills such things would have taught me.",Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20100514092423AAGSLq0,1
what age should you recommend to wear foundation at?, ,Makeup,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100514130400AACS9wN,1
Nobody seems to care about my birthday :'|?,It probably sounds stupid to you but I can see how it is all going to pan out with me feeling unwanted isolated and uncared about and bam when I'm in tat frame of mind death is my only option. You have no idea what it's like to be depressed,Family,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100517162425AAa5jwB,1
"what do people mean when they say they have ""islands"" in their houses?","I had no idea what some of my friends were talking about, and I read it in a book too. Help me out here!",Other - Home & Garden,Home & Garden,http://answers.yahoo.com/question/index?qid=20100519115503AAmoDkm,1
The quasars with the largest presently known redshifts are close to?,The quasars with the largest presently known redshifts are close to  ; ;a. 65 ;b. 6 ;c. .96 ;d. 10 ;e. 3,Astronomy & Space,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100520172801AAIOCbF,0
how can i increase/improve my reflexes?, ,Other - Health,Health,http://answers.yahoo.com/question/index?qid=20100521154211AAdjaDW,0
Are there any cases of euthanasia in NZ?, ,Law & Ethics,Politics & Government,http://answers.yahoo.com/question/index?qid=20100523232243AAkb0NH,0
I am confused about my bridal make up - ambika pillai or lakme ?? or anyone else..?? plz advice..?, ,Makeup,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100524234931AAU0vbI,1
summer ONLINE jobs for teens?,"im 17 years old, i live away from the city and i'm into computers. Are there any possible online jobs for me? I mean, a legal online job. pls. provide a link for me. thanks! :D",Technology,Business & Finance,http://answers.yahoo.com/question/index?qid=20100602095016AA4YL1x,0
do woman like anal sex?,just if woman like to have anal sex,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100606005047AAk8X7A,1
Why is that that Black people don't smile when they get their picture taken.?,I notice this we were in line to get our prom picture taken and there were 3 black couples in front of us. And the photographer asked them to smile and they just didn't smile not even a grim. Why is that?,Other - Cultures & Groups,Society & Culture,http://answers.yahoo.com/question/index?qid=20100607201715AAOSSAK,1
filipino candy? not sure what its called?,my grandpop went to the philippines and came home with all kinds of candys. I fell in love with one and dont know what its called. It was like a long rod shaped like a pretzel stick and was filled with like a dried creamy white stuff. It wasnt pretzel though it was something else with like a saltine color. Any ideas anyone?,Ethnic Cuisine,Food & Drink,http://answers.yahoo.com/question/index?qid=20100608203955AAb36vI,0
help me determine what type of reaction this is (chemisty)?,tin reacts with chromic acid to form tin (iv) and hydro gas ;Sn+2H2CrO4-->Sn(crO4)2+2H ; ;help much appreciated!!,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100610201048AAfAEgz,0
are these signs my best guy friend likes me?,"me and my guy friend have been friends for 3 years now. ;we have become so close that we are bassicly like bestfriends. ;we tell eeachother everything and anything from who we are dating to the troubles we have in our lives to how we were as children. we spend hours on the phone just talking and making fun of eachother like best friends do. ;hes so special to me that i believe iv developed feelings for him. and i have been honest with him and  have told hm, but all he said was that he dont feel the same way. so i kinda gave up for a while untill he started kinda acting a little weird. he would out of no where start callin me babe and pet names like that.  ; ;he also gets really close to me. like he will stand side by side, and when he's laying down he'll rest his head on my leggs. but he'll only do it if i make it seem like im not paying attention or when he's on a ggood one after drinking. but whenever i make the 1st move and rest my leggs on his, he'll reject me and push them off. so he kinda confuses me. also he makes comments like wanna make out..."" and sometimes he adds ""..i was talking to james"" ( our other close friend). i kno he's hooking up with random girls",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100610225046AAXZAO8,1
Would It Be Bad To Drink Energy Coffee Drinks&&Monsters With Mood Stabilizer Medication?,"Mark - Heyy, be nice. If you're in High School, or even out, you should remember how tough cramming for finals is. You go kinda insane.",Mental Health,Health,http://answers.yahoo.com/question/index?qid=20100612233751AAqY1WW,0
What is normal body temp.? Is 99.2 F a fever?,"I've had my temperature rise From 99.1 to 99.2, 99.3, 99.4. Is this normal? My skin is really sensitive, too. (Under the tongue) ;and under my arm is was 95.5. ;This is all in Farenheit.",Infectious Diseases,Health,http://answers.yahoo.com/question/index?qid=20100615023259AAHp3cu,0
"Do I have to keep employee if he gives notice, California?", ,Corporations,Business & Finance,http://answers.yahoo.com/question/index?qid=20100615121445AAwUCrk,0
"Two backstabbing ""best"" friends....I need advice?","A friend of mine showed me a chat conversation between two of my other friends.  In this conversation they were talking about me being upset that they flaked on my boyfriend's birthday party.  The day after they flaked, I talked to Chris (one of the chatters) to ask why she didn't call and told me she wasn't coming, and I told her I was upset.  The conversation ended with her apologizing, even though I didn't ask for one.  So I thought everything was fine, and everyone was over it.  Well Samantha shows me this conversation (not much of a friend either I guess) and its Chris and Kelly tearing me to shreads.  They called me manipulative, disgusting, pathetic, how I always play the victim, fake, on and on and on....  Funny they say all this because I'm the least emotional and I'm not really a gossipper.  I hate lying and make sure I don't!    These girls are supposed to be my two best friends.  I know those are some pretty generic things to say about whomever you hate, but I'm really not fake.  I've never lied to them, I've always been there for them.  Unlike them, I don't slather on makeup, have fake hair extensions, or gossip about my friends like they did.  I know what they said is not true, but it really hurts me.  If they really meant it, why would they say something that's not true.  I'm trying to be a strong, but this really upsets me.  Nothing like this has ever happened to me. I need some advice....",Friends,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100615155847AAKuKCT,1
A square with a side of 10 is increased to a side of 12. By how much is the diagonal increased?,A square with a side of 10 is increased to a side of 12. By how much is the diagonal increased?,Mathematics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100624154857AAdGYyF,0
Starhub d-link router dcm-604?,"Has anyone taken the d-link dcm-604 router from starhub? ;I having big problem with this suck router, it slow down my internet speed. ;Just want to know if you all got a same problem? ;What can I do ? since I feel being cheated by Starhub now.",Computer Networking,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100626225311AAb1q03,1
how do you put a movie that is an avi file in sony vegas 9?,i'm trying to make a twilight music video and i have the movies on my computer the problem is i don't know how to put them in sony vegas 9. help!,Software,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100628113453AAMiqtQ,0
Acid and bases clarification..?,I read about strong acids being the way they are because they can stabilize their conjugate base. What does that exactly mean though? Thank you.,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100629224431AA5xj2E,0
What speed of reflexes in milliseconds would be superhuman?,I avg 180 to 70 ms,Biology,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100702200400AA5nZKp,1
can psychics see there future to?,"i never thought about it really, but if you are a psychics can you see your own future?",Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20100703192950AAq1azD,0
Presidential library?,Which US president first started building presidential library,Homework Help,Education & Reference,http://answers.yahoo.com/question/index?qid=20100704192621AAe2IDa,0
Guys - When will this guy call me?,So I met this very nice guy on the 4th and he seemed to really like me.  He asked if I would like to go out for dinner.  He has my phone number but I haven't heard from him yet.  When should I expect to hear from him?  He's in the military and is stationed in the middle east and only in town until the 14th attending a conference.  So I'm thinking if he wanted to hang out it would be soon...so he can hang out with me as much as possible before he leaves.  He's out of the military in a year and was already offered a job here at a law firm.  Is it weird that he hasn't even texted me yet?  He's so cute and I so badly want to hear from him :),Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100706122938AAE2DcU,1
