,Title,Description,Category,Top,URL,Label
12,как я могу убедить свою маму?, ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091114202242AA2EbcV,1
13,Брюки Forever21 подходят по размеру?, ,Fashion & Accessories,Beauty & Style,http://answers.yahoo.com/question/index?qid=20091115155651AAxAqZP,1
14,Тейлор Лотнер Против. Райан Рейнольдс?, ,Celebrities,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20091122120303AAjstmR,1
15,У нас с мужем был небезопасный секс за ночь до моих месячных. на следующий день у меня начались месячные. это все еще безопасно.?, ,Women's Health,Health,http://answers.yahoo.com/question/index?qid=20091201194137AAJXRDb,0
16,Какой самый дешевый и лучший радиосканер на рынке?, ,Other - Electronics,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20091203165450AArlA9V,0
17,"Что происходит, когда кто-то потребляет слишком много клетчатки в своем организме?", ,Diet & Fitness,Health,http://answers.yahoo.com/question/index?qid=20091212133101AAJnSPq,0
18,"Текстовые сообщения, которые я отправил со своего мобильного, загружаться не будут. Это проблема с настройками?", ,Attachments & Photos,Yahoo! Products,http://answers.yahoo.com/question/index?qid=20091213065847AAjDtLX,0
19,рассматривался ли Малкольм Икс в качестве лидера движения за гражданские права? почему?, ,History,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20091213121727AAHyA5m,0
20,"Этот парень только что пригласил меня на свидание, но он только что расстался с моей лучшей подругой: С?", ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091216180444AAwO5Gh,1
21,"Почему K2O2 возможен, а KO - нет с точки зрения атомной структуры? (10 баллов)?", ,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20091216190110AAe7UDy,0
22,Как Мне привести Себя В Лучшую Форму?, ,Diet & Fitness,Health,http://answers.yahoo.com/question/index?qid=20091219122847AAXQP1U,1
23,"На самом деле я все еще беременна, но я хочу большую семью легко ли снова сразу забеременеть?", ,Trying to Conceive,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20091220144515AAR33x7,0
24,"Мы женаты, влюблены, но живем отдельно?", ,Marriage & Divorce,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091221213850AAuK5WP,1
25,Эпическое начало Нового года Помогите!?, ,Friends,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091231195437AA4nh9a,1
26,"Для всех, кто умеет делать сальто назад?","ладно, я действительно хочу научиться делать сальто назад, но мне нужно, чтобы кто-нибудь заметил меня. Должен ли человек, который замечает меня, быть выше или он может быть одного роста со мной?",Martial Arts,Sports,http://answers.yahoo.com/question/index?qid=20100104215008AAFP6WC,0
27,Нора Кэтрин или Рейган Ли?,"Выбери свое любимое имя! Ни то, ни другое не является ответом, и, пожалуйста, никаких смешиваний и сопоставлений! Победитель пройдет в 6-й раунд. ; ; Я видел их много в последнее время, так что я подумал, что сделал бы один! ; ; Рейган - это Саид Рэй-джин. ; ;* Я публикую это снова, потому что в прошлый раз на это было не так много ответов.",Baby Names,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20100107154425AAvplDq,1
28,Опрос секции борьбы: Какой рукой ты вытираешь свою задницу?, ,Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100108191034AAxOM2T,1
29,"Кто-нибудь может мне помочь с тем, сколько времени потребуется, чтобы добраться до Марса?","Это потому, что Марс движется, и нам пришлось бы гоняться за ним???",Astronomy & Space,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100112175701AAacSVO,0
30,Почему так много жителей Нью-Йорка стекаются к проповеднику евангельских христиан Тиму Келлеру?,"Евангельский христианский проповедник говорит, что светская святая троица денег, амбиций и достижений является корнем всего зла: ; ;http://nymag.com/news/features/62374 / ; ;*ухмылка* ; ;Это мой последний вопрос на сегодня. Я чуть не умер со смеху, когда прочитал эту статью. О, и он даже черпает свою теологию из ветхозаветных (читай: еврейских) писаний :)",Politics,Politics & Government,http://answers.yahoo.com/question/index?qid=20100113191841AALjVRA,1
31,Какое давление воздуха требуется для моих спущенных шин. У меня есть Lexus SC-430 2007 года выпуска?, ,Lexus,Cars & Transportation,http://answers.yahoo.com/question/index?qid=20100118163628AAuaDwb,0
32,"Правда ли, что молодые мужчины очень редко воспринимают пожилых женщин всерьез?","Имеет ли значение какая-либо разница в возрасте или определенная величина разницы в возрасте?  Мне под тридцать, и иногда я все еще нахожу интересными парней, которые на 1-5 лет моложе.  Они часто флиртуют со мной, но мне также говорят, что я выгляжу на 21-22.  Неужели парень, который изначально привлекателен, потеряет интерес, как только узнает мой возраст, только потому, что я старше?",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100119142013AAAa1U5,1
33,что было бы плохой причиной для революции?,"я думаю, я знаю, о чем вы говорите, второй ответ. спасибо, я думал слишком о малом, я попытаюсь придумать более масштабный ответ, большое спасибо, что вы подали мне идею!",Homework Help,Education & Reference,http://answers.yahoo.com/question/index?qid=20100121132740AAuszQe,1
34,какое отношение американский вице-президент имеет к слову набоб или как-то ассоциируется с ним?,"пожалуйста, помогите. набоб - любой очень богатый, влиятельный или могущественный человек.  ;Также, наваб. человек, особенно. европеец, сколотивший большое состояние в Индии или другой стране Востока.",Other - Society & Culture,Society & Culture,http://answers.yahoo.com/question/index?qid=20100121164749AAK2SLI,0
35,есть ли у кого-нибудь на xbox live девушка?,я не буду принимать запросы от лиц старше 18 лет,Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20100122131000AAWvRZI,1
36,"Ты знаешь каких-нибудь парней, у которых нет проблем с тем, чтобы завести подружек?", ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100127121211AAsWHDf,1
37,"Если вы смотрите девушке в глаза более 2 секунд, означает ли это, что вы ей нравитесь?","Что это значит, если ты видишь, что девушка смотрит на тебя и. Затем вы на несколько секунд смотрите друг другу в глаза, а затем отводите взгляд. Ты ей нравишься?  ; Кстати, я никогда раньше с ней не разговаривал, но я знаю, кто она, и она знает, кто я",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100127185345AAM11ic,1
38,"Является ли ""рецепт катастрофы"" метафорой?", ,Words & Wordplay,Education & Reference,http://answers.yahoo.com/question/index?qid=20100129105952AAn18mI,0
39,Сильный Страх Задохнуться?,"Иногда, на самом деле очень часто, у меня возникает такой сильный страх, что я сейчас задохнусь. Будь то еда, питье, даже дыхание, у меня просто сильный страх, что я задохнусь. Например, когда я глотаю, я думаю: ""О боже, что, если это застрянет у меня в горле, и я не смогу дышать!"" Это действительно странно. Страх также возникает, когда я нахожусь у дантиста и когда я собираюсь читать на уроке или что-то в этом роде... вот когда становится ПО-НАСТОЯЩЕМУ плохо, и я действительно думаю, что у меня случится сердечный приступ, потому что я так напугана. ; ; Могу ли я что-нибудь сделать, чтобы это остановить? :(",Respiratory Diseases,Health,http://answers.yahoo.com/question/index?qid=20100203131909AAg83ke,0
40,"Что некоторые из присутствующих здесь христиан думают о фильме ""Легион""?", ,Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20100206095708AAw5MFR,1
41,"Я смотрел Road Fools по Fuel Tv, и я хочу знать название этой песни....?","Итак, я смотрел Road Fools, и там играла эта группа, и в песне, по-моему, говорилось что-то о прекрасном ребенке?  Тоже красивый голос? Это был эпизод с чуваком в костюме банана.",Other - Music,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20100209160234AAnfMcI,0
42,Мне Нужно Несколько Хороших Книг Для Девочки-Подростка?,"Я девочка-подросток, и в понедельник я собираюсь покупать новые книги. Я действительно не знаю, что взять. Некоторые из моих любимых книг / серий: ;Милые маленькие лгуньи; Гарри Поттер; Дневники принцессы; Анна из Зеленых мезонинов; Клика; Последний ученик ; ; Так что, на самом деле, у меня нет любимого жанра книг. Я склонен не любить большую часть научной фантастики, ужасов и немного мистики, поэтому, пожалуйста, не предлагайте эти типы. Я тоже хочу художественную литературу, так что, пожалуйста, только романы. Мне нравятся книги с юмором, романтические романы, фэнтези и историческая фантастика, поэтому я открыт для этих вариантов.  ; Любые ответы действительно ценятся. Заранее спасибо (: ; ;p.s. не рекомендую Twilight. Я прочитал это, и мне понравилось, но это не мое любимое.",Books & Authors,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20100211115729AAslRAp,1
43,Могу ли я запустить ICS на своем компьютере и беспроводном маршрутизаторе одновременно?,"У меня есть xbox 360, я не хочу покупать беспроводной адаптер, поэтому мне нужно подключить его через. Локальная сеть",Computer Networking,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100212163333AAxpDzv,0
44,"Каков рН 0,05 молярного раствора HCl?", ,Chemistry,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100217081848AA0f741,0
45,Как увеличить грудь?, ,Women's Health,Health,http://answers.yahoo.com/question/index?qid=20100218083603AAgaOIy,0
46,Опыт работы в хостеле в Великобритании?? предпочтительно Лондон.. (+живете в)?,"привет, я планирую приехать в Великобританию на работу этим летом.. и работа в хостелах - интересный выбор, так как вы получаете там жилье для... итак, сколько вы зарабатываете? ты ведь зарабатываешь, верно? это не просто работа в обмен на постель.. а как насчет людей и т.д.? тебе это понравилось?",London,Local Businesses,http://answers.yahoo.com/question/index?qid=20100223050642AAxNcE1,1
47,Как я могу набрать больше веса во время беременности?,"Я от природы худощавый человек, и сейчас у меня 18 недель, и я спросила своего врача, почему у меня ничего не проявляется, и она сказала мне, что это нормально и что у меня будет гораздо больше признаков, когда я буду примерно на 6,7,8 и / или 9 месяце беременности, но я хочу знать, что я могу сделать, чтобы набрать больше веса не употребляя неправильных продуктов.",Pregnancy,Pregnancy & Parenting,http://answers.yahoo.com/question/index?qid=20100226130352AArwNUN,0
48,"сколькими способами вы можете составить число десять?? например, 1 прибавить 9 = 10 и т.д.?",сколькими различными способами в арифметике вы можете составить число 10???,Mathematics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100301083521AAQ4l9I,0
49,call of duty modern warfare 2 (xbox 360)?,"я отправил по электронной почте миллион писем в infinity ward, спрашивая их, планируют ли они устранить проблему с тактической вставкой, увеличивающей дыры, и есть ли у них будущее дополнение, и когда и что, но они не ответили. есть ли у кого-нибудь здесь сайт, который сообщит мне эту информацию или как я могу получи это",Xbox,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100302003656AABbcAi,0
50,Действительно ли он хочет быть просто друзьями?,"Привет, у меня никогда раньше не было парня и я не занималась сексом, я целовалась и занималась кое-чем другим, но на этом все. ; Проблема в том, что я не был таким, как мои друзья, когда им было 16, они просто спали с кем попало ради потери девственности, мне эта идея не нравилась. ;Я редко нахожу ребят мне очень нравится и когда я сделаю это, они либо не нравится мне, или я ничего не скажу о душе их, у меня было довольно много парней пригласить меня на свидание/показать интерес, но я не чувствую то же самое и мне всегда кажется, что бы не быть правильный путь для меня. ;недавнее событие, парень, который мне нравился на работе (который я думаю, что это немного-плеер), он предложил мне остаться, я так и сделал, и мы закончили тем, что целовались и т. д., На самом деле он двигался так быстро, что он был довольно сильно готов надеть презерватив, раньше я думал, если я сохранила свою девственность секрет, это не важно, но потом я подумал о той боли, которую, как ему казалось, довольно грубо/движется быстро, так что я сказал ему, прежде чем он что-то сделал ;Я был удивлен, что он отнесся как он это сделал, он сказал, что он не хотел быть придурком, взяв мою девственность, и в итоге мы просто целовались и все такое, а не всю ночь, он пригласил меня на одной точке, если бы я хотел, чтобы он дальше, но я сказал, что чувствуется какая-то дрянь, так что нам не идти дальше ;но этот парень был таким милым со мной после, он сказал, что мы можем просто обниматься всю ночь, он сказал, что любит меня, но не ищу отношений, он также заметил, что я продолжал смотреть в сад, и продолжал, убедившись, что я был в порядке, поцелуи и объятия мне и просишь меня, чтобы улыбнуться, и пытается убедить меня, что я спокойный человек и что я должен прекратить нести чушь о себе. ;Теперь он мне нравится еще больше, потому что он доказал, что, хотя он может быть немного игроком, он тоже может быть милым и заботливым, и я не просто воспользовался этим, я застрял в колее :( ; Я чувствую себя параноиком, когда вижу его на работе, я беспокоюсь, что он взбешен, но он сказал мне, что я был параноиком и отправил мне сообщение онлайн, в котором говорилось, что мне нужно расслабиться и позволить всему течь своим чередом "" Я не знаю, что он имел в виду под этим! жизнь в целом?? или мы друзья/ больше, чем друзья? что вы думаете? ;ИЗВИНИ, что это так долго, лол""",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100305083252AABB6bN,1
51,Опасны ли маленькие серые змеи?,"Сегодня я видел маленькую серую змею у себя дома.  Мне страшно.  Я полагаю, что это могло проникнуть через мое раздвижное стеклянное окно.  Это садовая змея?",Zoology,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100309181416AAetlJg,0
52,Как разряжаются изоляторы?,"я имею в виду, может ли плата оставаться на страхователе вечно? ; Если бы пластиковая ручка ножа была заряжена и оставлена на столе, оставалась бы она заряженной, если бы на нее не воздействовали",Physics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100311035448AAjsxvw,0
53,"Калифорнийский университет в Лос-Анджелесе или Беркли? idk, который лучше?","ладно, я учусь в старшей школе и скоро подам заявление в колледж. ; мой взвешенный средний балл составляет 4,18 (взвешенный) 3,79 (невзвешенный). ; К тому времени, когда я подам заявление в колледж, я закончу курсы 7/ APs и IB. не считая моего выпускного года. я была в группе поддержки в течение 2 лет. 200 часов общественных работ. я также состою в ASB. примерно в 5 разных клубах. и я в академической команде по десятиборью. плюс я участвую в программе IB в моей школе. плюс, я мексиканец. я собираюсь подать заявление в колледж на неопределившуюся специальность. ; что для меня лучше? Калифорнийский университет в Лос-Анджелесе или Беркли?",Other - Education,Education & Reference,http://answers.yahoo.com/question/index?qid=20100320214429AAlwUeA,1
54,Кто-нибудь еще в восторге от CM Punk vs. Рей Мистерио?,"Я с нетерпением жду этого матча на Wrestle Mania, потому что из-за проигрыша Рея он должен присоединиться к CM Punk, ; ;Я действительно надеюсь, что Рей проиграет этот матч, потому что, если он проиграет CM Punk, могут произойти три вещи, ; ;1. Рей Мистерио разоблачит маску ; ;2. Рей Мистерио может получить свое имя изменено CM Punk после того, как Рей разоблачен ; ;3. Рей Мистерио больше не будет носить свою старую борцовскую одежду, и он может выглядеть как мексиканский свидетель Иеговы ; ; Но, к сожалению, глупая компания WWE с рейтингом PG позволит Рею победить, потому что личность Рея Мистерио слишком сильно поддерживается маленькими детьми, ; ; Итак, мой вопрос в том, как вы думаете, произойдут ли эти три вещи, если Рей проиграет Панку в Mania?",Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100321101919AA0YAWN,1
55,"Как так получилось, что от глупого дерьма я становлюсь мокрой в эти дни?","Например, я читал здесь вопрос о том, как парни похлопывают друг друга по заднице в спорте в качестве поощрения... и я почувствовал себя...ты знаешь. ; Это даже отдаленно не сексуально. Это просто способ подбодрить.",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100321150309AAZFnGs,1
56,"есть ли вероятность, что в апреле в Питтсбурге выпадет снег?", ,Other - United States,Travel,http://answers.yahoo.com/question/index?qid=20100322073621AAPHO2Y,0
57,Ты знаешь дорогу на улицу Сезам?,На улице идет дождь,Politics,Politics & Government,http://answers.yahoo.com/question/index?qid=20100326064209AAI7BSV,1
58,"Каковы правила игры в ""вашей"" национальной команде?","Это так, вы должны родиться в этой стране, чтобы играть за их национальную сборную. Или, может быть, ваши родители родились в этой стране, чтобы вы играли за их национальную сборную? ; ;Я знаю Деко, Эубезио (кажется, так его зовут) родом из Бразилии, но играет за Португалию. Можете ли вы назвать других?",2010 FIFA World Cup(TM),Sports,http://answers.yahoo.com/question/index?qid=20100326185050AAds4vu,0
59,что такое тролль на yahoo answers?, ,Other - Yahoo! Products,Yahoo! Products,http://answers.yahoo.com/question/index?qid=20100328041407AAM5n6P,0
60,iPod Touch или Sony Walkman? Действительно ли iPod Touch настолько удивителен?,"Ладно, вообще-то, я подумываю о приобретении ipod nano 8gb, ipod touch 8gb или sony walkman E-340 8gb. ; ; Ну, прямо сейчас у меня есть ipod shuffle 1gb, и я покупаю свои песни с музыкального сайта, загружаю их в itunes, а затем импортирую в itunes и синхронизирую их на ipod. Но иногда я действительно могу ненавидеть itunes, потому что иногда, когда я синхронизирую песни с ipod, itunes просто удаляет все песни, WTF? Это случилось со мной всего 5 раз за последние 9 месяцев, хотя у меня был ipod shuffle, и это случается не только со мной, это также случается с некоторыми из моих друзей, у которых есть ipod, и они также получают свою музыку из другого источника, из itunes. Так что я вроде как раздумываю, стоит ли мне все-таки попросить ipod nano или itouch на мой день рождения, который состоится в июне. ; ; На самом деле у меня не очень большая музыкальная библиотека, всего 241 песня, но если я получу новый музыкальный плеер, я бы хотел поставить на него 2 фильма, вот почему Я подумываю о приобретении ipod из-за простоты перехода от покупки видео к установке их на проигрыватель. Итак, в принципе, я задаюсь вопросом, стоит ли мне выбрать ipod или Sony. ; ; На Amazon плееры стоят ... ; ; Sony Walkman E-340 8gb- 70 долларов ; iPod Nano 8gb (5-го поколения. с видеозаписью. Cam.) - 126 долларов; iPod Touch 8gb (3-го поколения) - 172 доллара ; ; На самом деле меня не волнует доступ в Интернет, поэтому приложения были бы единственной причиной, по которой я мог бы получить Touch. ; ; Я действительно хочу iPod nano только из-за FM-радио с пометкой на нем. ; ; Я хочу Sony Walkman, потому что это хороший продукт, который стоит дешево.",Music & Music Players,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100328080904AA8aXBq,1
61,ХХХХ Не помнит.?,"Только что на raw hhh выглядел так, словно не знал, где находится. Я не говорю, что это то, что, по моему мнению, произойдет, но вы думаете, что сюжетная линия с амнезией была бы глупой?",Wrestling,Sports,http://answers.yahoo.com/question/index?qid=20100329185223AAsQzaP,1
62,"Как вы можете определить, есть ли у вашей собаки артрит?", ,Infectious Diseases,Health,http://answers.yahoo.com/question/index?qid=20100330125008AAC3ipw,0
63,"Что значит ""она труп""?","что это значит, когда кто-то называет девушку ""трупом""?? И нет",Words & Wordplay,Education & Reference,http://answers.yahoo.com/question/index?qid=20100402201735AAqd03c,0
64,При каких условиях бесполые растения имели бы наибольшее преимущество перед половыми растениями?,"При каких условиях бесполые растения имели бы наибольшее преимущество перед половыми растениями?; a. среда, которая меняется на регулярной, предсказуемой основе; b. среда с нерегулярными колебаниями условий; c. относительно постоянная среда с редкими нарушениями; d. экосистема, поддерживаемая огнем; e. окружающая среда со многими семенными хищниками ; ; (спасибо . . . . Я действительно застрял на этом)",Botany,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100406194940AAjQYyX,0
65,Вопрос о прокате фильма Media Go?,"Вы можете сохранить фильм только в течение 24 часов после первого воспроизведения, поэтому мне интересно, если я изменю время PSP, изменится ли 24-часовое время истечения срока действия?",Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20100410182716AAj5uYp,0
66,"Я путаю, би я или Гей.?","Ржунимагу, Извините, я использую свой iPhone для этого","Lesbian, Gay, Bisexual, and Transgendered",Society & Culture,http://answers.yahoo.com/question/index?qid=20100414091356AA7Blu2,1
67,"дамы, почему вы скрываете свои чувства к парням?!*****************?","я заметил, что девушки всегда так делают. Как эта, которой я понравился, даже ничего мне не сказала, и когда я посмотрел на нее, она даже не смотрела на меня, когда я впервые встретил ее. Я проверял ее, и она даже ничего не сказала, а в Интернете она сказала моей подруге, что я симпатичная. Почему вы, дамы, всегда так поступаете? девушки такие сложные, что я никогда не могу сказать, когда я им интересен! лол, есть какие-нибудь мысли",Other - Beauty & Style,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100415201118AA18sk8,1
68,упростим это: 15 ^ 24 x 15^-12 x 15^ 6?,упростим это: 15 ^ 24 x 15 ^-12 x 15 ^ 6 ; ;ура,Mathematics,Science & Mathematics,http://answers.yahoo.com/question/index?qid=20100418014430AAmqMw3,0
69,перенести базу данных на другой компьютер?,"В моей системе запущен MS-SQL server 2008 (с management studio)... Местный веб-сайт использует эту базу данных.. Я хочу заставить это работать на моем ноутбуке, т.е. я хочу продолжить кодирование веб-сайта на моем ноутбуке, предложите мне, что делать... ; Я использую Windows 7 ultimate.. Ноутбук имеет XP PRO sp2; SQL server 2008 и Visual Web developer express на ПК ... то же самое установлено на ноутбуке..",Programming & Design,Computers & Internet,http://answers.yahoo.com/question/index?qid=20100423211037AADjZf9,0
70,что мне делать.. он изменил мне целую вечность назад..?,"Всего пару дней назад мой 9-месячный парень сказал мне, что он изменил мне, когда мы встречались в 2 месяца... Он сказал, что занимается сексом с этой девушкой. Только один раз. и ему было очень стыдно за то, что он это сделал, и он больше никогда не разговаривал с этой девушкой. что я должен делать?",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100424170606AARjMhZ,1
71,Обычно ли Шекспир делал своих грозных персонажей рыжеволосыми?,"Я пишу статью о рыжих головах, и источник, который я получил, говорит, что Шекспир имел тенденцию делать своих грозных персонажей рыжеволосыми. Но я не уверен, действительно ли это правда",Theater & Acting,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20100425184507AAsvdI3,0
72,"где я могу найти галстук в стиле ""зебра""?","мне нужен один на субботу, сегодня вторник, и мне нужно его найти, но я не знаю, где искать. некоторые есть в Интернете, но я не думаю, что они будут отправлены вовремя. кто-нибудь знает, где я могу его найти или есть ли он в Интернете, который прибудет через 2 рабочих дня?",Fashion & Accessories,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100427080142AA1Jy03,0
73,Я встречаюсь с этой девушкой уже около 5 недель.?,Когда самое подходящее время попросить ее стать официальной парой?  До сих пор все шло отлично! :),Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100428063741AAVVD8Q,1
74,Как переводится мой рецепт на очки стоимостью 350 долларов в рецепт на контактные линзы?,"Мой последний экзамен с отличием. Доктор прописал мне -5,25 для контактных линз. Этот новый врач только что сделал очки, и это число было -350; как бы -3.50 или -350 переводились на рецепт для контактных линз?",Optical,Health,http://answers.yahoo.com/question/index?qid=20100501072823AAaPEt6,0
75,Я хочу кое-что спросить о достижениях на моем XBOX 360?,"Как мне удалить достижения из игры, которой я больше не владею и которую не собираюсь покупать снова?",Xbox,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20100502070600AAnTwBY,0
76,"С религиозной точки зрения, должна ли Америка продолжать строго определять принятые гендерные роли?","Я не говорю, что мы должны быть абсолютно одинаковыми, но я говорю, что некоторые из нас, которые явно не придерживаются ожидаемой гендерной роли, могут пострадать от такого разделения. ; ; Например, мне не разрешали играть со многими игрушками, потому что они были ""созданы для"" противоположного пола, даже несмотря на то, что я вырос в области, в которой такие обогащающие занятия с упомянутыми игрушками были бы жизненно важны. Я все еще пытаюсь восполнить недостаток навыков, которым меня могли бы научить такие вещи.",Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20100514092423AAGSLq0,1
77,в каком возрасте вы рекомендуете наносить тональный крем?, ,Makeup,Beauty & Style,http://answers.yahoo.com/question/index?qid=20100514130400AACS9wN,1
78,"Кажется, никого не волнует мой день рождения :'|?","Возможно, для вас это звучит глупо, но я вижу, как все это обернется тем, что я буду чувствовать себя нежеланным, изолированным и безразличным, и бац, когда я в таком настроении, смерть - мой единственный выход. Ты понятия не имеешь, каково это - быть в депрессии",Family,Family & Relationships,http://answers.yahoo.com/question/index?qid=20100517162425AAa5jwB,1
79,"что люди имеют в виду, когда говорят, что у них в домах есть ""острова""?","Я понятия не имел, о чем говорили некоторые из моих друзей, и я тоже прочитал об этом в книге. Помоги мне здесь!",Other - Home & Garden,Home & Garden,http://answers.yahoo.com/question/index?qid=20100519115503AAmoDkm,1
