en,ru
How Do I Get In Better Shape ?,Как Мне привести Себя В Лучшую Форму?
"I'm actually still pregnant, but I want a big family is it easy to get pregnant right away again?","На самом деле я все еще беременна, но я хочу большую семью легко ли снова сразу забеременеть?"
"We are married, in love, but living separately?","Мы женаты, влюблены, но живем отдельно?"
Epic start to the New Year Help!?,Эпическое начало Нового года Помогите!?
For anyone who can backflip?,"Для всех, кто умеет делать сальто назад?"
Nora Katherine or Reagan Leah?,Нора Кэтрин или Рейган Ли?
Wrestling Section poll: Which hand do you wipe your ass with?,Опрос секции борьбы: Какой рукой ты вытираешь свою задницу?
Can someone help me with how long will it'll take to get to mars?,"Кто-нибудь может мне помочь с тем, сколько времени потребуется, чтобы добраться до Марса?"
Why Are So Many New Yorkers Flocking to Evangelical Christian Preacher Tim Keller?,Почему так много жителей Нью-Йорка стекаются к проповеднику евангельских христиан Тиму Келлеру?
How much air pressure is required for my run-flat tires. I have a 2007 Lexus SC-430?,Какое давление воздуха требуется для моих спущенных шин. У меня есть Lexus SC-430 2007 года выпуска?
Is it true that younger men very seldomly take older women seriously?,"Правда ли, что молодые мужчины очень редко воспринимают пожилых женщин всерьез?"
what would be a bad reason for revolution?,что было бы плохой причиной для революции?
what american vice president has to do with or is somehow associated with the word nabob?,какое отношение американский вице-президент имеет к слову набоб или как-то ассоциируется с ним?
any one on xbox live a girl?,есть ли у кого-нибудь на xbox live девушка?
Do you know any guys that have no problem getting girlfriends ?,"Ты знаешь каких-нибудь парней, у которых нет проблем с тем, чтобы завести подружек?"
If you have eye contact for more than 2 seconds with a girl does that mean she likes you?,"Если вы смотрите девушке в глаза более 2 секунд, означает ли это, что вы ей нравитесь?"
"Is ""a recipe for disaster"" a metaphor?","Является ли ""рецепт катастрофы"" метафорой?"
Extreme Fear Of Choking?,Сильный Страх Задохнуться?
"What do some of the christians on here think about the movie ""Legion""?","Что некоторые из присутствующих здесь христиан думают о фильме ""Легион""?"
I was watching Road Fools on  Fuel Tv and I want to know the  name of this song....?,"Я смотрел Road Fools по Fuel Tv, и я хочу знать название этой песни....?"
I Need Some Good Books For A Teen Girl?,Мне Нужно Несколько Хороших Книг Для Девочки-Подростка?
Can I run an ICS on my computer  and a wireless router at the same  time?,Могу ли я запустить ICS на своем компьютере и беспроводном маршрутизаторе одновременно?
What is the pH of a .05 Molar HCl solution?,"Каков рН 0,05 молярного раствора HCl?"
How to get bigger breasts ?,Как увеличить грудь?
Experience with working in a hostel in UK?? preferably London.. (+live in)?,Опыт работы в хостеле в Великобритании?? предпочтительно Лондон.. (+живете в)?
How can I gain more weight during my pregnancy?,Как я могу набрать больше веса во время беременности?
how many ways can you make the number ten?? e.g 1 add 9 =10 ect?,"сколькими способами вы можете составить число десять?? например, 1 прибавить 9 = 10 и т.д.?"
call of duty modern warfare 2 (xbox 360)?,call of duty modern warfare 2 (xbox 360)?
Does he really want to be just friends?,Действительно ли он хочет быть просто друзьями?
Are small gray snakes dangerous?,Опасны ли маленькие серые змеи?
How do insulators discharge?,Как разряжаются изоляторы?
UCLA or Berkeley? idk which is better?,"Калифорнийский университет в Лос-Анджелесе или Беркли? idk, который лучше?"
Anyone else excited about CM Punk vs. Rey Mysterio?,Кто-нибудь еще в восторге от CM Punk vs. Рей Мистерио?
How come stupid crap makes me wet these days?,"Как так получилось, что от глупого дерьма я становлюсь мокрой в эти дни?"
is there a posibility that snow will fall on april in pittsburgh?,"есть ли вероятность, что в апреле в Питтсбурге выпадет снег?"
Do you know the way to sesame street?,Ты знаешь дорогу на улицу Сезам?
"What are the rules for playing on ""your"" National Team?","Каковы правила игры в ""вашей"" национальной команде?"
what is a troll on yahoo answrs?,что такое тролль на yahoo answers?
iPod Touch or Sony Walkman? Is the iPod Touch really that amazing?,iPod Touch или Sony Walkman? Действительно ли iPod Touch настолько удивителен?
HHH Doesnt Remember.?,ХХХХ Не помнит.?
How can you tell if your dog has arthritis?,"Как вы можете определить, есть ли у вашей собаки артрит?"
"What does ""she's a corpse"" mean?","Что значит ""она труп""?"
Under which conditions would asexual plants have the greatest advantage over sexual plants?,При каких условиях бесполые растения имели бы наибольшее преимущество перед половыми растениями?
Media Go Movie Rental question?,Вопрос о прокате фильма Media Go?
iM Confuse to Wether iM bi Or Gay.?,"Я путаю, би я или Гей.?"
ladies why do you hide your feelings for guys?!*****************?,"дамы, почему вы скрываете свои чувства к парням?!*****************?"
simplify this: 15^24 x 15^-12 x 15^6?,упростим это: 15 ^ 24 x 15^-12 x 15^ 6?
migrate database to another computer?,перенести базу данных на другой компьютер?
what should i do.. he cheated on me forever ago..?,что мне делать.. он изменил мне целую вечность назад..?
Did Shakespeare usually make his menacing characters redheaded?,Обычно ли Шекспир делал своих грозных персонажей рыжеволосыми?
where can i find a zebra tie?,"где я могу найти галстук в стиле ""зебра""?"
I have been dating this girl for about 5 weeks now.?,Я встречаюсь с этой девушкой уже около 5 недель.?
What is my -350 Eyeglass Prescription translate into a contact prescription?,Как переводится мой рецепт на очки стоимостью 350 долларов в рецепт на контактные линзы?
I got something to ask about the achievements on my XBOX 360?,Я хочу кое-что спросить о достижениях на моем XBOX 360?
"Religiously speaking, should America keep strictly defining accepted gender roles?","С религиозной точки зрения, должна ли Америка продолжать строго определять принятые гендерные роли?"
what age should you recommend to wear foundation at?,в каком возрасте вы рекомендуете наносить тональный крем?
Nobody seems to care about my birthday :'|?,"Кажется, никого не волнует мой день рождения :'|?"
"what do people mean when they say they have ""islands"" in their houses?","что люди имеют в виду, когда говорят, что у них в домах есть ""острова""?"
The quasars with the largest presently known redshifts are close to?,Квазары с наибольшими известными в настоящее время красными смещениями близки к?
how can i increase/improve my reflexes?,как я могу увеличить / улучшить свои рефлексы?
Are there any cases of euthanasia in NZ?,Есть ли какие-либо случаи эвтаназии в Новой Зеландии?
I am confused about my bridal make up - ambika pillai or lakme ?? or anyone else..?? plz advice..?,Я в замешательстве по поводу моего свадебного макияжа - амбика пиллаи или лакме?? или кто-нибудь еще..?? совет плз..?
summer ONLINE jobs for teens?,летние ОНЛАЙН-вакансии для подростков?
do woman like anal sex?,нравится ли женщине анальный секс?
Why is that that Black people don't smile when they get their picture taken.?,"Почему чернокожие люди не улыбаются, когда их фотографируют??"
filipino candy? not sure what its called?,"филиппинские конфеты? не уверен, как это называется?"
help me determine what type of reaction this is (chemisty)?,"помогите мне определить, что это за реакция (химическая)?"
are these signs my best guy friend likes me?,"это признаки того, что я нравлюсь моему лучшему другу-парню?"
Would It Be Bad To Drink Energy Coffee Drinks&&Monsters With Mood Stabilizer Medication?,"Было бы Плохо Пить Энергетические Кофейные напитки и & Amp; Монстры С лекарствами, стабилизирующими настроение?"
What is normal body temp.? Is 99.2 F a fever?,"Какова нормальная температура тела? 99,2 градуса по Фаренгейту - это лихорадка?"
"Do I have to keep employee if he gives notice, California?","Должен ли я оставить сотрудника, если он подаст уведомление, Калифорния?"
"Two backstabbing ""best"" friends....I need advice?","Два вероломных ""лучших"" друга....Мне нужен совет?"
A square with a side of 10 is increased to a side of 12. By how much is the diagonal increased?,Квадрат со стороной 10 увеличивается до стороны 12. На сколько увеличивается диагональ?
Starhub d-link router dcm-604?,Маршрутизатор Starhub d-link dcm-604?
how do you put a movie that is an avi file in sony vegas 9?,как поместить фильм в формате avi в sony vegas 9?
Acid and bases clarification..?,Осветление кислот и щелочей..?
What speed of reflexes in milliseconds would be superhuman?,Какая скорость рефлексов в миллисекундах была бы сверхчеловеческой?
can psychics see there future to?,могут ли экстрасенсы видеть там будущее?
Presidential library?,Президентская библиотека?
Guys - When will this guy call me?,"Ребята, когда этот парень мне позвонит?"
I had a bee/yellow jacket nest in my grill.?,У меня в гриле было пчелиное гнездо в желтой куртке.?
What do I need to do to be able to call people internationally from other countries to the U.S.?,"Что мне нужно сделать, чтобы иметь возможность звонить людям по всему миру из других стран в США?"
Age of compulsory education in the USA?,Возраст обязательного образования в США?
Whats the square root of 56?,Каков квадратный корень из 56?
BB - Dave discussing Josie's weight?,Би-би-си - Дейв обсуждает вес Джози?
Which side to wear my evil eye bracelet on?,С какой стороны носить мой браслет от сглаза?
what's the absolute best thing you've ever eaten at a 1st class restaurant?,что самое вкусное вы когда-либо ели в ресторане первого класса?
How many dirigibles are in the world?,Сколько дирижаблей в мире?
R&S: What's your IQ and are you an Atheist or do you believe in God?,R&S: Каков ваш IQ и являетесь ли вы атеистом или верите в Бога?
Can someone translate this English sentence to Russian cyrillic? please :)?,Кто-нибудь может перевести это английское предложение на русскую кириллицу? пожалуйста :)?
Are Arizona tea cans refundable?,Подлежат ли возврату банки аризонского чая?
Accounting is no fun :(?,Бухгалтерия - это неинтересно :(?
what is a good software for helping with college essay writing?,какое хорошее программное обеспечение поможет в написании эссе для колледжа?
What is the blood pressure of an average 17 year old girl?,Какое кровяное давление у среднестатистической 17-летней девушки?
Please help me with this weird Dream?,"Пожалуйста, помоги мне с этим странным сном?"
rat terrier good with other dogs?,крысиный терьер хорошо ладит с другими собаками?
Is this laptop a good buy?,Является ли этот ноутбук хорошей покупкой?
"How much time does it take for $50 to go from a Bank Account, transferred to a Paypal?",Сколько времени требуется для перевода 50 долларов с банковского счета на Paypal?
can long alcohol and meth abuse make your immune system wbc weak after you have stopped using?,"может ли длительное злоупотребление алкоголем и метамфетамином ослабить вашу иммунную систему после того, как вы прекратили употреблять?"
Cheap laptop that will play WoW?,"Дешевый ноутбук, который будет играть в WoW?"
10pts-GIRLS-WOMEN---your advice on HOT BAD BOYS....?,10 очков-ДЕВОЧКИ-ЖЕНЩИНЫ---ваш совет по поводу ГОРЯЧИХ ПЛОХИХ ПАРНЕЙ....?
Claremont Hotel in Blackpool?,"Отель ""Клермонт"" в Блэкпуле?"
deflon 500 in DVT treatment?,дефлон 500 в лечении ТГВ?
I'm not receiving emails?,Я не получаю электронные письма?
what does men perfume smell like? Help please?,"как пахнут мужские духи? Помогите, пожалуйста?"
Does a contested temporary guardian have the right to sell the elderly persons property?,Имеет ли оспариваемый временный опекун право продавать имущество пожилых людей?
"Titanic Story, Would he be my second great grandpa?","История Титаника, был бы он моим вторым прадедушкой?"
"New Sanyo camcorder, the lcd image shakes a bit - and the recorded result is the same..?","Новая видеокамера Sanyo, изображение на ЖК-дисплее немного дрожит - и записанный результат тот же ..?"
Do you like chocolate?,Вы любите шоколад?
Why Am I Seeing Shadow People?,Почему я вижу Людей-теней?
Is being able to stick your tongue behind your tonsils rare or can a lot of people do it?,Редка ли возможность засунуть язык за миндалины или это под силу многим людям?
how do i get rid of a cold sore on the side of my mouth?,как мне избавиться от герпеса в уголке рта?
How to lose that last 5kg (10 pounds)?,Как сбросить эти последние 5 кг (10 фунтов)?
Should I take her back as a friend?,Должен ли я принять ее обратно как друга?
Hey do you like smoking weed?,"Эй, тебе нравится курить травку?"
How much is microsoft worth ?,Сколько стоит microsoft?
Why does my dog pee on his bed!??!?HELP!!?,Почему моя собака писает на свою кровать!??!?ПОМОГИТЕ!!?
Not sure what this question is refering to. Please Help.?,"Не уверен, к чему относится этот вопрос. Пожалуйста, помогите.?"
whats wrong with my laptop?,что не так с моим ноутбуком?
Pokemon Gold Help ........................................?,Золотая помощь покемонов ........................................?
Which name combination do you prefer?,Какое сочетание имен вы предпочитаете?
Ideas about the internet?,Идеи об Интернете?
What'd you think of this crossover where Derrick Rose broke Tyreke Evans ankles last Saturday Night?,"Что вы думаете об этом кроссовере, где Деррик Роуз сломал лодыжки Тайрику Эвансу в прошлую субботу вечером?"
"Pick a middle name- Alexis, Brooklyn, or Marie?","Выбери второе имя - Алексис, Бруклин или Мари?"
where is a good place to order pointe shoes?,где лучше всего заказать пуанты?
im pregnant but i dont have my appt to the ob til the 14th but i have abdomin and lower back pain?,"я беременна, но у меня нет аппт к акушеру до 14-го числа, но у меня боли в животе и пояснице?"
Algebra II questions?,Вопросы по алгебре II?
he does all this but doesnt want a relationship?,"он делает все это, но не хочет отношений?"
I Need A NIckname for him. help me out?,Мне нужно придумать для него прозвище. поможешь мне выбраться?
error message pops up won't go away?,всплывающее сообщение об ошибке не исчезнет?
Was stephen austin actually IN the texas revolution?,Действительно ли Стивен Остин участвовал В техасской революции?
My dad accidentally hurt a bird and so?,Мой папа случайно ранил птицу и что с того?
Good site for teaching acoustic guitar?,Хороший сайт для обучения игре на акустической гитаре?
"Really quick question, easy answers...?","Действительно быстрый вопрос, простые ответы...?"
phenomenon in which products of a hybrid cross are hardier than either of the species that produced them?,"явление, при котором продукты гибридного скрещивания более выносливы, чем любой из видов, которые их произвели?"
If I want to get a job in the FBI or CIA when I am older what should I get into the ARMY?,"Если я захочу устроиться на работу в ФБР или ЦРУ, когда стану старше, что мне следует взять в АРМИЮ?"
A package is dropped from a passing plane(moving in the horizantal direction) and produces a projectile motion?,Пакет сбрасывается с пролетающей плоскости (движущейся в горизонтальном направлении) и создает движение снаряда?
"How can you tell if ""Notch"" has joined your server on Minecraft?","Как вы можете определить, присоединился ли ""Notch"" к вашему серверу в Minecraft?"
what refineries in the corpus christi area can ex convicts work at?,на каких нефтеперерабатывающих заводах в районе Корпус-Кристи могут работать бывшие заключенные?
I really like this girl. We have tons of stuff in common. But...?,Мне действительно нравится эта девушка. У нас много общего. Но...?
"Why don't American cities have Mexicantowns like they have Chinatowns,?","Почему в американских городах нет мексиканских кварталов, как в китайских?"
"Bought item from Tesco Direct with cash, but they'll only refund via debit card?","Купили товар в Tesco Direct наличными, но они вернут деньги только с помощью дебетовой карты?"
Did Barack Obama cheat John Kerry?,Обманул ли Барак Обама Джона Керри?
The proportion of patients in a large medical database who survived a heart transplant operation is 0.8.?,"Доля пациентов в большой медицинской базе данных, переживших операцию по пересадке сердца, составляет 0,8.?"
First Law of thermodynamics?,Первый закон термодинамики?
How long will my ears be sore after getting them pierced/?,Как долго мои уши будут болеть после прокола /?
Will Liberals finally succeed in doing what so many others have tried to do....the?,"Удастся ли либералам, наконец, сделать то, что пытались сделать так много других....the?"
"This question has been posted all night`, Precisely what is one's own most effective quotation?","Этот вопрос публиковался всю ночь`, какова именно ваша собственная самая эффективная цитата?"
"How come my car looks like its dented in the reflection but when you touch it, it is smooth?","Почему в отражении моя машина выглядит помятой, но когда вы прикасаетесь к ней, она гладкая?"
Liberals: What is the difference between the Tea Party protests and the Union protests?,Либералы: В чем разница между протестами Чаепития и профсоюзными протестами?
is Ebay and Amazon real?,реальны ли Ebay и Amazon?
how do i know if i have a warrant for my arrest?,"как я узнаю, есть ли у меня ордер на мой арест?"
if i get $0.20 per 1000 page views on my site how much do i get from 1 million page views?,"если я получаю 0,20 доллара за 1000 просмотров страниц на моем сайте, сколько я получу за 1 миллион просмотров страниц?"
Why hasnt Dana White signed Butterbean for the UFC?,Почему Дана Уайт не подписал контракт с Баттербином для UFC?
Any tips or advice how to help my sick toddler feel better?,"Есть какие-нибудь советы, как помочь моему больному малышу почувствовать себя лучше?"
Atheism is a religion...?,Атеизм - это религия...?
Is there a high chance of pregnancy from this?,Высока ли вероятность беременности от этого?
How many (what percentage) of people eat unhealthy?,Сколько (какой процент) людей питаются нездоровой пищей?
not enough televised poker on tv?,недостаточно телевизионных трансляций покера по телевизору?
Did the progressive movement fundamentally change the course of American history?,Изменило ли прогрессивное движение коренным образом ход американской истории?
If marriage is the completion on faith then..?,"Если брак - это завершение на вере, тогда..?"
"where can i find a job, i need help?","где я могу найти работу, мне нужна помощь?"
Pregnant?? I have no clue!! Please help!!?,"Беременна?? Я понятия не имею!! Пожалуйста, помогите!!?"
Boston Celtics 2011 Playoffs (Boston Fans)?,"Плей-офф ""Бостон Селтикс"" 2011 (болельщики ""Бостона"")?"
Will my period start soon?,Скоро ли начнутся мои месячные?
Yeah so I really need your help guys and ASAP?,"Да, так что мне действительно нужна ваша помощь, ребята, и как можно скорее?"
DO YOU GUYS THINK AM PREGNANT?,"РЕБЯТА, ВЫ ДУМАЕТЕ, Я БЕРЕМЕННА?"
Am i too late to open the chest in the hero's cave? (fable 2)?,Не слишком ли я опоздал открыть сундук в пещере героя? (басня 2)?
will this help me do more pushups?,поможет ли это мне делать больше отжиманий?
What is purpose of prayer to God?,Какова цель молитвы к Богу?
what time will the rapture happen in Australia?,в какое время произойдет вознесение в Австралии?
What kinds of sicknesses can you get while camping in the wilderness? Are there any serious ones?,Какими болезнями вы можете заразиться во время кемпинга в дикой местности? Есть ли какие-нибудь серьезные из них?
MAC Brown eyeshadows?,Тени для век MAC Brown?
should i ask him what happened?,"должен ли я спросить его, что случилось?"
Anyone here who has ADD and is living a successful life?,"Есть здесь кто-нибудь, у кого есть СДВГ и кто живет успешной жизнью?"
"How big is the Comcast Center in Boston, MA?","Насколько велик Comcast Center в Бостоне, штат Массачусетс?"
Crazy American Idol Auditions?,"Сумасшедшие прослушивания ""Американского идола""?"
my friend is irritating and I don't know how to deal with the problem?,"мой друг раздражает, и я не знаю, как справиться с этой проблемой?"
Which of these cell types lines body surfaces?,Какой из этих типов клеток выстилает поверхности тела?
How to draw goth anime girls?,Как нарисовать аниме-девушек-готичек?
I'm planning a romantic getaway with the cuz?,Я планирую романтическое путешествие с кузеном?
what are the four components of the theory of natural selection.?,назовите четыре компонента теории естественного отбора.?
Is America the only place with shitty jobs?,Неужели Америка - единственное место с дерьмовыми рабочими местами?
Heart Disease?? 18 years old?,Болезнь сердца?? 18 лет?
How to move to new york from scotland?,Как переехать в Нью-Йорк из Шотландии?
What would be the best way to go about dumping a girl before you go to college?,"Каков был бы наилучший способ бросить девушку до того, как ты поступишь в колледж?"
Is my voice really that deep?,Неужели мой голос действительно такой глубокий?
Can I take my puppy outside in the backyard if he doesn't have his shots?,"Могу ли я вывести своего щенка на улицу на заднем дворе, если ему не сделали прививок?"
How can a Sony PlayStation 3 damage a Sony 3D tv's LED?,Как Sony PlayStation 3 может повредить светодиод на телевизоре Sony 3D?
Why are the books of the Bible shrouded in so much mystery?,Почему книги Библии окутаны таким количеством тайн?
what does it mean if a girl says this?,"что это значит, если девушка говорит это?"
My dads gf is a brat.tips?,Подружка моего папы - соплячка.советы?
What is the chance of pregnancy?,Какова вероятность беременности?
"how to unlock the door at sootopolis city gym, and the door at sky pillar in pokemon emerald?","как разблокировать дверь в спортзале ""Мегаполис сити"" и дверь в ""скай пиллар"" в pokemon emerald?"
"Bad cramping, 11 days late period, help?","Сильные спазмы, задержка месячных на 11 дней, поможет?"
Are there any Soul Eater conventions?,Существуют ли какие-либо соглашения о пожирателях душ?
is it safe to vacuum a cat if they like it?,"безопасно ли пылесосить кошку, если ей это нравится?"
'Conceptually' why is the definite integral of a function the area underneath the curve?,"""Концептуально"" почему определенный интеграл функции является областью под кривой?"
What are the more active and demanding jobs in the Air Force?,Какая работа в Военно-воздушных силах является наиболее активной и ответственной?
"No power to my windows, ac, radio, or radiator fan, why?","Нет питания к моим окнам, кондиционеру, радио или вентилятору радиатора, почему?"
Do you think torture is in step with our Christian values?,"Как вы думаете, соответствуют ли пытки нашим христианским ценностям?"
Who do u think is prettier?,"Как ты думаешь, кто красивее?"
is chewing gum everyday bad for your health?,вредно ли ежедневное жевание резинки для вашего здоровья?
Did the left fight spending cuts merely because the TEA Party suggested it? Or is there another reason?,"Боролись ли левые с сокращением расходов только потому, что это предложила ""ЧАЙНАЯ партия""? Или есть другая причина?"
Weird symptoms of something....?,Странные симптомы чего-то....?
Should I ignore my babyfather's family too?,Должен ли я тоже игнорировать семью моего отца ребенка?
"I have a Mac Powerbook. My internet seems fine, except for when I watch YouTube. It always stops. Why?","У меня есть Mac Powerbook. Мой Интернет, кажется, в порядке, за исключением тех случаев, когда я смотрю YouTube. Это всегда прекращается. Почему?"
Question about the show 'The Boondocks' on Cartoon Network?,"Вопрос о шоу ""Захолустье"" на Cartoon Network?"
How to get beaming bright white teeth like celebs teeth?,"Как получить сияющие ярко-белые зубы, как у знаменитостей?"
I'm trying to find this really long-haired japanese singer?,Я пытаюсь найти эту действительно длинноволосую японскую певицу?
Champagne with brown and yellow label.?,Шампанское с коричнево-желтой этикеткой.?
should i take him back does he want me ?,"должна ли я забрать его обратно, хочет ли он меня?"
"Thoughts on these names, rate?","Что думаете об этих именах, оцените?"
how can i get my girlfriends parents to like me ?,как я могу понравиться родителям моих подруг?
Hibbett Sports Dress Code? Fake nails acceptable?,Спортивный дресс-код Хиббетта? Накладные ногти приемлемы?
when I try to play the games on my laptop it pops up with a box saying critical error. how do I fix this?,"когда я пытаюсь играть в игры на своем ноутбуке, появляется окно с надписью ""критическая ошибка"". как мне это исправить?"
What is the song playing in the Macy's Mstyle Lab advert with dancing girl?,Какая песня звучит в рекламе Macy's Mstyle Lab с танцующей девушкой?
What can i wear to be punk?,"Что я могу надеть, чтобы быть панком?"
can i start fresh in another university?,могу ли я начать все сначала в другом университете?
Why won't my printer print pictures?,Почему мой принтер не печатает изображения?
WHEN DOES BATTLEFIELD 3 COME OUT?,КОГДА ВЫЙДЕТ BATTLEFIELD 3?
is this diet plan fine?,подходит ли этот план диеты?
What 's the best way for endometriosis?,Какой лучший способ лечения эндометриоза?
"If Democrats are such Intellectuals, they why do they support their arguments with demagoguery?","Если демократы такие интеллектуалы, то почему они подкрепляют свои аргументы демагогией?"
I want to check to see if the answer are correct that my child did in science 1074 I don't have the answer?,"Я хочу проверить, верен ли ответ, который мой ребенок получил в science 1074, у меня нет ответа?"
I need help with quotes. Love/heartbreak quotes?,Мне нужна помощь с цитатами. Цитаты о любви / разбитом сердце?
"Can the word ""that"" be the subject of a sentence?","Может ли слово ""это"" быть подлежащим предложения?"
I need a name???? PLEASE HELP?,"Мне нужно имя???? ПОЖАЛУЙСТА, ПОМОГИТЕ?"
Can someone give me the simple break down?,Может кто-нибудь дать мне простой ответ?
Black Ops L96A1 Question?,Вопрос Black Ops L96A1?
black range rover crashed?,"черный ""рендж ровер"" разбился?"
Could my babies nose be broken?!?,Мог ли быть сломан нос моего ребенка?!?
yugioh online duel accelerator?,ускоритель онлайн-дуэлей yugioh?
WIFE TOLD ME IT'S OVER WANTS TO DATE OTHER MEN?,"ЖЕНА СКАЗАЛА МНЕ, ЧТО ВСЕ КОНЧЕНО, ХОЧЕТ ВСТРЕЧАТЬСЯ С ДРУГИМИ МУЖЧИНАМИ?"
Nervous Flier Seeking Help?,"Нервный летчик, ищущий помощи?"
What dose hit and run mean?,"Что значит ""наехать и убежать""?"
"what does ""RT"" mean in Tweets?","что означает ""RT"" в твитах?"
What can I do with a Political Science major and communications/sociology double minors?,Что я могу сделать со специализацией в области политологии и двойными степенями в области коммуникаций / социологии?
How optimistic and how realistic can you be in life?,Насколько оптимистичным и реалистичным вы можете быть в жизни?
"When you see a homeless guy with a dog, do you feel worse for the guy or the dog?","Когда вы видите бездомного парня с собакой, вам становится хуже за этого парня или за собаку?"
What would you name 10 kids?,Как бы вы назвали 10 детей?
Tensed psychologically?,Напряжен психологически?
A satellite with a mass of 310 kg moves in a circular orbit 3.00 107 m above the Earth's surface.?,"Спутник массой 310 кг движется по круговой орбите на высоте 3,00 107 м над поверхностью Земли.?"
Did anyone buy that $10 digital camera from Family Dollar?,Кто-нибудь покупал эту цифровую камеру за 10 долларов у Family Dollar?
"Is my hair short, medium, or long?","Какие у меня волосы - короткие, средние или длинные?"
Free sheet music for someone like you by adele?,Бесплатные ноты для кого-то вроде тебя от Адель?
Relationship advice.. I'm falling in love?,Советы по отношениям.. Я влюбляюсь?
the Calvin cycle involves all of the following except?,"цикл Кальвина включает в себя все следующее, за исключением?"
Is 400 HK DOLLARS enough pocket money for a visit to HongKong?,Достаточно ли 400 гонконгских долларов на карманные расходы для посещения Гонконга?
does he like me please help?!?,"нравлюсь ли я ему, пожалуйста, помогите?!?"
Pills for breast enlargement?,Таблетки для увеличения груди?
Baby tooth or Adult tooth?,Молочный зуб или взрослый зуб?
Procedure of after getting uae visit visa in india?,Процедура получения визы для посещения ОАЭ в Индии?
What Japanese honorific would one use for their girlfriend?,Какое японское почетное обращение можно было бы использовать для своей девушки?
"What does a girl mean when she says she feels ""deep"" when talking to you?","Что имеет в виду девушка, когда говорит, что чувствует себя ""глубоко"", разговаривая с тобой?"
What is the UK average inflation?,Какова средняя инфляция в Великобритании?
what do you consider a 14 year old?,кем вы считаете 14-летнего подростка?
Is there anyway to make my gums heal fast after extractions and dentures ?,"Есть ли что-нибудь, чтобы мои десны быстро заживали после удаления зубов и протезирования?"
"Why are people so judgemental, and/or stereotypical, of people who listen rock/metal music?","Почему люди так осуждают и/или придерживаются стереотипов в отношении людей, которые слушают рок/ металлическую музыку?"
